Job: acopf_run
Executing: ACOPF_DC3.py
Node: gpu0003
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch    0 | Cost: 1238.91 | Max P-Miss: 1.1172 | Max Q-Miss: 0.6183 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0061
Epoch   10 | Cost:  790.24 | Max P-Miss: 0.6031 | Max Q-Miss: 0.1519 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0055
Epoch   20 | Cost: 1015.09 | Max P-Miss: 0.3661 | Max Q-Miss: 0.1431 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0035
Epoch   30 | Cost: 1024.21 | Max P-Miss: 0.3157 | Max Q-Miss: 0.1560 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0033
Epoch   40 | Cost: 1097.79 | Max P-Miss: 0.2500 | Max Q-Miss: 0.1530 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0035
Epoch   50 | Cost: 1159.80 | Max P-Miss: 0.2369 | Max Q-Miss: 0.1390 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0041
Epoch   60 | Cost: 1214.56 | Max P-Miss: 0.2188 | Max Q-Miss: 0.1520 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0039
Epoch   70 | Cost: 1333.64 | Max P-Miss: 0.2205 | Max Q-Miss: 0.1301 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0029
Epoch   80 | Cost: 1284.77 | Max P-Miss: 0.1730 | Max Q-Miss: 0.1421 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0034
Epoch   90 | Cost: 1305.13 | Max P-Miss: 0.2101 | Max Q-Miss: 0.1066 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0037
Epoch  100 | Cost: 1380.78 | Max P-Miss: 0.1805 | Max Q-Miss: 0.0936 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0032
Epoch  110 | Cost: 1415.82 | Max P-Miss: 0.1726 | Max Q-Miss: 0.1176 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0029
Epoch  120 | Cost: 1427.22 | Max P-Miss: 0.1781 | Max Q-Miss: 0.1132 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0030
Epoch  130 | Cost: 1416.19 | Max P-Miss: 0.2176 | Max Q-Miss: 0.0842 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0033
Epoch  140 | Cost: 1431.52 | Max P-Miss: 0.2211 | Max Q-Miss: 0.2280 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0022
Epoch  150 | Cost: 1394.08 | Max P-Miss: 0.1671 | Max Q-Miss: 0.0786 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0035
Epoch  160 | Cost: 1448.53 | Max P-Miss: 0.1717 | Max Q-Miss: 0.0860 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0028
Epoch  170 | Cost: 1472.17 | Max P-Miss: 0.1682 | Max Q-Miss: 0.0879 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0029
Epoch  180 | Cost: 1488.08 | Max P-Miss: 0.1529 | Max Q-Miss: 0.0721 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0028
Epoch  190 | Cost: 1499.29 | Max P-Miss: 0.1622 | Max Q-Miss: 0.0711 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000 | DC3 Corr: 0.0026
