Job: acopf
Executing: ACOPF_FSNet_multi.py
Node: gpu0004
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch    0 | Val Loss: 184.6436 | Val Cost: 1604.66 | Val Max P-Miss: 1.1110 | Val Max Q-Miss: 0.6734 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 27.2778 | Val Cost: 1700.30 | Val Max P-Miss: 0.2349 | Val Max Q-Miss: 0.1375 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 24.5891 | Val Cost: 1407.88 | Val Max P-Miss: 0.2075 | Val Max Q-Miss: 0.1798 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 22.7538 | Val Cost: 1428.59 | Val Max P-Miss: 0.2270 | Val Max Q-Miss: 0.0468 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 22.3841 | Val Cost: 1448.41 | Val Max P-Miss: 0.2181 | Val Max Q-Miss: 0.0588 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 21.7320 | Val Cost: 1461.15 | Val Max P-Miss: 0.2134 | Val Max Q-Miss: 0.0611 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 21.9876 | Val Cost: 1473.11 | Val Max P-Miss: 0.2122 | Val Max Q-Miss: 0.0780 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 21.3927 | Val Cost: 1476.40 | Val Max P-Miss: 0.2079 | Val Max Q-Miss: 0.0706 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 21.2711 | Val Cost: 1479.71 | Val Max P-Miss: 0.2025 | Val Max Q-Miss: 0.0712 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 20.8291 | Val Cost: 1376.99 | Val Max P-Miss: 0.2035 | Val Max Q-Miss: 0.0839 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 22.8420 | Val Cost: 1325.80 | Val Max P-Miss: 0.2110 | Val Max Q-Miss: 0.1072 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 21.7871 | Val Cost: 1414.24 | Val Max P-Miss: 0.2109 | Val Max Q-Miss: 0.1007 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 21.4540 | Val Cost: 1478.65 | Val Max P-Miss: 0.2043 | Val Max Q-Miss: 0.1002 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 20.6315 | Val Cost: 1515.43 | Val Max P-Miss: 0.1891 | Val Max Q-Miss: 0.0651 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  140 | Val Loss: 21.4598 | Val Cost: 1398.74 | Val Max P-Miss: 0.1983 | Val Max Q-Miss: 0.0672 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 20.9852 | Val Cost: 1451.62 | Val Max P-Miss: 0.1820 | Val Max Q-Miss: 0.0595 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 20.7550 | Val Cost: 1481.70 | Val Max P-Miss: 0.1731 | Val Max Q-Miss: 0.0558 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  170 | Val Loss: 20.3738 | Val Cost: 1447.03 | Val Max P-Miss: 0.1917 | Val Max Q-Miss: 0.0772 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  180 | Val Loss: 20.8563 | Val Cost: 1455.08 | Val Max P-Miss: 0.1895 | Val Max Q-Miss: 0.0603 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  190 | Val Loss: 20.1430 | Val Cost: 1483.28 | Val Max P-Miss: 0.1646 | Val Max Q-Miss: 0.0568 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 20.5735 | Val Cost: 1485.59 | Val Max P-Miss: 0.1842 | Val Max Q-Miss: 0.0595 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  210 | Val Loss: 20.4009 | Val Cost: 1483.32 | Val Max P-Miss: 0.1741 | Val Max Q-Miss: 0.0644 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 20.4588 | Val Cost: 1493.43 | Val Max P-Miss: 0.1814 | Val Max Q-Miss: 0.0599 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 20.1465 | Val Cost: 1497.01 | Val Max P-Miss: 0.1684 | Val Max Q-Miss: 0.0609 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  240 | Val Loss: 20.4619 | Val Cost: 1495.53 | Val Max P-Miss: 0.1792 | Val Max Q-Miss: 0.0595 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  250 | Val Loss: 20.5478 | Val Cost: 1495.32 | Val Max P-Miss: 0.1827 | Val Max Q-Miss: 0.0574 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  260 | Val Loss: 20.3915 | Val Cost: 1502.70 | Val Max P-Miss: 0.1856 | Val Max Q-Miss: 0.0560 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  270 | Val Loss: 20.1109 | Val Cost: 1505.69 | Val Max P-Miss: 0.1701 | Val Max Q-Miss: 0.0561 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  280 | Val Loss: 19.9717 | Val Cost: 1509.06 | Val Max P-Miss: 0.1624 | Val Max Q-Miss: 0.0583 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  290 | Val Loss: 20.3694 | Val Cost: 1502.16 | Val Max P-Miss: 0.1733 | Val Max Q-Miss: 0.0601 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 21.2242 | Val Cost: 1378.19 | Val Max P-Miss: 0.1483 | Val Max Q-Miss: 0.0735 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 20.3292 | Val Cost: 1505.07 | Val Max P-Miss: 0.1551 | Val Max Q-Miss: 0.0759 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 20.3054 | Val Cost: 1485.12 | Val Max P-Miss: 0.1531 | Val Max Q-Miss: 0.0827 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 20.1126 | Val Cost: 1503.53 | Val Max P-Miss: 0.1491 | Val Max Q-Miss: 0.0777 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 22.0975 | Val Cost: 1495.15 | Val Max P-Miss: 0.1553 | Val Max Q-Miss: 0.1561 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  350 | Val Loss: 20.6383 | Val Cost: 1463.60 | Val Max P-Miss: 0.1484 | Val Max Q-Miss: 0.0910 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 20.4266 | Val Cost: 1507.11 | Val Max P-Miss: 0.1548 | Val Max Q-Miss: 0.0500 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  370 | Val Loss: 20.6213 | Val Cost: 1515.41 | Val Max P-Miss: 0.1671 | Val Max Q-Miss: 0.0435 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  380 | Val Loss: 20.3583 | Val Cost: 1511.45 | Val Max P-Miss: 0.1603 | Val Max Q-Miss: 0.0409 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
