Job: acopf_ISS
Executing: ACOPF_FSNet_multi.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch    0 | Val Loss: 1514.3663 | Val Cost: 1512.21 | Val Max P-Miss: 1.0821 | Val Max Q-Miss: 0.5347 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 1.0751 | Val Cost:    0.00 | Val Max P-Miss: 0.5126 | Val Max Q-Miss: 0.2223 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 0.5838 | Val Cost:    0.00 | Val Max P-Miss: 0.4622 | Val Max Q-Miss: 0.1491 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 0.5490 | Val Cost:    0.00 | Val Max P-Miss: 0.4795 | Val Max Q-Miss: 0.1262 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 0.4946 | Val Cost:    0.00 | Val Max P-Miss: 0.4400 | Val Max Q-Miss: 0.1116 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 0.4646 | Val Cost:    0.00 | Val Max P-Miss: 0.3936 | Val Max Q-Miss: 0.1042 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 0.4731 | Val Cost:    0.00 | Val Max P-Miss: 0.4220 | Val Max Q-Miss: 0.1216 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 0.5014 | Val Cost:    0.00 | Val Max P-Miss: 0.3698 | Val Max Q-Miss: 0.1066 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 0.4662 | Val Cost:    0.00 | Val Max P-Miss: 0.3345 | Val Max Q-Miss: 0.1004 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 0.5768 | Val Cost:    0.00 | Val Max P-Miss: 0.5309 | Val Max Q-Miss: 0.1517 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 0.5453 | Val Cost:    0.00 | Val Max P-Miss: 0.5205 | Val Max Q-Miss: 0.1260 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 0.4187 | Val Cost:    0.00 | Val Max P-Miss: 0.3846 | Val Max Q-Miss: 0.1115 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  120 | Val Loss: 0.4337 | Val Cost:    0.00 | Val Max P-Miss: 0.4118 | Val Max Q-Miss: 0.1219 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 0.4462 | Val Cost:    0.00 | Val Max P-Miss: 0.4271 | Val Max Q-Miss: 0.1280 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
