Job: acopf_ISS
Executing: ACOPF_pinn_rahul_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
Executing strictly on GPU: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 1201951.8750 | Val Cost:  929.52 | Val Max P-Miss: 0.5556 | Val Max Q-Miss: 0.1946 | Val Max Gen Viol: 1.2851 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 51845.2578 | Val Cost:  309.17 | Val Max P-Miss: 1.0537 | Val Max Q-Miss: 0.4470 | Val Max Gen Viol: 0.0565 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 1879.8966 | Val Cost:    1.73 | Val Max P-Miss: 1.0917 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0185 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 519.4546 | Val Cost:    0.57 | Val Max P-Miss: 1.0900 | Val Max Q-Miss: 0.4496 | Val Max Gen Viol: 0.0204 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 327.1367 | Val Cost:   -0.05 | Val Max P-Miss: 1.0853 | Val Max Q-Miss: 0.4494 | Val Max Gen Viol: 0.0253 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 305.2139 | Val Cost:    0.10 | Val Max P-Miss: 1.0709 | Val Max Q-Miss: 0.4491 | Val Max Gen Viol: 0.0408 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 291.5206 | Val Cost:   -0.07 | Val Max P-Miss: 0.9693 | Val Max Q-Miss: 0.4492 | Val Max Gen Viol: 0.1440 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 1023.4432 | Val Cost:    1.56 | Val Max P-Miss: 1.1021 | Val Max Q-Miss: 0.4377 | Val Max Gen Viol: 0.0081 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 431.2612 | Val Cost:   -0.07 | Val Max P-Miss: 1.1077 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0026 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 342.1602 | Val Cost:    0.02 | Val Max P-Miss: 1.1075 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 314.1868 | Val Cost:   -0.00 | Val Max P-Miss: 1.1075 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 293.5904 | Val Cost:    0.03 | Val Max P-Miss: 1.1075 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 275.1453 | Val Cost:    0.01 | Val Max P-Miss: 1.1076 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
