Job: acopf_ISS
Executing: ACOPF_DC3_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
Executing strictly on GPU: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch    0 | Val Loss: 1510.3517 | Val Cost: 1508.48 | Val Max P-Miss: 0.9293 | Val Max Q-Miss: 0.5560 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 1.2486 | Val Cost:    0.00 | Val Max P-Miss: 0.6591 | Val Max Q-Miss: 0.2517 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 1.2790 | Val Cost:    0.00 | Val Max P-Miss: 0.6444 | Val Max Q-Miss: 0.2812 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   30 | Val Loss: 1.2592 | Val Cost:    0.00 | Val Max P-Miss: 0.6477 | Val Max Q-Miss: 0.2495 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   40 | Val Loss: 1.2937 | Val Cost:    0.00 | Val Max P-Miss: 0.6629 | Val Max Q-Miss: 0.2768 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 1.2944 | Val Cost:    0.00 | Val Max P-Miss: 0.6632 | Val Max Q-Miss: 0.2499 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 1.2536 | Val Cost:    0.00 | Val Max P-Miss: 0.6746 | Val Max Q-Miss: 0.2256 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 1.3483 | Val Cost:    0.00 | Val Max P-Miss: 0.6696 | Val Max Q-Miss: 0.3063 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 1.3019 | Val Cost:    0.00 | Val Max P-Miss: 0.6891 | Val Max Q-Miss: 0.2851 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 1.3071 | Val Cost:    0.00 | Val Max P-Miss: 0.6866 | Val Max Q-Miss: 0.2525 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 1.3200 | Val Cost:    0.00 | Val Max P-Miss: 0.6869 | Val Max Q-Miss: 0.2576 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 1.3313 | Val Cost:    0.00 | Val Max P-Miss: 0.7188 | Val Max Q-Miss: 0.2890 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 1.3651 | Val Cost:    0.00 | Val Max P-Miss: 0.6714 | Val Max Q-Miss: 0.2832 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 1.3563 | Val Cost:    0.00 | Val Max P-Miss: 0.6667 | Val Max Q-Miss: 0.2717 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 1.3455 | Val Cost:    0.00 | Val Max P-Miss: 0.6616 | Val Max Q-Miss: 0.2647 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 1.3491 | Val Cost:    0.00 | Val Max P-Miss: 0.6567 | Val Max Q-Miss: 0.2715 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 1.2980 | Val Cost:    0.00 | Val Max P-Miss: 0.6664 | Val Max Q-Miss: 0.2576 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  170 | Val Loss: 1.2939 | Val Cost:    0.00 | Val Max P-Miss: 0.6638 | Val Max Q-Miss: 0.2360 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  180 | Val Loss: 1.2936 | Val Cost:    0.00 | Val Max P-Miss: 0.6657 | Val Max Q-Miss: 0.2377 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  190 | Val Loss: 1.2900 | Val Cost:    0.00 | Val Max P-Miss: 0.6545 | Val Max Q-Miss: 0.2658 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  200 | Val Loss: 1.2327 | Val Cost:    0.00 | Val Max P-Miss: 0.6642 | Val Max Q-Miss: 0.2816 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  210 | Val Loss: 1.2202 | Val Cost:    0.00 | Val Max P-Miss: 0.6347 | Val Max Q-Miss: 0.3391 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  220 | Val Loss: 1.2287 | Val Cost:    0.00 | Val Max P-Miss: 0.5426 | Val Max Q-Miss: 0.4063 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 0.4957 | Val Cost:    0.00 | Val Max P-Miss: 0.4199 | Val Max Q-Miss: 0.1677 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  240 | Val Loss: 0.4674 | Val Cost:    0.00 | Val Max P-Miss: 0.4799 | Val Max Q-Miss: 0.1440 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  250 | Val Loss: 0.4592 | Val Cost:    0.00 | Val Max P-Miss: 0.4721 | Val Max Q-Miss: 0.1358 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  260 | Val Loss: 0.4463 | Val Cost:    0.00 | Val Max P-Miss: 0.4557 | Val Max Q-Miss: 0.1277 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  270 | Val Loss: 0.4397 | Val Cost:    0.00 | Val Max P-Miss: 0.4475 | Val Max Q-Miss: 0.1238 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  280 | Val Loss: 0.4317 | Val Cost:    0.00 | Val Max P-Miss: 0.4318 | Val Max Q-Miss: 0.1185 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  290 | Val Loss: 0.4264 | Val Cost:    0.00 | Val Max P-Miss: 0.4177 | Val Max Q-Miss: 0.1141 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  300 | Val Loss: 0.4237 | Val Cost:    0.00 | Val Max P-Miss: 0.4146 | Val Max Q-Miss: 0.1123 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  310 | Val Loss: 0.4232 | Val Cost:    0.00 | Val Max P-Miss: 0.4131 | Val Max Q-Miss: 0.1118 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  320 | Val Loss: 0.4220 | Val Cost:    0.00 | Val Max P-Miss: 0.4109 | Val Max Q-Miss: 0.1106 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  330 | Val Loss: 0.5391 | Val Cost:    0.00 | Val Max P-Miss: 0.3890 | Val Max Q-Miss: 0.1238 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 0.4080 | Val Cost:    0.00 | Val Max P-Miss: 0.3362 | Val Max Q-Miss: 0.0951 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  350 | Val Loss: 0.4473 | Val Cost:    0.00 | Val Max P-Miss: 0.3357 | Val Max Q-Miss: 0.0921 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 0.4280 | Val Cost:    0.00 | Val Max P-Miss: 0.3131 | Val Max Q-Miss: 0.0911 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  370 | Val Loss: 0.4163 | Val Cost:    0.00 | Val Max P-Miss: 0.3082 | Val Max Q-Miss: 0.0844 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
