Job: acopf_ISS
Executing: ACOPF_DC3.py --case_name pglib_opf_case57_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch    0 | Val Loss: 241.3435 | Val Cost: 29945.67 | Val Max P-Miss: 0.9909 | Val Max Q-Miss: 1.5373 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 18.8208 | Val Cost: 30532.87 | Val Max P-Miss: 0.2242 | Val Max Q-Miss: 0.1822 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 17.9134 | Val Cost: 29943.56 | Val Max P-Miss: 0.2237 | Val Max Q-Miss: 0.1676 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  300 | Val Loss: 17.5233 | Val Cost: 29811.43 | Val Max P-Miss: 0.1751 | Val Max Q-Miss: 0.1614 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  400 | Val Loss: 17.0205 | Val Cost: 29831.58 | Val Max P-Miss: 0.1220 | Val Max Q-Miss: 0.1279 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 17.0147 | Val Cost: 29574.32 | Val Max P-Miss: 0.1410 | Val Max Q-Miss: 0.1012 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  600 | Val Loss: 16.9026 | Val Cost: 29748.14 | Val Max P-Miss: 0.1013 | Val Max Q-Miss: 0.0665 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  700 | Val Loss: 16.9070 | Val Cost: 29637.46 | Val Max P-Miss: 0.1040 | Val Max Q-Miss: 0.0596 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 16.8810 | Val Cost: 29668.54 | Val Max P-Miss: 0.1111 | Val Max Q-Miss: 0.0525 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  900 | Val Loss: 16.8474 | Val Cost: 29660.31 | Val Max P-Miss: 0.1021 | Val Max Q-Miss: 0.0453 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1000 | Val Loss: 16.8599 | Val Cost: 29532.58 | Val Max P-Miss: 0.1140 | Val Max Q-Miss: 0.0447 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1100 | Val Loss: 16.7713 | Val Cost: 29576.89 | Val Max P-Miss: 0.0862 | Val Max Q-Miss: 0.0392 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1200 | Val Loss: 16.8124 | Val Cost: 29625.48 | Val Max P-Miss: 0.0981 | Val Max Q-Miss: 0.0404 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1300 | Val Loss: 16.7940 | Val Cost: 29547.46 | Val Max P-Miss: 0.0876 | Val Max Q-Miss: 0.0437 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1400 | Val Loss: 16.7889 | Val Cost: 29569.19 | Val Max P-Miss: 0.0938 | Val Max Q-Miss: 0.0389 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1500 | Val Loss: 16.7875 | Val Cost: 29506.52 | Val Max P-Miss: 0.0921 | Val Max Q-Miss: 0.0349 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1600 | Val Loss: 16.8483 | Val Cost: 29377.52 | Val Max P-Miss: 0.1080 | Val Max Q-Miss: 0.0419 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1700 | Val Loss: 16.8130 | Val Cost: 29705.31 | Val Max P-Miss: 0.0911 | Val Max Q-Miss: 0.0307 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1800 | Val Loss: 16.7762 | Val Cost: 29622.60 | Val Max P-Miss: 0.1010 | Val Max Q-Miss: 0.0354 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1900 | Val Loss: 16.7676 | Val Cost: 29606.78 | Val Max P-Miss: 0.1096 | Val Max Q-Miss: 0.0296 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2000 | Val Loss: 16.7941 | Val Cost: 29549.44 | Val Max P-Miss: 0.0914 | Val Max Q-Miss: 0.0294 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2100 | Val Loss: 16.7482 | Val Cost: 29558.54 | Val Max P-Miss: 0.0854 | Val Max Q-Miss: 0.0263 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2200 | Val Loss: 16.7503 | Val Cost: 29261.48 | Val Max P-Miss: 0.0969 | Val Max Q-Miss: 0.0247 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2300 | Val Loss: 16.7659 | Val Cost: 29442.91 | Val Max P-Miss: 0.1171 | Val Max Q-Miss: 0.0288 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2400 | Val Loss: 16.7425 | Val Cost: 29412.82 | Val Max P-Miss: 0.1233 | Val Max Q-Miss: 0.0251 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2500 | Val Loss: 16.7745 | Val Cost: 29660.35 | Val Max P-Miss: 0.0815 | Val Max Q-Miss: 0.0288 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2600 | Val Loss: 16.7318 | Val Cost: 29518.00 | Val Max P-Miss: 0.0820 | Val Max Q-Miss: 0.0223 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2700 | Val Loss: 16.7426 | Val Cost: 29565.58 | Val Max P-Miss: 0.0760 | Val Max Q-Miss: 0.0341 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2800 | Val Loss: 16.7286 | Val Cost: 29504.36 | Val Max P-Miss: 0.1025 | Val Max Q-Miss: 0.0252 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 2900 | Val Loss: 16.7529 | Val Cost: 29551.40 | Val Max P-Miss: 0.0888 | Val Max Q-Miss: 0.0259 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3000 | Val Loss: 16.7237 | Val Cost: 29487.96 | Val Max P-Miss: 0.0850 | Val Max Q-Miss: 0.0241 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 3100 | Val Loss: 16.7316 | Val Cost: 29402.31 | Val Max P-Miss: 0.0954 | Val Max Q-Miss: 0.0269 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3200 | Val Loss: 16.7871 | Val Cost: 29584.40 | Val Max P-Miss: 0.0824 | Val Max Q-Miss: 0.0265 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3300 | Val Loss: 16.7317 | Val Cost: 29525.11 | Val Max P-Miss: 0.0778 | Val Max Q-Miss: 0.0235 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3400 | Val Loss: 16.7229 | Val Cost: 29510.88 | Val Max P-Miss: 0.0924 | Val Max Q-Miss: 0.0260 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 3500 | Val Loss: 16.7370 | Val Cost: 29574.03 | Val Max P-Miss: 0.0816 | Val Max Q-Miss: 0.0327 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3600 | Val Loss: 16.7394 | Val Cost: 29410.58 | Val Max P-Miss: 0.1178 | Val Max Q-Miss: 0.0232 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3700 | Val Loss: 16.7370 | Val Cost: 29216.90 | Val Max P-Miss: 0.1229 | Val Max Q-Miss: 0.0261 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3800 | Val Loss: 16.7357 | Val Cost: 29529.05 | Val Max P-Miss: 0.0822 | Val Max Q-Miss: 0.0263 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3900 | Val Loss: 16.7122 | Val Cost: 29343.05 | Val Max P-Miss: 0.0825 | Val Max Q-Miss: 0.0252 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 4000 | Val Loss: 16.7235 | Val Cost: 29405.42 | Val Max P-Miss: 0.0842 | Val Max Q-Miss: 0.0242 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4100 | Val Loss: 16.7323 | Val Cost: 29585.97 | Val Max P-Miss: 0.0778 | Val Max Q-Miss: 0.0263 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4200 | Val Loss: 16.7456 | Val Cost: 29381.66 | Val Max P-Miss: 0.0817 | Val Max Q-Miss: 0.0252 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4300 | Val Loss: 16.7485 | Val Cost: 29610.73 | Val Max P-Miss: 0.0805 | Val Max Q-Miss: 0.0267 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4400 | Val Loss: 16.7183 | Val Cost: 29448.56 | Val Max P-Miss: 0.0822 | Val Max Q-Miss: 0.0282 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4500 | Val Loss: 16.7044 | Val Cost: 29485.62 | Val Max P-Miss: 0.0764 | Val Max Q-Miss: 0.0251 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 4600 | Val Loss: 16.7318 | Val Cost: 29358.11 | Val Max P-Miss: 0.0851 | Val Max Q-Miss: 0.0306 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4700 | Val Loss: 16.7502 | Val Cost: 29519.13 | Val Max P-Miss: 0.0849 | Val Max Q-Miss: 0.0277 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4800 | Val Loss: 16.7159 | Val Cost: 29462.45 | Val Max P-Miss: 0.0995 | Val Max Q-Miss: 0.0219 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4900 | Val Loss: 16.7341 | Val Cost: 29312.19 | Val Max P-Miss: 0.1108 | Val Max Q-Miss: 0.0222 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5000 | Val Loss: 16.7232 | Val Cost: 29454.80 | Val Max P-Miss: 0.0808 | Val Max Q-Miss: 0.0245 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5100 | Val Loss: 16.7505 | Val Cost: 29595.05 | Val Max P-Miss: 0.0965 | Val Max Q-Miss: 0.0300 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5200 | Val Loss: 16.7497 | Val Cost: 29235.87 | Val Max P-Miss: 0.1058 | Val Max Q-Miss: 0.0315 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5300 | Val Loss: 16.7143 | Val Cost: 29455.89 | Val Max P-Miss: 0.0800 | Val Max Q-Miss: 0.0243 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5400 | Val Loss: 16.7133 | Val Cost: 29396.10 | Val Max P-Miss: 0.0907 | Val Max Q-Miss: 0.0222 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5500 | Val Loss: 16.7224 | Val Cost: 29366.31 | Val Max P-Miss: 0.0948 | Val Max Q-Miss: 0.0223 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5600 | Val Loss: 16.7288 | Val Cost: 29472.46 | Val Max P-Miss: 0.0934 | Val Max Q-Miss: 0.0304 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5700 | Val Loss: 16.7256 | Val Cost: 29427.04 | Val Max P-Miss: 0.0787 | Val Max Q-Miss: 0.0211 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5800 | Val Loss: 16.7213 | Val Cost: 29403.16 | Val Max P-Miss: 0.0768 | Val Max Q-Miss: 0.0243 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5900 | Val Loss: 16.7400 | Val Cost: 29708.82 | Val Max P-Miss: 0.0762 | Val Max Q-Miss: 0.0213 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6000 | Val Loss: 16.7391 | Val Cost: 29602.48 | Val Max P-Miss: 0.0850 | Val Max Q-Miss: 0.0239 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6100 | Val Loss: 16.7238 | Val Cost: 29578.10 | Val Max P-Miss: 0.0863 | Val Max Q-Miss: 0.0309 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6200 | Val Loss: 16.7264 | Val Cost: 29537.33 | Val Max P-Miss: 0.0740 | Val Max Q-Miss: 0.0233 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6300 | Val Loss: 16.7027 | Val Cost: 29348.75 | Val Max P-Miss: 0.0916 | Val Max Q-Miss: 0.0223 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 6400 | Val Loss: 16.7375 | Val Cost: 29554.41 | Val Max P-Miss: 0.0743 | Val Max Q-Miss: 0.0218 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6500 | Val Loss: 16.7225 | Val Cost: 29277.53 | Val Max P-Miss: 0.0956 | Val Max Q-Miss: 0.0247 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6600 | Val Loss: 16.7131 | Val Cost: 29430.52 | Val Max P-Miss: 0.0855 | Val Max Q-Miss: 0.0212 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6700 | Val Loss: 16.7362 | Val Cost: 29464.29 | Val Max P-Miss: 0.0901 | Val Max Q-Miss: 0.0215 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6800 | Val Loss: 16.7088 | Val Cost: 29373.12 | Val Max P-Miss: 0.0861 | Val Max Q-Miss: 0.0215 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 6900 | Val Loss: 16.7360 | Val Cost: 29298.00 | Val Max P-Miss: 0.0991 | Val Max Q-Miss: 0.0223 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 7000 | Val Loss: 16.7149 | Val Cost: 29518.56 | Val Max P-Miss: 0.0733 | Val Max Q-Miss: 0.0217 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 7100 | Val Loss: 16.7056 | Val Cost: 29354.77 | Val Max P-Miss: 0.0722 | Val Max Q-Miss: 0.0236 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 7200 | Val Loss: 16.7273 | Val Cost: 29567.18 | Val Max P-Miss: 0.0734 | Val Max Q-Miss: 0.0211 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 7300 | Val Loss: 16.7159 | Val Cost: 29485.20 | Val Max P-Miss: 0.0738 | Val Max Q-Miss: 0.0227 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 7400 | Val Loss: 16.7196 | Val Cost: 29387.80 | Val Max P-Miss: 0.0757 | Val Max Q-Miss: 0.0234 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
