Job: acopf_ISS
Executing: ACOPF_FSNet.py --case_name pglib_opf_case300_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch    0 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  100 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  200 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  300 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  400 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  500 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  600 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  700 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  800 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  900 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1000 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1100 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1200 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1300 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1400 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1500 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1600 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1700 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1800 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 1900 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2000 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2100 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2200 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2300 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2400 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2500 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2600 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2700 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2800 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 2900 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3000 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3100 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3200 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3300 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3400 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3500 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3600 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3700 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3800 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 3900 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4000 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4100 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4200 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4300 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4400 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4500 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4600 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4700 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4800 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 4900 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 5000 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 5100 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 5200 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 5300 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch 5400 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Val Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
