Job: acopf_run
Executing: ACOPF_DC3.py
Node: gpu0003
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch    0 | Val Loss: 131.4344 | Val Cost: 1629.03 | Val Max P-Miss: 0.7876 | Val Max Q-Miss: 0.5737 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 31.7993 | Val Cost: 1101.74 | Val Max P-Miss: 0.3162 | Val Max Q-Miss: 0.1799 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 25.9650 | Val Cost: 1151.26 | Val Max P-Miss: 0.2563 | Val Max Q-Miss: 0.0945 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 28.2744 | Val Cost: 1182.60 | Val Max P-Miss: 0.2720 | Val Max Q-Miss: 0.1611 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   40 | Val Loss: 27.4979 | Val Cost: 1254.57 | Val Max P-Miss: 0.2738 | Val Max Q-Miss: 0.1758 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 25.0083 | Val Cost: 1341.41 | Val Max P-Miss: 0.2444 | Val Max Q-Miss: 0.1375 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 23.7643 | Val Cost: 1382.41 | Val Max P-Miss: 0.2214 | Val Max Q-Miss: 0.1170 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 25.5626 | Val Cost: 1373.02 | Val Max P-Miss: 0.2120 | Val Max Q-Miss: 0.1718 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 30.5410 | Val Cost: 1239.27 | Val Max P-Miss: 0.2822 | Val Max Q-Miss: 0.2108 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 26.0439 | Val Cost: 1364.21 | Val Max P-Miss: 0.2133 | Val Max Q-Miss: 0.1923 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 22.9526 | Val Cost: 1446.84 | Val Max P-Miss: 0.2057 | Val Max Q-Miss: 0.1241 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
