Job: acopf_run
Executing: ACOPF_pinn_baseline.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Cost: 1591.16 | Max P-Miss: 0.9715 | Max Q-Miss: 0.9314 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   10 | Cost: 1024.68 | Max P-Miss: 0.3867 | Max Q-Miss: 0.1868 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   20 | Cost: 1010.49 | Max P-Miss: 0.3408 | Max Q-Miss: 0.0998 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   30 | Cost: 1062.10 | Max P-Miss: 0.2504 | Max Q-Miss: 0.1282 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   40 | Cost: 1120.31 | Max P-Miss: 0.2591 | Max Q-Miss: 0.1339 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   50 | Cost: 1198.25 | Max P-Miss: 0.2406 | Max Q-Miss: 0.1200 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   60 | Cost: 1267.85 | Max P-Miss: 0.2112 | Max Q-Miss: 0.1120 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   70 | Cost: 1320.73 | Max P-Miss: 0.1982 | Max Q-Miss: 0.1091 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   80 | Cost: 1355.98 | Max P-Miss: 0.2082 | Max Q-Miss: 0.0533 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   90 | Cost: 1228.22 | Max P-Miss: 0.2115 | Max Q-Miss: 0.1556 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  100 | Cost: 1251.01 | Max P-Miss: 0.2296 | Max Q-Miss: 0.1373 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  110 | Cost: 1372.88 | Max P-Miss: 0.1739 | Max Q-Miss: 0.1205 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  120 | Cost: 1446.93 | Max P-Miss: 0.1655 | Max Q-Miss: 0.1213 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  130 | Cost: 1284.36 | Max P-Miss: 0.1884 | Max Q-Miss: 0.0896 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  140 | Cost: 1343.58 | Max P-Miss: 0.1820 | Max Q-Miss: 0.1290 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  150 | Cost: 1377.59 | Max P-Miss: 0.2674 | Max Q-Miss: 0.1105 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  160 | Cost: 1362.89 | Max P-Miss: 0.2209 | Max Q-Miss: 0.0826 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  170 | Cost: 1412.64 | Max P-Miss: 0.2175 | Max Q-Miss: 0.0720 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  180 | Cost: 1435.82 | Max P-Miss: 0.2057 | Max Q-Miss: 0.0622 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  190 | Cost: 1448.52 | Max P-Miss: 0.2219 | Max Q-Miss: 0.0633 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  200 | Cost: 1457.47 | Max P-Miss: 0.2028 | Max Q-Miss: 0.0547 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  210 | Cost: 1470.73 | Max P-Miss: 0.1785 | Max Q-Miss: 0.0506 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  220 | Cost: 1463.56 | Max P-Miss: 0.2023 | Max Q-Miss: 0.0540 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  230 | Cost: 1471.03 | Max P-Miss: 0.1824 | Max Q-Miss: 0.0473 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  240 | Cost: 1470.31 | Max P-Miss: 0.2067 | Max Q-Miss: 0.0462 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  250 | Cost: 1473.84 | Max P-Miss: 0.1968 | Max Q-Miss: 0.0544 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  260 | Cost: 1477.09 | Max P-Miss: 0.2170 | Max Q-Miss: 0.0673 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  270 | Cost: 1253.89 | Max P-Miss: 0.1942 | Max Q-Miss: 0.0853 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  280 | Cost: 1439.24 | Max P-Miss: 0.1804 | Max Q-Miss: 0.1055 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  290 | Cost: 1500.42 | Max P-Miss: 0.1593 | Max Q-Miss: 0.0950 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  300 | Cost: 1393.40 | Max P-Miss: 0.2010 | Max Q-Miss: 0.0544 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  310 | Cost: 1417.19 | Max P-Miss: 0.1699 | Max Q-Miss: 0.1193 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  320 | Cost: 1423.76 | Max P-Miss: 0.1555 | Max Q-Miss: 0.0832 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  330 | Cost: 1420.77 | Max P-Miss: 0.1951 | Max Q-Miss: 0.0538 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  340 | Cost: 1477.16 | Max P-Miss: 0.1744 | Max Q-Miss: 0.0458 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  350 | Cost: 1496.56 | Max P-Miss: 0.1585 | Max Q-Miss: 0.0423 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  360 | Cost: 1501.53 | Max P-Miss: 0.1460 | Max Q-Miss: 0.0418 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  370 | Cost: 1499.35 | Max P-Miss: 0.1575 | Max Q-Miss: 0.0490 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  380 | Cost: 1498.73 | Max P-Miss: 0.1611 | Max Q-Miss: 0.0473 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  390 | Cost: 1501.22 | Max P-Miss: 0.1568 | Max Q-Miss: 0.0479 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  400 | Cost: 1504.28 | Max P-Miss: 0.1555 | Max Q-Miss: 0.0484 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  410 | Cost: 1503.45 | Max P-Miss: 0.1519 | Max Q-Miss: 0.0513 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  420 | Cost: 1505.49 | Max P-Miss: 0.1528 | Max Q-Miss: 0.0534 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  430 | Cost: 1429.23 | Max P-Miss: 0.1541 | Max Q-Miss: 0.0745 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  440 | Cost: 1417.95 | Max P-Miss: 0.1349 | Max Q-Miss: 0.0536 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  450 | Cost: 1481.94 | Max P-Miss: 0.1703 | Max Q-Miss: 0.0613 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  460 | Cost: 1426.54 | Max P-Miss: 0.1716 | Max Q-Miss: 0.0578 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  470 | Cost: 1485.49 | Max P-Miss: 0.1284 | Max Q-Miss: 0.1040 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  480 | Cost: 1440.96 | Max P-Miss: 0.1464 | Max Q-Miss: 0.0750 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  490 | Cost: 1469.92 | Max P-Miss: 0.1376 | Max Q-Miss: 0.0552 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  500 | Cost: 1487.43 | Max P-Miss: 0.1153 | Max Q-Miss: 0.0542 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  510 | Cost: 1484.53 | Max P-Miss: 0.1270 | Max Q-Miss: 0.0629 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  520 | Cost: 1496.07 | Max P-Miss: 0.1191 | Max Q-Miss: 0.0497 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  530 | Cost: 1461.08 | Max P-Miss: 0.1322 | Max Q-Miss: 0.0454 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  540 | Cost: 1501.91 | Max P-Miss: 0.1466 | Max Q-Miss: 0.0663 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  550 | Cost: 1512.54 | Max P-Miss: 0.1421 | Max Q-Miss: 0.0624 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  560 | Cost: 1514.91 | Max P-Miss: 0.1417 | Max Q-Miss: 0.0603 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  570 | Cost: 1515.25 | Max P-Miss: 0.1390 | Max Q-Miss: 0.0608 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  580 | Cost: 1514.56 | Max P-Miss: 0.1330 | Max Q-Miss: 0.0521 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  590 | Cost: 1515.03 | Max P-Miss: 0.1312 | Max Q-Miss: 0.0506 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  600 | Cost: 1516.20 | Max P-Miss: 0.1287 | Max Q-Miss: 0.0430 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  610 | Cost: 1516.64 | Max P-Miss: 0.1321 | Max Q-Miss: 0.0457 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  620 | Cost: 1516.42 | Max P-Miss: 0.1299 | Max Q-Miss: 0.0450 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  630 | Cost: 1511.75 | Max P-Miss: 0.1283 | Max Q-Miss: 0.0438 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  640 | Cost: 1509.12 | Max P-Miss: 0.1211 | Max Q-Miss: 0.0369 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  650 | Cost: 1484.95 | Max P-Miss: 0.1501 | Max Q-Miss: 0.0346 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  660 | Cost: 1468.89 | Max P-Miss: 0.1714 | Max Q-Miss: 0.1041 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  670 | Cost: 1505.72 | Max P-Miss: 0.1194 | Max Q-Miss: 0.0838 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  680 | Cost: 1499.86 | Max P-Miss: 0.2129 | Max Q-Miss: 0.0868 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  690 | Cost: 1469.32 | Max P-Miss: 0.1337 | Max Q-Miss: 0.0518 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  700 | Cost: 1507.09 | Max P-Miss: 0.1405 | Max Q-Miss: 0.0606 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  710 | Cost: 1507.82 | Max P-Miss: 0.1305 | Max Q-Miss: 0.0445 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  720 | Cost: 1506.06 | Max P-Miss: 0.1428 | Max Q-Miss: 0.0525 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  730 | Cost: 1501.83 | Max P-Miss: 0.1414 | Max Q-Miss: 0.0541 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  740 | Cost: 1500.07 | Max P-Miss: 0.1392 | Max Q-Miss: 0.0491 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  750 | Cost: 1499.17 | Max P-Miss: 0.1426 | Max Q-Miss: 0.0440 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  760 | Cost: 1498.73 | Max P-Miss: 0.1333 | Max Q-Miss: 0.0411 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  770 | Cost: 1495.56 | Max P-Miss: 0.1217 | Max Q-Miss: 0.0384 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  780 | Cost: 1492.60 | Max P-Miss: 0.1333 | Max Q-Miss: 0.0478 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  790 | Cost: 1390.42 | Max P-Miss: 0.1424 | Max Q-Miss: 0.0738 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  800 | Cost: 1446.13 | Max P-Miss: 0.1325 | Max Q-Miss: 0.0606 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  810 | Cost: 1495.99 | Max P-Miss: 0.1159 | Max Q-Miss: 0.0405 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  820 | Cost: 1505.42 | Max P-Miss: 0.1214 | Max Q-Miss: 0.0331 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  830 | Cost: 1449.15 | Max P-Miss: 0.1662 | Max Q-Miss: 0.0753 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
