Random seed     : 2
CUDA Hardware Acceleration Active: Tesla T4
Problem Geometry Linked -> Matrix Samples: 10000
======================================================================
CONTROLLED ABLATION
Case            : pglib_opf_case14_ieee
Projection      : generation
Weight strategy : nominal
Weights         : {'eq_p': 1000.0, 'eq_q': 1000.0, 'thermal': 1.0, 'ang': 1.0, 'v': 1.0, 'obj': 0.0005}
======================================================================

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: 158.6256 | Val Cost: 1693.03 | Val Max P-Miss: 1.0015 | Max Q-Miss: 0.6311 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 19.2812 | Val Cost: 2004.41 | Val Max P-Miss: 0.2657 | Max Q-Miss: 0.1884 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 22.6317 | Val Cost: 2169.91 | Val Max P-Miss: 0.2596 | Max Q-Miss: 0.2296 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 13.5284 | Val Cost: 2129.56 | Val Max P-Miss: 0.1815 | Max Q-Miss: 0.1332 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  400 | Val Loss: 11.4763 | Val Cost: 2213.73 | Val Max P-Miss: 0.2254 | Max Q-Miss: 0.1195 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 12.6945 | Val Cost: 2151.06 | Val Max P-Miss: 0.1676 | Max Q-Miss: 0.1434 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 11.5285 | Val Cost: 2233.04 | Val Max P-Miss: 0.1858 | Max Q-Miss: 0.1201 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  700 | Val Loss: 9.9620 | Val Cost: 2276.33 | Val Max P-Miss: 0.1996 | Max Q-Miss: 0.1110 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  800 | Val Loss: 10.0124 | Val Cost: 2194.51 | Val Max P-Miss: 0.1462 | Max Q-Miss: 0.0727 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  900 | Val Loss: 8.0465 | Val Cost: 2332.01 | Val Max P-Miss: 0.1653 | Max Q-Miss: 0.0916 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1000 | Val Loss: 10.8962 | Val Cost: 2267.74 | Val Max P-Miss: 0.1718 | Max Q-Miss: 0.0981 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
