Random seed     : 5
CUDA Hardware Acceleration Active: Tesla T4
Problem Geometry Linked -> Matrix Samples: 10000
======================================================================
CONTROLLED ABLATION
Case            : pglib_opf_case57_ieee
Projection      : full
Weight strategy : objective
Weights         : {'eq_p': 1000.0, 'eq_q': 1000.0, 'thermal': 1.0, 'ang': 1.0, 'v': 1.0, 'obj': 0.005}
======================================================================

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: 220.4116 | Val Cost: 24200.65 | Val Max P-Miss: 1.1476 | Max Q-Miss: 0.9059 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 91.3255 | Val Cost: 4143.82 | Val Max P-Miss: 0.5700 | Max Q-Miss: 0.3048 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 89.3400 | Val Cost: 3332.42 | Val Max P-Miss: 0.5953 | Max Q-Miss: 0.4474 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  300 | Val Loss: 73.7793 | Val Cost: 3231.68 | Val Max P-Miss: 0.4288 | Max Q-Miss: 0.3445 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  400 | Val Loss: 71.3533 | Val Cost: 3266.34 | Val Max P-Miss: 0.4467 | Max Q-Miss: 0.2824 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 81.8235 | Val Cost: 3289.35 | Val Max P-Miss: 0.6321 | Max Q-Miss: 0.2323 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 69.6235 | Val Cost: 3126.44 | Val Max P-Miss: 0.4042 | Max Q-Miss: 0.2831 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  700 | Val Loss: 71.2996 | Val Cost: 3179.91 | Val Max P-Miss: 0.4091 | Max Q-Miss: 0.2169 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 69.1311 | Val Cost: 3228.86 | Val Max P-Miss: 0.3879 | Max Q-Miss: 0.2894 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  900 | Val Loss: 67.0717 | Val Cost: 3137.49 | Val Max P-Miss: 0.3711 | Max Q-Miss: 0.2452 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch 1000 | Val Loss: 70.0610 | Val Cost: 3143.37 | Val Max P-Miss: 0.4535 | Max Q-Miss: 0.1831 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
