Job: acopf_ISS
Executing: ACOPF_DC3.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch    0 | Val Loss: 2.6573 | Val Cost: 1326.62 | Val Max P-Miss: 0.7854 | Val Max Q-Miss: 0.5965 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 0.9360 | Val Cost:  275.69 | Val Max P-Miss: 0.5623 | Val Max Q-Miss: 0.2683 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 0.9437 | Val Cost:  431.06 | Val Max P-Miss: 0.6623 | Val Max Q-Miss: 0.1341 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   30 | Val Loss: 0.8900 | Val Cost:  662.73 | Val Max P-Miss: 0.4130 | Val Max Q-Miss: 0.1568 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 0.9614 | Val Cost: 1049.66 | Val Max P-Miss: 0.5361 | Val Max Q-Miss: 0.2355 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 1.0400 | Val Cost: 1314.43 | Val Max P-Miss: 0.5203 | Val Max Q-Miss: 0.2471 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 0.9456 | Val Cost: 1376.04 | Val Max P-Miss: 0.4115 | Val Max Q-Miss: 0.1901 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 0.8831 | Val Cost: 1399.22 | Val Max P-Miss: 0.2864 | Val Max Q-Miss: 0.1769 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 0.9574 | Val Cost: 1434.74 | Val Max P-Miss: 0.2859 | Val Max Q-Miss: 0.1746 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 0.9711 | Val Cost: 1697.05 | Val Max P-Miss: 0.2071 | Val Max Q-Miss: 0.1330 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 0.9049 | Val Cost: 1489.79 | Val Max P-Miss: 0.2664 | Val Max Q-Miss: 0.1657 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 0.9719 | Val Cost: 1749.76 | Val Max P-Miss: 0.2650 | Val Max Q-Miss: 0.1413 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 0.9772 | Val Cost: 1828.11 | Val Max P-Miss: 0.2180 | Val Max Q-Miss: 0.1187 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 0.9896 | Val Cost: 1886.63 | Val Max P-Miss: 0.1832 | Val Max Q-Miss: 0.1046 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 1.0015 | Val Cost: 1805.01 | Val Max P-Miss: 0.2673 | Val Max Q-Miss: 0.1537 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 0.9849 | Val Cost: 1836.96 | Val Max P-Miss: 0.2276 | Val Max Q-Miss: 0.1217 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 0.9837 | Val Cost: 1860.13 | Val Max P-Miss: 0.2056 | Val Max Q-Miss: 0.1089 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  170 | Val Loss: 0.9866 | Val Cost: 1813.06 | Val Max P-Miss: 0.2610 | Val Max Q-Miss: 0.1272 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  180 | Val Loss: 0.9355 | Val Cost: 1735.74 | Val Max P-Miss: 0.2330 | Val Max Q-Miss: 0.1089 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  190 | Val Loss: 0.9352 | Val Cost: 1739.73 | Val Max P-Miss: 0.2272 | Val Max Q-Miss: 0.1091 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  200 | Val Loss: 0.9425 | Val Cost: 1768.18 | Val Max P-Miss: 0.2151 | Val Max Q-Miss: 0.1043 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  210 | Val Loss: 0.9306 | Val Cost: 1724.49 | Val Max P-Miss: 0.2292 | Val Max Q-Miss: 0.1118 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 0.9291 | Val Cost: 1712.77 | Val Max P-Miss: 0.2207 | Val Max Q-Miss: 0.1126 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 0.9202 | Val Cost: 1733.06 | Val Max P-Miss: 0.1997 | Val Max Q-Miss: 0.0961 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  240 | Val Loss: 0.9310 | Val Cost: 1761.00 | Val Max P-Miss: 0.1804 | Val Max Q-Miss: 0.0878 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  250 | Val Loss: 1.0322 | Val Cost: 1735.37 | Val Max P-Miss: 0.1548 | Val Max Q-Miss: 0.2528 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  260 | Val Loss: 0.9701 | Val Cost: 1631.38 | Val Max P-Miss: 0.3416 | Val Max Q-Miss: 0.1595 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  270 | Val Loss: 0.9096 | Val Cost: 1620.76 | Val Max P-Miss: 0.2771 | Val Max Q-Miss: 0.1369 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  280 | Val Loss: 0.8702 | Val Cost: 1571.18 | Val Max P-Miss: 0.2453 | Val Max Q-Miss: 0.1140 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  290 | Val Loss: 0.8404 | Val Cost: 1507.22 | Val Max P-Miss: 0.2311 | Val Max Q-Miss: 0.0908 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  300 | Val Loss: 0.8831 | Val Cost: 1675.94 | Val Max P-Miss: 0.1845 | Val Max Q-Miss: 0.0814 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 0.9034 | Val Cost: 1737.41 | Val Max P-Miss: 0.1586 | Val Max Q-Miss: 0.0729 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 0.9042 | Val Cost: 1740.34 | Val Max P-Miss: 0.1436 | Val Max Q-Miss: 0.0606 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 0.8952 | Val Cost: 1707.62 | Val Max P-Miss: 0.1747 | Val Max Q-Miss: 0.0776 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 0.8967 | Val Cost: 1717.84 | Val Max P-Miss: 0.1661 | Val Max Q-Miss: 0.0768 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  350 | Val Loss: 0.8939 | Val Cost: 1642.05 | Val Max P-Miss: 0.1961 | Val Max Q-Miss: 0.0916 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 0.8599 | Val Cost: 1539.76 | Val Max P-Miss: 0.1727 | Val Max Q-Miss: 0.0977 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  370 | Val Loss: 0.8438 | Val Cost: 1542.81 | Val Max P-Miss: 0.1429 | Val Max Q-Miss: 0.0820 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  380 | Val Loss: 0.8203 | Val Cost: 1504.28 | Val Max P-Miss: 0.1423 | Val Max Q-Miss: 0.0838 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  390 | Val Loss: 0.8310 | Val Cost: 1561.34 | Val Max P-Miss: 0.1289 | Val Max Q-Miss: 0.0701 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 0.8104 | Val Cost: 1494.77 | Val Max P-Miss: 0.1706 | Val Max Q-Miss: 0.0864 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  410 | Val Loss: 0.8344 | Val Cost: 1573.92 | Val Max P-Miss: 0.1435 | Val Max Q-Miss: 0.0865 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  420 | Val Loss: 0.8554 | Val Cost: 1630.07 | Val Max P-Miss: 0.1481 | Val Max Q-Miss: 0.0890 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  430 | Val Loss: 0.8754 | Val Cost: 1577.87 | Val Max P-Miss: 0.2320 | Val Max Q-Miss: 0.0918 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  440 | Val Loss: 0.8326 | Val Cost: 1562.74 | Val Max P-Miss: 0.1669 | Val Max Q-Miss: 0.0731 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  450 | Val Loss: 0.8280 | Val Cost: 1559.71 | Val Max P-Miss: 0.1602 | Val Max Q-Miss: 0.0690 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  460 | Val Loss: 0.8292 | Val Cost: 1569.94 | Val Max P-Miss: 0.1444 | Val Max Q-Miss: 0.0541 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  470 | Val Loss: 0.8280 | Val Cost: 1562.51 | Val Max P-Miss: 0.1503 | Val Max Q-Miss: 0.0714 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  480 | Val Loss: 0.8406 | Val Cost: 1590.67 | Val Max P-Miss: 0.1533 | Val Max Q-Miss: 0.0557 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  490 | Val Loss: 0.8642 | Val Cost: 1638.24 | Val Max P-Miss: 0.1700 | Val Max Q-Miss: 0.0768 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  500 | Val Loss: 0.8727 | Val Cost: 1669.10 | Val Max P-Miss: 0.1502 | Val Max Q-Miss: 0.0709 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  510 | Val Loss: 0.8826 | Val Cost: 1696.67 | Val Max P-Miss: 0.1406 | Val Max Q-Miss: 0.0706 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  520 | Val Loss: 0.8915 | Val Cost: 1718.89 | Val Max P-Miss: 0.1378 | Val Max Q-Miss: 0.0683 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  530 | Val Loss: 0.8999 | Val Cost: 1737.62 | Val Max P-Miss: 0.1474 | Val Max Q-Miss: 0.0679 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  540 | Val Loss: 0.9062 | Val Cost: 1640.31 | Val Max P-Miss: 0.2307 | Val Max Q-Miss: 0.0972 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  550 | Val Loss: 0.8616 | Val Cost: 1611.47 | Val Max P-Miss: 0.1967 | Val Max Q-Miss: 0.0893 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  560 | Val Loss: 0.8806 | Val Cost: 1659.62 | Val Max P-Miss: 0.1957 | Val Max Q-Miss: 0.0956 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  570 | Val Loss: 0.8614 | Val Cost: 1634.25 | Val Max P-Miss: 0.1790 | Val Max Q-Miss: 0.0813 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
