Job: acopf_ISS
Executing: ACOPF_FSNet.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch    0 | Val Loss: 2.6647 | Val Cost: 1480.70 | Val Max P-Miss: 0.9031 | Val Max Q-Miss: 0.4871 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 1.0690 | Val Cost:  368.95 | Val Max P-Miss: 0.4319 | Val Max Q-Miss: 0.1389 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 0.7955 | Val Cost:  247.54 | Val Max P-Miss: 0.4839 | Val Max Q-Miss: 0.2489 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 0.6342 | Val Cost:  167.11 | Val Max P-Miss: 0.4679 | Val Max Q-Miss: 0.1527 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 0.7280 | Val Cost:  147.00 | Val Max P-Miss: 0.5302 | Val Max Q-Miss: 0.1812 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 0.8392 | Val Cost:  189.90 | Val Max P-Miss: 0.5120 | Val Max Q-Miss: 0.2124 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 0.7754 | Val Cost:  162.82 | Val Max P-Miss: 0.6546 | Val Max Q-Miss: 0.2338 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 0.6349 | Val Cost:   96.62 | Val Max P-Miss: 0.4674 | Val Max Q-Miss: 0.1522 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 0.5758 | Val Cost:   68.45 | Val Max P-Miss: 0.4868 | Val Max Q-Miss: 0.1131 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 0.6015 | Val Cost:   57.65 | Val Max P-Miss: 0.5242 | Val Max Q-Miss: 0.1318 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 0.5212 | Val Cost:   52.20 | Val Max P-Miss: 0.4544 | Val Max Q-Miss: 0.1055 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  110 | Val Loss: 0.5194 | Val Cost:   47.82 | Val Max P-Miss: 0.4581 | Val Max Q-Miss: 0.1085 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  120 | Val Loss: 0.5216 | Val Cost:   43.43 | Val Max P-Miss: 0.4689 | Val Max Q-Miss: 0.1118 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 0.5456 | Val Cost:   38.69 | Val Max P-Miss: 0.4985 | Val Max Q-Miss: 0.1217 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 0.5041 | Val Cost:   37.17 | Val Max P-Miss: 0.4589 | Val Max Q-Miss: 0.1035 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  150 | Val Loss: 0.5191 | Val Cost:   33.76 | Val Max P-Miss: 0.4766 | Val Max Q-Miss: 0.1105 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 0.5326 | Val Cost:   39.88 | Val Max P-Miss: 0.4194 | Val Max Q-Miss: 0.0660 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  170 | Val Loss: 0.4536 | Val Cost:   31.55 | Val Max P-Miss: 0.4455 | Val Max Q-Miss: 0.1344 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  180 | Val Loss: 0.4184 | Val Cost:   26.72 | Val Max P-Miss: 0.4158 | Val Max Q-Miss: 0.0858 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  190 | Val Loss: 0.4130 | Val Cost:   24.49 | Val Max P-Miss: 0.4089 | Val Max Q-Miss: 0.0801 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 0.3957 | Val Cost:   22.21 | Val Max P-Miss: 0.3779 | Val Max Q-Miss: 0.0674 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  210 | Val Loss: 0.4127 | Val Cost:   21.04 | Val Max P-Miss: 0.4218 | Val Max Q-Miss: 0.0808 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 0.4090 | Val Cost:   19.69 | Val Max P-Miss: 0.4170 | Val Max Q-Miss: 0.0778 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 0.3960 | Val Cost:   18.52 | Val Max P-Miss: 0.3907 | Val Max Q-Miss: 0.0652 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  240 | Val Loss: 0.3953 | Val Cost:   17.29 | Val Max P-Miss: 0.3871 | Val Max Q-Miss: 0.0638 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  250 | Val Loss: 0.4877 | Val Cost:   19.59 | Val Max P-Miss: 0.3630 | Val Max Q-Miss: 0.1613 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  260 | Val Loss: 0.3985 | Val Cost:   16.27 | Val Max P-Miss: 0.4070 | Val Max Q-Miss: 0.0700 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  270 | Val Loss: 0.3856 | Val Cost:   14.40 | Val Max P-Miss: 0.3783 | Val Max Q-Miss: 0.0609 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  280 | Val Loss: 0.3942 | Val Cost:   13.43 | Val Max P-Miss: 0.4002 | Val Max Q-Miss: 0.0626 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  290 | Val Loss: 0.3955 | Val Cost:   12.42 | Val Max P-Miss: 0.4032 | Val Max Q-Miss: 0.0621 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 0.4280 | Val Cost:   11.54 | Val Max P-Miss: 0.4556 | Val Max Q-Miss: 0.0776 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 0.5784 | Val Cost:   42.92 | Val Max P-Miss: 0.4415 | Val Max Q-Miss: 0.1600 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 0.4256 | Val Cost:   17.37 | Val Max P-Miss: 0.3320 | Val Max Q-Miss: 0.0554 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 0.4049 | Val Cost:   13.38 | Val Max P-Miss: 0.3030 | Val Max Q-Miss: 0.0503 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 0.3962 | Val Cost:   10.46 | Val Max P-Miss: 0.2947 | Val Max Q-Miss: 0.0485 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  350 | Val Loss: 0.3843 | Val Cost:    8.51 | Val Max P-Miss: 0.2834 | Val Max Q-Miss: 0.0460 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  360 | Val Loss: 0.4031 | Val Cost:    8.68 | Val Max P-Miss: 0.4173 | Val Max Q-Miss: 0.0758 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
