Job: acopf_ISS
Executing: ACOPF_Hard_KKT.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Hard KKT...
Epoch    0 | Val Loss: 117.1689 | Val Cost: 1709.32 | Val Max P-Miss: 0.7659 | Val Max Q-Miss: 0.6021 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 13.9463 | Val Cost: 2125.12 | Val Max P-Miss: 0.2416 | Val Max Q-Miss: 0.1986 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 13.4755 | Val Cost: 2436.61 | Val Max P-Miss: 0.2618 | Val Max Q-Miss: 0.1645 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 14.9355 | Val Cost: 2627.54 | Val Max P-Miss: 0.2926 | Val Max Q-Miss: 0.1862 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   40 | Val Loss: 14.9523 | Val Cost: 2746.15 | Val Max P-Miss: 0.3209 | Val Max Q-Miss: 0.1837 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 15.7478 | Val Cost: 2587.60 | Val Max P-Miss: 0.2481 | Val Max Q-Miss: 0.1541 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 16.9835 | Val Cost: 2775.17 | Val Max P-Miss: 0.2710 | Val Max Q-Miss: 0.1431 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 11.1252 | Val Cost: 2826.24 | Val Max P-Miss: 0.2144 | Val Max Q-Miss: 0.1725 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 7.9783 | Val Cost: 2866.38 | Val Max P-Miss: 0.2106 | Val Max Q-Miss: 0.1123 | Val Max Gen Viol: 0.0001 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 10.3446 | Val Cost: 2880.62 | Val Max P-Miss: 0.2025 | Val Max Q-Miss: 0.1627 | Val Max Gen Viol: 0.0001 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 12.9283 | Val Cost: 2878.09 | Val Max P-Miss: 0.2274 | Val Max Q-Miss: 0.1063 | Val Max Gen Viol: 0.0001 | Val Max Thermal: 0.0000
