Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py --case_name pglib_opf_case57_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
--- STEP 1: EXHAUSTIVE DATASET INTEGRITY CHECK ---
All problem matrices are 100% clean of NaNs and Infs.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: 98.6358 | Val Cost: 24288.93 | Val Max P-Miss: 1.0589 | Max Q-Miss: 0.8156 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 25.9469 | Val Cost: 29059.97 | Val Max P-Miss: 0.5905 | Max Q-Miss: 0.2628 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 26.7218 | Val Cost: 30047.99 | Val Max P-Miss: 0.4289 | Max Q-Miss: 0.2591 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   30 | Val Loss: 23.9454 | Val Cost: 30669.42 | Val Max P-Miss: 0.3411 | Max Q-Miss: 0.2031 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 22.2877 | Val Cost: 30769.45 | Val Max P-Miss: 0.2985 | Max Q-Miss: 0.1909 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 22.2922 | Val Cost: 30757.17 | Val Max P-Miss: 0.5361 | Max Q-Miss: 0.1376 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 21.7615 | Val Cost: 30975.49 | Val Max P-Miss: 0.3376 | Max Q-Miss: 0.1452 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 21.8341 | Val Cost: 31169.25 | Val Max P-Miss: 0.2430 | Max Q-Miss: 0.1476 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 21.4765 | Val Cost: 31192.89 | Val Max P-Miss: 0.2696 | Max Q-Miss: 0.1883 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 20.7786 | Val Cost: 31355.85 | Val Max P-Miss: 0.2420 | Max Q-Miss: 0.1704 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 23.5207 | Val Cost: 31179.82 | Val Max P-Miss: 0.3103 | Max Q-Miss: 0.1726 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 21.4187 | Val Cost: 31128.36 | Val Max P-Miss: 0.3252 | Max Q-Miss: 0.1911 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
