Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: 300.0988 | Val Cost: 1465.64 | Val Max P-Miss: 1.0403 | Max Q-Miss: 0.6630 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 60.8967 | Val Cost:   85.67 | Val Max P-Miss: 0.4874 | Max Q-Miss: 0.1784 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 60.7310 | Val Cost:   59.32 | Val Max P-Miss: 0.4873 | Max Q-Miss: 0.2712 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 53.4125 | Val Cost:   43.43 | Val Max P-Miss: 0.4591 | Max Q-Miss: 0.1196 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 50.2536 | Val Cost:   35.29 | Val Max P-Miss: 0.4325 | Max Q-Miss: 0.1150 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 49.2879 | Val Cost:   29.08 | Val Max P-Miss: 0.4050 | Max Q-Miss: 0.1157 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 53.1412 | Val Cost:   58.42 | Val Max P-Miss: 0.4772 | Max Q-Miss: 0.1193 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 43.9489 | Val Cost:   23.62 | Val Max P-Miss: 0.4105 | Max Q-Miss: 0.1441 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 47.9226 | Val Cost:   22.78 | Val Max P-Miss: 0.3616 | Max Q-Miss: 0.2188 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 47.7778 | Val Cost:   19.27 | Val Max P-Miss: 0.3516 | Max Q-Miss: 0.1730 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 95.8695 | Val Cost:   16.15 | Val Max P-Miss: 0.8500 | Max Q-Miss: 0.2098 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 47.1494 | Val Cost:   23.40 | Val Max P-Miss: 0.3693 | Max Q-Miss: 0.1535 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 46.1707 | Val Cost:   14.60 | Val Max P-Miss: 0.3302 | Max Q-Miss: 0.2063 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 42.8112 | Val Cost:   11.39 | Val Max P-Miss: 0.3101 | Max Q-Miss: 0.1717 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  140 | Val Loss: 52.7442 | Val Cost:   12.79 | Val Max P-Miss: 0.4897 | Max Q-Miss: 0.1455 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 43.0503 | Val Cost:   10.87 | Val Max P-Miss: 0.3202 | Max Q-Miss: 0.1762 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
