Job: acopf_ISS
Executing: ACOPF_pinn_rahul_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
Executing strictly on GPU: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 1201971.1250 | Val Cost: 1033.86 | Val Max P-Miss: 0.5271 | Val Max Q-Miss: 0.2073 | Val Max Gen Viol: 1.2435 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 54288.1328 | Val Cost:  280.46 | Val Max P-Miss: 1.0758 | Val Max Q-Miss: 0.3923 | Val Max Gen Viol: 0.0441 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 897.2872 | Val Cost:    0.15 | Val Max P-Miss: 1.1109 | Val Max Q-Miss: 0.4465 | Val Max Gen Viol: 0.0041 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 433.7444 | Val Cost:   -0.02 | Val Max P-Miss: 1.1110 | Val Max Q-Miss: 0.4494 | Val Max Gen Viol: 0.0041 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 380.5512 | Val Cost:   -0.02 | Val Max P-Miss: 1.1109 | Val Max Q-Miss: 0.4494 | Val Max Gen Viol: 0.0041 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 5881.1201 | Val Cost:   -0.44 | Val Max P-Miss: 1.1107 | Val Max Q-Miss: 0.4495 | Val Max Gen Viol: 0.0041 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 415.6706 | Val Cost:    0.03 | Val Max P-Miss: 1.1106 | Val Max Q-Miss: 0.4491 | Val Max Gen Viol: 0.0041 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 392.5200 | Val Cost:    0.01 | Val Max P-Miss: 1.1105 | Val Max Q-Miss: 0.4489 | Val Max Gen Viol: 0.0041 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 658.2360 | Val Cost:    0.15 | Val Max P-Miss: 1.1099 | Val Max Q-Miss: 0.4468 | Val Max Gen Viol: 0.0032 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 261.4366 | Val Cost:    0.50 | Val Max P-Miss: 1.1093 | Val Max Q-Miss: 0.4492 | Val Max Gen Viol: 0.0031 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 273.3484 | Val Cost:   -0.02 | Val Max P-Miss: 1.1092 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0031 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 1134.1764 | Val Cost:   -0.08 | Val Max P-Miss: 1.1093 | Val Max Q-Miss: 0.4489 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 264.3009 | Val Cost:    0.87 | Val Max P-Miss: 1.1095 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 313.0313 | Val Cost:   -0.04 | Val Max P-Miss: 1.1096 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0026 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 270.2391 | Val Cost:   -0.00 | Val Max P-Miss: 1.1096 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 256.1344 | Val Cost:    0.01 | Val Max P-Miss: 1.1096 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  160 | Val Loss: 243.7492 | Val Cost:   -0.00 | Val Max P-Miss: 1.1095 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  170 | Val Loss: 232.3325 | Val Cost:    0.00 | Val Max P-Miss: 1.1095 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  180 | Val Loss: 224.6349 | Val Cost:   -0.01 | Val Max P-Miss: 1.1095 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  190 | Val Loss: 210.6549 | Val Cost:    0.00 | Val Max P-Miss: 1.1094 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 194.9749 | Val Cost:   -0.01 | Val Max P-Miss: 1.1094 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  210 | Val Loss: 181.5395 | Val Cost:   -0.00 | Val Max P-Miss: 1.1094 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  220 | Val Loss: 168.4578 | Val Cost:    0.01 | Val Max P-Miss: 1.1093 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  230 | Val Loss: 157.8934 | Val Cost:   -0.00 | Val Max P-Miss: 1.1093 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  240 | Val Loss: 148.9996 | Val Cost:   -0.00 | Val Max P-Miss: 1.1093 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0030 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  250 | Val Loss: 138.9247 | Val Cost:   -0.00 | Val Max P-Miss: 1.1092 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0030 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  260 | Val Loss: 129.0242 | Val Cost:    0.00 | Val Max P-Miss: 1.1092 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0031 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  270 | Val Loss: 121.9433 | Val Cost:   -0.01 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0031 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  280 | Val Loss: 115.2553 | Val Cost:   -0.00 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0032 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  290 | Val Loss: 1738.5092 | Val Cost:   -0.11 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0032 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 247.8554 | Val Cost:    0.30 | Val Max P-Miss: 1.1096 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0025 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 158.4973 | Val Cost:    0.01 | Val Max P-Miss: 1.1096 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0026 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 136.6924 | Val Cost:    0.00 | Val Max P-Miss: 1.1095 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0026 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 119.9239 | Val Cost:    0.01 | Val Max P-Miss: 1.1095 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000
Epoch  340 | Val Loss: 110.8365 | Val Cost:    0.01 | Val Max P-Miss: 1.1095 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  350 | Val Loss: 107.6025 | Val Cost:   -0.18 | Val Max P-Miss: 1.1094 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  360 | Val Loss: 99.9074 | Val Cost:   -0.11 | Val Max P-Miss: 1.1094 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  370 | Val Loss: 93.9917 | Val Cost:    0.89 | Val Max P-Miss: 1.1093 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  380 | Val Loss: 87.3517 | Val Cost:    0.02 | Val Max P-Miss: 1.1093 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  390 | Val Loss: 298.6437 | Val Cost:   -0.50 | Val Max P-Miss: 1.1092 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0030 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 793.1129 | Val Cost:    1.16 | Val Max P-Miss: 1.1083 | Val Max Q-Miss: 0.4490 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000
Epoch  410 | Val Loss: 86.0777 | Val Cost:   -0.03 | Val Max P-Miss: 1.1084 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0025 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  420 | Val Loss: 88.9508 | Val Cost:    0.00 | Val Max P-Miss: 1.1084 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0026 | Val Max Thermal: 0.0000
Epoch  430 | Val Loss: 77.8658 | Val Cost:    0.00 | Val Max P-Miss: 1.1084 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0026 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  440 | Val Loss: 70.5940 | Val Cost:    0.01 | Val Max P-Miss: 1.1084 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  450 | Val Loss: 65.5929 | Val Cost:    0.00 | Val Max P-Miss: 1.1083 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0027 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  460 | Val Loss: 62.1465 | Val Cost:    0.00 | Val Max P-Miss: 1.1083 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  470 | Val Loss: 57.9251 | Val Cost:    0.00 | Val Max P-Miss: 1.1082 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  480 | Val Loss: 56.4525 | Val Cost:   -0.00 | Val Max P-Miss: 1.1082 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  490 | Val Loss: 51.7437 | Val Cost:    0.00 | Val Max P-Miss: 1.1081 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0029 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 532.3694 | Val Cost:   17.13 | Val Max P-Miss: 1.1070 | Val Max Q-Miss: 0.4519 | Val Max Gen Viol: 0.0041 | Val Max Thermal: 0.0000
Epoch  510 | Val Loss: 154.1713 | Val Cost:    0.17 | Val Max P-Miss: 1.1092 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0017 | Val Max Thermal: 0.0000
Epoch  520 | Val Loss: 69.2281 | Val Cost:    0.00 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0018 | Val Max Thermal: 0.0000
Epoch  530 | Val Loss: 64.1831 | Val Cost:    0.00 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0018 | Val Max Thermal: 0.0000
Epoch  540 | Val Loss: 54.2424 | Val Cost:    0.00 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0018 | Val Max Thermal: 0.0000
Epoch  550 | Val Loss: 52.1544 | Val Cost:    0.00 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0019 | Val Max Thermal: 0.0000
