Job: acopf_ISS
Executing: ACOPF_pinn_rahul_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
Executing strictly on GPU: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 1201961.0000 | Val Cost:  917.09 | Val Max P-Miss: 0.4862 | Val Max Q-Miss: 0.2210 | Val Max Gen Viol: 1.2300 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 54847.5352 | Val Cost:  304.95 | Val Max P-Miss: 1.0644 | Val Max Q-Miss: 0.3296 | Val Max Gen Viol: 0.0614 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 435.0856 | Val Cost:   -2.72 | Val Max P-Miss: 1.1141 | Val Max Q-Miss: 0.4470 | Val Max Gen Viol: 0.0028 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 485.4946 | Val Cost:    0.04 | Val Max P-Miss: 1.1125 | Val Max Q-Miss: 0.4494 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000
Epoch   40 | Val Loss: 408.5248 | Val Cost:   -0.02 | Val Max P-Miss: 1.1118 | Val Max Q-Miss: 0.4493 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 366.4323 | Val Cost:    0.01 | Val Max P-Miss: 1.1117 | Val Max Q-Miss: 0.4493 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 338.4637 | Val Cost:    0.01 | Val Max P-Miss: 1.1117 | Val Max Q-Miss: 0.4493 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 319.5294 | Val Cost:   -0.01 | Val Max P-Miss: 1.1116 | Val Max Q-Miss: 0.4493 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 305.8302 | Val Cost:    0.04 | Val Max P-Miss: 1.1114 | Val Max Q-Miss: 0.4493 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 514.0100 | Val Cost:    0.01 | Val Max P-Miss: 1.1113 | Val Max Q-Miss: 0.4491 | Val Max Gen Viol: 0.0039 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 370.1742 | Val Cost:    0.02 | Val Max P-Miss: 1.1112 | Val Max Q-Miss: 0.4492 | Val Max Gen Viol: 0.0040 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 334.7995 | Val Cost:    0.01 | Val Max P-Miss: 1.1110 | Val Max Q-Miss: 0.4492 | Val Max Gen Viol: 0.0040 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 321.6895 | Val Cost:    0.00 | Val Max P-Miss: 1.1108 | Val Max Q-Miss: 0.4491 | Val Max Gen Viol: 0.0040 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 362.5299 | Val Cost:   -0.02 | Val Max P-Miss: 1.1105 | Val Max Q-Miss: 0.4489 | Val Max Gen Viol: 0.0040 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 876.2488 | Val Cost:    0.12 | Val Max P-Miss: 1.1104 | Val Max Q-Miss: 0.4481 | Val Max Gen Viol: 0.0046 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 354.0378 | Val Cost:   -3.07 | Val Max P-Miss: 1.1107 | Val Max Q-Miss: 0.4482 | Val Max Gen Viol: 0.0014 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 277.5887 | Val Cost:    0.01 | Val Max P-Miss: 1.1104 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0014 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  170 | Val Loss: 250.9144 | Val Cost:   -0.00 | Val Max P-Miss: 1.1103 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0015 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  180 | Val Loss: 233.1236 | Val Cost:    0.01 | Val Max P-Miss: 1.1103 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0015 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  190 | Val Loss: 216.7686 | Val Cost:   -0.01 | Val Max P-Miss: 1.1103 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0015 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 201.2727 | Val Cost:   -0.00 | Val Max P-Miss: 1.1103 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0015 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  210 | Val Loss: 188.6483 | Val Cost:    0.01 | Val Max P-Miss: 1.1102 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0015 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  220 | Val Loss: 177.0432 | Val Cost:   -0.00 | Val Max P-Miss: 1.1102 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0015 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  230 | Val Loss: 164.3225 | Val Cost:   -0.02 | Val Max P-Miss: 1.1102 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0015 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  240 | Val Loss: 153.3910 | Val Cost:   -0.01 | Val Max P-Miss: 1.1101 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0016 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  250 | Val Loss: 143.0999 | Val Cost:    0.01 | Val Max P-Miss: 1.1101 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0016 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  260 | Val Loss: 131.8426 | Val Cost:    0.05 | Val Max P-Miss: 1.1100 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0016 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  270 | Val Loss: 325.5976 | Val Cost:   -0.28 | Val Max P-Miss: 1.1103 | Val Max Q-Miss: 0.4488 | Val Max Gen Viol: 0.0013 | Val Max Thermal: 0.0000
Epoch  280 | Val Loss: 195.5708 | Val Cost:   -0.00 | Val Max P-Miss: 1.1099 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0017 | Val Max Thermal: 0.0000
Epoch  290 | Val Loss: 164.3190 | Val Cost:    0.00 | Val Max P-Miss: 1.1098 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0017 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 147.5808 | Val Cost:   -0.00 | Val Max P-Miss: 1.1098 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0018 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 136.2775 | Val Cost:   -0.67 | Val Max P-Miss: 1.1098 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0017 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 133.2904 | Val Cost:   -1.21 | Val Max P-Miss: 1.1098 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0017 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 123.4171 | Val Cost:    0.01 | Val Max P-Miss: 1.1096 | Val Max Q-Miss: 0.4486 | Val Max Gen Viol: 0.0018 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  340 | Val Loss: 819.6634 | Val Cost:    1.11 | Val Max P-Miss: 1.1088 | Val Max Q-Miss: 0.4434 | Val Max Gen Viol: 0.0025 | Val Max Thermal: 0.0000
Epoch  350 | Val Loss: 417.3421 | Val Cost:    0.02 | Val Max P-Miss: 1.1092 | Val Max Q-Miss: 0.4487 | Val Max Gen Viol: 0.0020 | Val Max Thermal: 0.0000
Epoch  360 | Val Loss: 209.7901 | Val Cost:    0.01 | Val Max P-Miss: 1.1091 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0021 | Val Max Thermal: 0.0000
Epoch  370 | Val Loss: 342.6761 | Val Cost:    0.07 | Val Max P-Miss: 1.1088 | Val Max Q-Miss: 0.4489 | Val Max Gen Viol: 0.0021 | Val Max Thermal: 0.0000
Epoch  380 | Val Loss: 332.9430 | Val Cost:    0.00 | Val Max P-Miss: 1.1089 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0022 | Val Max Thermal: 0.0000
Epoch  390 | Val Loss: 194.9717 | Val Cost:    0.00 | Val Max P-Miss: 1.1088 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0022 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 306.3036 | Val Cost:   -0.01 | Val Max P-Miss: 1.1087 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0022 | Val Max Thermal: 0.0000
Epoch  410 | Val Loss: 422.6383 | Val Cost:    0.24 | Val Max P-Miss: 1.1083 | Val Max Q-Miss: 0.4481 | Val Max Gen Viol: 0.0024 | Val Max Thermal: 0.0000
Epoch  420 | Val Loss: 148.9802 | Val Cost:    0.01 | Val Max P-Miss: 1.1083 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0023 | Val Max Thermal: 0.0000
Epoch  430 | Val Loss: 121.8751 | Val Cost:    0.00 | Val Max P-Miss: 1.1083 | Val Max Q-Miss: 0.4485 | Val Max Gen Viol: 0.0023 | Val Max Thermal: 0.0000 [*SAVED BEST*]
