Job: acopf_ISS
Executing: ACOPF_Hard_KKT.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Hard KKT...
Epoch    0 | Val Loss: 275.0209 | Val Cost: 1440.83 | Val Max P-Miss: 0.8410 | Val Max Q-Miss: 0.6121 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 64.6598 | Val Cost:   77.19 | Val Max P-Miss: 0.4801 | Val Max Q-Miss: 0.2341 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 57.0696 | Val Cost:   33.78 | Val Max P-Miss: 0.5323 | Val Max Q-Miss: 0.2390 | Val Max Gen Viol: 0.0056 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 56.0950 | Val Cost:   28.12 | Val Max P-Miss: 0.5084 | Val Max Q-Miss: 0.1914 | Val Max Gen Viol: 0.0065 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 48.4309 | Val Cost:    2.43 | Val Max P-Miss: 0.4489 | Val Max Q-Miss: 0.1074 | Val Max Gen Viol: 0.0090 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 47.8721 | Val Cost:   -3.62 | Val Max P-Miss: 0.4326 | Val Max Q-Miss: 0.0903 | Val Max Gen Viol: 0.0095 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 57.8260 | Val Cost:   -5.13 | Val Max P-Miss: 0.5049 | Val Max Q-Miss: 0.1274 | Val Max Gen Viol: 0.0097 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 43.1706 | Val Cost:  -14.08 | Val Max P-Miss: 0.3847 | Val Max Q-Miss: 0.0659 | Val Max Gen Viol: 0.0104 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 41.7543 | Val Cost:  -16.50 | Val Max P-Miss: 0.3767 | Val Max Q-Miss: 0.0676 | Val Max Gen Viol: 0.0106 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 41.7841 | Val Cost:  -15.50 | Val Max P-Miss: 0.3760 | Val Max Q-Miss: 0.0964 | Val Max Gen Viol: 0.0105 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 43.9809 | Val Cost:  -10.32 | Val Max P-Miss: 0.4014 | Val Max Q-Miss: 0.1692 | Val Max Gen Viol: 0.0101 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 42.5583 | Val Cost:  -18.05 | Val Max P-Miss: 0.3442 | Val Max Q-Miss: 0.1738 | Val Max Gen Viol: 0.0107 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 40.8550 | Val Cost:  -20.72 | Val Max P-Miss: 0.3405 | Val Max Q-Miss: 0.1580 | Val Max Gen Viol: 0.0109 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  130 | Val Loss: 51.4890 | Val Cost:  -23.73 | Val Max P-Miss: 0.4131 | Val Max Q-Miss: 0.2226 | Val Max Gen Viol: 0.0112 | Val Max Thermal: 0.0000
