Job: acopf_ISS
Executing: ACOPF_Hard_KKT_multi.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Multi-Branch Hard KKT...
Epoch    0 | Val Loss: 338.0520 | Val Cost:  336.40 | Val Max P-Miss: 1.0054 | Val Max Q-Miss: 0.2392 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: -29.1326 | Val Cost:  -30.78 | Val Max P-Miss: 0.6631 | Val Max Q-Miss: 0.2915 | Val Max Gen Viol: 0.0118 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: -27.6403 | Val Cost:  -32.01 | Val Max P-Miss: 0.6369 | Val Max Q-Miss: 0.3061 | Val Max Gen Viol: 0.0123 | Val Max Thermal: 0.0000
Epoch   30 | Val Loss: -21.5111 | Val Cost:  -34.53 | Val Max P-Miss: 0.7373 | Val Max Q-Miss: 0.2966 | Val Max Gen Viol: 0.0131 | Val Max Thermal: 0.0000
Epoch   40 | Val Loss: -27.3749 | Val Cost:  -36.97 | Val Max P-Miss: 0.8154 | Val Max Q-Miss: 0.4194 | Val Max Gen Viol: 0.0140 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: -22.9843 | Val Cost:  -40.18 | Val Max P-Miss: 1.0607 | Val Max Q-Miss: 0.8261 | Val Max Gen Viol: 0.0151 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: -18.7627 | Val Cost:  -44.02 | Val Max P-Miss: 1.4065 | Val Max Q-Miss: 1.4862 | Val Max Gen Viol: 0.0164 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: -11.9058 | Val Cost:  -48.54 | Val Max P-Miss: 1.8604 | Val Max Q-Miss: 2.6798 | Val Max Gen Viol: 0.0179 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 142.0809 | Val Cost:  -54.47 | Val Max P-Miss: 3.1433 | Val Max Q-Miss: 8.9414 | Val Max Gen Viol: 0.0199 | Val Max Thermal: 3.2827
Epoch   90 | Val Loss: 232.6815 | Val Cost:  -61.04 | Val Max P-Miss: 2.7314 | Val Max Q-Miss: 7.9053 | Val Max Gen Viol: 0.0221 | Val Max Thermal: 0.7838
Epoch  100 | Val Loss: -9.1583 | Val Cost:  -62.52 | Val Max P-Miss: 4.6581 | Val Max Q-Miss: 6.1147 | Val Max Gen Viol: 0.0226 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 351.3047 | Val Cost:  -68.44 | Val Max P-Miss: 1.7410 | Val Max Q-Miss: 1.5285 | Val Max Gen Viol: 0.0245 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 7.8349 | Val Cost:  -68.16 | Val Max P-Miss: 1.8613 | Val Max Q-Miss: 1.8911 | Val Max Gen Viol: 0.0244 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 6.8814 | Val Cost:  -76.26 | Val Max P-Miss: 1.0961 | Val Max Q-Miss: 0.2074 | Val Max Gen Viol: 0.0272 | Val Max Thermal: 0.0000
