Job: acopf_ISS
Executing: ACOPF_pinn_rahul.py --case_name pglib_opf_case57_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 225.3830 | Val Cost: 30000.20 | Val Max P-Miss: 1.0862 | Val Max Q-Miss: 1.3759 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 47.6045 | Val Cost: 41920.20 | Val Max P-Miss: 0.8543 | Val Max Q-Miss: 0.3023 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 247.0406 | Val Cost: 35896.25 | Val Max P-Miss: 1.8838 | Val Max Q-Miss: 0.6427 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 831.0403 | Val Cost: 27842.43 | Val Max P-Miss: 1.5842 | Val Max Q-Miss: 1.8506 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 884.9958 | Val Cost: 28266.19 | Val Max P-Miss: 1.5029 | Val Max Q-Miss: 1.5498 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  500 | Val Loss: 1017.9714 | Val Cost: 33265.36 | Val Max P-Miss: 1.0865 | Val Max Q-Miss: 1.4951 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 1155.4020 | Val Cost: 23456.44 | Val Max P-Miss: 1.9522 | Val Max Q-Miss: 1.6770 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  700 | Val Loss: 1177.5291 | Val Cost: 23456.44 | Val Max P-Miss: 1.9523 | Val Max Q-Miss: 1.6741 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 1446.4958 | Val Cost: 23456.51 | Val Max P-Miss: 1.9933 | Val Max Q-Miss: 1.6740 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  900 | Val Loss: 1196.0299 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.9082 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1000 | Val Loss: 1154.4318 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.8501 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1100 | Val Loss: 1187.9292 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.8591 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1200 | Val Loss: 1246.7325 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.8643 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1300 | Val Loss: 1208.5901 | Val Cost: 23456.44 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.8596 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1400 | Val Loss: 1228.6571 | Val Cost: 23456.44 | Val Max P-Miss: 2.1349 | Val Max Q-Miss: 1.6913 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1500 | Val Loss: 1181.0309 | Val Cost: 23456.43 | Val Max P-Miss: 2.1144 | Val Max Q-Miss: 1.6685 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1600 | Val Loss: 1208.9985 | Val Cost: 23457.99 | Val Max P-Miss: 2.1143 | Val Max Q-Miss: 1.6690 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1700 | Val Loss: 959.4775 | Val Cost: 23456.43 | Val Max P-Miss: 1.9508 | Val Max Q-Miss: 1.4889 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1800 | Val Loss: 1007.6190 | Val Cost: 23456.43 | Val Max P-Miss: 1.3242 | Val Max Q-Miss: 1.3261 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1900 | Val Loss: 1050.2047 | Val Cost: 23456.43 | Val Max P-Miss: 1.2902 | Val Max Q-Miss: 1.2667 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2000 | Val Loss: 992.2654 | Val Cost: 23456.43 | Val Max P-Miss: 1.2707 | Val Max Q-Miss: 1.1953 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2100 | Val Loss: 868.5070 | Val Cost: 23456.43 | Val Max P-Miss: 1.2759 | Val Max Q-Miss: 1.2845 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2200 | Val Loss: 867.1993 | Val Cost: 23456.43 | Val Max P-Miss: 1.2733 | Val Max Q-Miss: 1.2861 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2300 | Val Loss: 872.1881 | Val Cost: 23456.43 | Val Max P-Miss: 1.2761 | Val Max Q-Miss: 1.2903 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2400 | Val Loss: 911.7960 | Val Cost: 23456.43 | Val Max P-Miss: 1.2743 | Val Max Q-Miss: 1.2868 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2500 | Val Loss: 1186.7612 | Val Cost: 23456.43 | Val Max P-Miss: 1.1841 | Val Max Q-Miss: 1.2663 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2600 | Val Loss: 860.2389 | Val Cost: 23456.43 | Val Max P-Miss: 1.2736 | Val Max Q-Miss: 1.2849 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2700 | Val Loss: 1206.7576 | Val Cost: 23456.43 | Val Max P-Miss: 1.2800 | Val Max Q-Miss: 1.3070 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2800 | Val Loss: 834.4050 | Val Cost: 23456.43 | Val Max P-Miss: 1.3118 | Val Max Q-Miss: 1.2838 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 2900 | Val Loss: 875.8181 | Val Cost: 23456.43 | Val Max P-Miss: 1.3123 | Val Max Q-Miss: 1.2868 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3000 | Val Loss: 837.8174 | Val Cost: 23456.43 | Val Max P-Miss: 1.3124 | Val Max Q-Miss: 1.2845 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3100 | Val Loss: 846.4377 | Val Cost: 23456.43 | Val Max P-Miss: 1.3099 | Val Max Q-Miss: 1.2920 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3200 | Val Loss: 903.7302 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2852 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3300 | Val Loss: 915.6051 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2873 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3400 | Val Loss: 938.8280 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2686 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3500 | Val Loss: 909.0554 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2871 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3600 | Val Loss: 905.9650 | Val Cost: 23456.43 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2777 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3700 | Val Loss: 926.4335 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2897 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3800 | Val Loss: 919.0228 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2849 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 3900 | Val Loss: 918.7227 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2910 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4000 | Val Loss: 898.4128 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2904 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4100 | Val Loss: 902.9229 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2910 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4200 | Val Loss: 942.0234 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2838 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4300 | Val Loss: 899.5589 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2842 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4400 | Val Loss: 1551.5022 | Val Cost: 23456.41 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.3101 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4500 | Val Loss: 905.2249 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2877 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4600 | Val Loss: 908.1319 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2860 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4700 | Val Loss: 900.5239 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2863 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4800 | Val Loss: 900.4335 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2862 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 4900 | Val Loss: 900.5920 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2860 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5000 | Val Loss: 902.9241 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2857 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5100 | Val Loss: 896.3748 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2853 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 5200 | Val Loss: 899.9634 | Val Cost: 23456.42 | Val Max P-Miss: 1.9921 | Val Max Q-Miss: 1.2844 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
