Job ID: 8626
Executing: ACOPF_pinn_rahul.py --case_name pglib_opf_case14_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 149.4038 | Val Cost: 1955.90 | Val Max P-Miss: 0.5336 | Val Max Q-Miss: 0.4950 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 15.7981 | Val Cost: 2377.55 | Val Max P-Miss: 0.2666 | Val Max Q-Miss: 0.0994 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 28.7493 | Val Cost: 2620.10 | Val Max P-Miss: 0.3476 | Val Max Q-Miss: 0.1714 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 134.5160 | Val Cost: 3226.67 | Val Max P-Miss: 0.5969 | Val Max Q-Miss: 0.2921 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  400 | Val Loss: 141.3966 | Val Cost: 3014.39 | Val Max P-Miss: 0.8674 | Val Max Q-Miss: 0.3862 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  500 | Val Loss: 113.7000 | Val Cost: 2746.60 | Val Max P-Miss: 0.7165 | Val Max Q-Miss: 0.2109 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  600 | Val Loss: 111.8575 | Val Cost: 2578.06 | Val Max P-Miss: 0.8313 | Val Max Q-Miss: 0.4148 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  700 | Val Loss: 159.1783 | Val Cost: 2885.02 | Val Max P-Miss: 0.9169 | Val Max Q-Miss: 0.5304 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  800 | Val Loss: 148.5410 | Val Cost: 2856.91 | Val Max P-Miss: 0.8478 | Val Max Q-Miss: 0.2729 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  900 | Val Loss: 121.4935 | Val Cost: 2891.81 | Val Max P-Miss: 0.8014 | Val Max Q-Miss: 0.2799 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1000 | Val Loss: 210.0602 | Val Cost: 3347.87 | Val Max P-Miss: 0.6969 | Val Max Q-Miss: 0.5741 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1100 | Val Loss: 175.4724 | Val Cost: 2791.22 | Val Max P-Miss: 0.7136 | Val Max Q-Miss: 0.4538 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1200 | Val Loss: 128.5814 | Val Cost: 3157.51 | Val Max P-Miss: 0.6084 | Val Max Q-Miss: 0.5452 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1300 | Val Loss: 117.3714 | Val Cost: 2996.91 | Val Max P-Miss: 0.5148 | Val Max Q-Miss: 0.5312 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1400 | Val Loss: 449.6957 | Val Cost: 2846.06 | Val Max P-Miss: 1.4029 | Val Max Q-Miss: 0.7329 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch 1500 | Val Loss: 91.6665 | Val Cost: 2646.90 | Val Max P-Miss: 0.5430 | Val Max Q-Miss: 0.3355 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
