Job: acopf_run
Executing: ACOPF_pinn_rahul.py
Node: gpu0002
GPU Allocated: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Cost:  658.07 | Max P-Miss: 0.3568 | Max Q-Miss: 0.1421 | Max Gen Viol: 0.8695 | Max Thermal: 0.0000
Epoch   10 | Cost:  243.87 | Max P-Miss: 0.4343 | Max Q-Miss: 0.6975 | Max Gen Viol: 3.4157 | Max Thermal: 4.3554
Epoch   20 | Cost:  402.90 | Max P-Miss: 0.3697 | Max Q-Miss: 0.9064 | Max Gen Viol: 4.8408 | Max Thermal: 11.0006
Epoch   30 | Cost:  -47.03 | Max P-Miss: 0.4220 | Max Q-Miss: 1.2272 | Max Gen Viol: 2.4605 | Max Thermal: 2.5745
Epoch   40 | Cost: -147.82 | Max P-Miss: 0.6738 | Max Q-Miss: 1.4616 | Max Gen Viol: 0.9524 | Max Thermal: 0.0000
Epoch   50 | Cost: -315.67 | Max P-Miss: 2.3206 | Max Q-Miss: 3.5544 | Max Gen Viol: 1.0604 | Max Thermal: 0.6484
Epoch   60 | Cost:  113.25 | Max P-Miss: 1.7049 | Max Q-Miss: 3.6222 | Max Gen Viol: 1.2222 | Max Thermal: 0.8775
Epoch   70 | Cost: -347.42 | Max P-Miss: 1.1762 | Max Q-Miss: 1.3996 | Max Gen Viol: 0.9846 | Max Thermal: 0.0000
Epoch   80 | Cost: -476.80 | Max P-Miss: 0.7305 | Max Q-Miss: 1.1737 | Max Gen Viol: 0.9864 | Max Thermal: 0.0000
Epoch   90 | Cost:  259.90 | Max P-Miss: 0.4933 | Max Q-Miss: 0.9425 | Max Gen Viol: 1.0216 | Max Thermal: 0.0000
Epoch  100 | Cost:   40.90 | Max P-Miss: 1.4620 | Max Q-Miss: 5.1847 | Max Gen Viol: 3.1323 | Max Thermal: 4.9693
Epoch  110 | Cost: -590.02 | Max P-Miss: 0.6055 | Max Q-Miss: 0.1921 | Max Gen Viol: 1.0577 | Max Thermal: 0.0000
Epoch  120 | Cost: -572.58 | Max P-Miss: 0.5062 | Max Q-Miss: 0.1494 | Max Gen Viol: 0.9950 | Max Thermal: 0.0000
Epoch  130 | Cost: -443.93 | Max P-Miss: 0.5184 | Max Q-Miss: 0.1659 | Max Gen Viol: 0.9880 | Max Thermal: 0.0000
Epoch  140 | Cost: -497.73 | Max P-Miss: 0.5163 | Max Q-Miss: 0.2231 | Max Gen Viol: 1.1991 | Max Thermal: 0.0000
Epoch  150 | Cost: -418.52 | Max P-Miss: 0.5078 | Max Q-Miss: 0.1283 | Max Gen Viol: 1.3190 | Max Thermal: 0.0000
Epoch  160 | Cost:  302.82 | Max P-Miss: 5.2040 | Max Q-Miss: 4.8760 | Max Gen Viol: 1.6994 | Max Thermal: 0.0000
Epoch  170 | Cost:  -11.59 | Max P-Miss: 1.0882 | Max Q-Miss: 5.1477 | Max Gen Viol: 5.9640 | Max Thermal: 7.1261
Epoch  180 | Cost:  221.08 | Max P-Miss: 0.6513 | Max Q-Miss: 1.7641 | Max Gen Viol: 1.5331 | Max Thermal: 0.0000
Epoch  190 | Cost: -322.25 | Max P-Miss: 2.1114 | Max Q-Miss: 2.4910 | Max Gen Viol: 1.6661 | Max Thermal: 0.0000
Epoch  200 | Cost:  264.83 | Max P-Miss: 1.6650 | Max Q-Miss: 4.1327 | Max Gen Viol: 1.8213 | Max Thermal: 0.0000
Epoch  210 | Cost:  437.90 | Max P-Miss: 0.7919 | Max Q-Miss: 2.0386 | Max Gen Viol: 2.0932 | Max Thermal: 0.0000
Epoch  220 | Cost: -108.24 | Max P-Miss: 0.7212 | Max Q-Miss: 0.6956 | Max Gen Viol: 0.8835 | Max Thermal: 0.0000
Epoch  230 | Cost: -278.35 | Max P-Miss: 0.7119 | Max Q-Miss: 0.3317 | Max Gen Viol: 1.0129 | Max Thermal: 0.0000
Epoch  240 | Cost: -334.25 | Max P-Miss: 0.5457 | Max Q-Miss: 0.1973 | Max Gen Viol: 1.0216 | Max Thermal: 0.0000
Epoch  250 | Cost: -324.81 | Max P-Miss: 0.5588 | Max Q-Miss: 0.1962 | Max Gen Viol: 0.9757 | Max Thermal: 0.0000
Epoch  260 | Cost: -211.74 | Max P-Miss: 4.3422 | Max Q-Miss: 5.2394 | Max Gen Viol: 2.6506 | Max Thermal: 6.3965
Epoch  270 | Cost:  393.21 | Max P-Miss: 1.5122 | Max Q-Miss: 3.2065 | Max Gen Viol: 1.5210 | Max Thermal: 0.0000
Epoch  280 | Cost:  271.76 | Max P-Miss: 0.5382 | Max Q-Miss: 0.1958 | Max Gen Viol: 0.9710 | Max Thermal: 0.0000
Epoch  290 | Cost: -552.93 | Max P-Miss: 1.4565 | Max Q-Miss: 1.2164 | Max Gen Viol: 0.9578 | Max Thermal: 0.0000
Epoch  300 | Cost:  371.34 | Max P-Miss: 1.1435 | Max Q-Miss: 2.4638 | Max Gen Viol: 0.7379 | Max Thermal: 0.0000
Epoch  310 | Cost:  117.34 | Max P-Miss: 1.1702 | Max Q-Miss: 1.7407 | Max Gen Viol: 1.4139 | Max Thermal: 0.0000
Epoch  320 | Cost:  334.57 | Max P-Miss: 0.5527 | Max Q-Miss: 0.4240 | Max Gen Viol: 1.0440 | Max Thermal: 0.0000
Epoch  330 | Cost:  214.23 | Max P-Miss: 0.5556 | Max Q-Miss: 0.1911 | Max Gen Viol: 0.9766 | Max Thermal: 0.0000
Epoch  340 | Cost:  234.39 | Max P-Miss: 0.5662 | Max Q-Miss: 0.1903 | Max Gen Viol: 0.9709 | Max Thermal: 0.0000
