Job: acopf_run
Executing: ACOPF_FSNet.py
Node: gpu0001
GPU Allocated: 1
CUDA Hardware Acceleration Active: NVIDIA H100 PCIe
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch    0 | Cost: 1771.27 | Max P-Miss: 0.8688 | Max Q-Miss: 0.6150 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   10 | Cost: 1201.55 | Max P-Miss: 0.3290 | Max Q-Miss: 0.1201 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   20 | Cost: 1182.18 | Max P-Miss: 0.2921 | Max Q-Miss: 0.0966 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   30 | Cost: 1206.90 | Max P-Miss: 0.3469 | Max Q-Miss: 0.1531 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   40 | Cost: 1157.02 | Max P-Miss: 0.2567 | Max Q-Miss: 0.1379 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   50 | Cost: 1244.77 | Max P-Miss: 0.2463 | Max Q-Miss: 0.0742 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   60 | Cost: 1312.97 | Max P-Miss: 0.2491 | Max Q-Miss: 0.0721 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   70 | Cost: 1359.31 | Max P-Miss: 0.3011 | Max Q-Miss: 0.0729 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   80 | Cost: 1265.46 | Max P-Miss: 0.2113 | Max Q-Miss: 0.1130 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   90 | Cost: 1254.02 | Max P-Miss: 0.2719 | Max Q-Miss: 0.0720 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  100 | Cost: 1331.10 | Max P-Miss: 0.2091 | Max Q-Miss: 0.2398 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  110 | Cost: 1371.18 | Max P-Miss: 0.2224 | Max Q-Miss: 0.1437 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  120 | Cost: 1395.51 | Max P-Miss: 0.2095 | Max Q-Miss: 0.0883 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  130 | Cost: 1418.49 | Max P-Miss: 0.2032 | Max Q-Miss: 0.0825 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  140 | Cost: 1315.14 | Max P-Miss: 0.2206 | Max Q-Miss: 0.1155 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
