Job: acopf
Executing: ACOPF_pinn_baseline_multi.py
Node: gpu0002
GPU Allocated: 0
Running on CPU Profile. Thread threshold dynamically established at 64 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: 115.7515 | Val Cost: 1437.63 | Val Max P-Miss: 0.9182 | Max Q-Miss: 0.4212 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 28.4838 | Val Cost: 1554.00 | Val Max P-Miss: 0.2288 | Max Q-Miss: 0.1500 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 25.2732 | Val Cost: 1333.50 | Val Max P-Miss: 0.2487 | Max Q-Miss: 0.1501 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 23.2483 | Val Cost: 1369.91 | Val Max P-Miss: 0.2177 | Max Q-Miss: 0.1342 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 22.2290 | Val Cost: 1406.52 | Val Max P-Miss: 0.2029 | Max Q-Miss: 0.1131 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 21.8819 | Val Cost: 1424.65 | Val Max P-Miss: 0.1939 | Max Q-Miss: 0.1091 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 21.8315 | Val Cost: 1436.45 | Val Max P-Miss: 0.1985 | Max Q-Miss: 0.1060 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 21.9434 | Val Cost: 1450.17 | Val Max P-Miss: 0.2220 | Max Q-Miss: 0.0909 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 21.1193 | Val Cost: 1457.80 | Val Max P-Miss: 0.2040 | Max Q-Miss: 0.0677 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 25.9202 | Val Cost: 1267.34 | Val Max P-Miss: 0.2212 | Max Q-Miss: 0.1017 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 24.0192 | Val Cost: 1340.51 | Val Max P-Miss: 0.1929 | Max Q-Miss: 0.1512 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 22.1291 | Val Cost: 1421.28 | Val Max P-Miss: 0.1806 | Max Q-Miss: 0.1140 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 21.3848 | Val Cost: 1454.58 | Val Max P-Miss: 0.1970 | Max Q-Miss: 0.0439 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 20.8084 | Val Cost: 1487.65 | Val Max P-Miss: 0.1699 | Max Q-Miss: 0.0602 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
