Job: acopf_ISS
Executing: ACOPF_pinn_rahul.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for Rahul KKT PINN...
Epoch    0 | Val Loss: 12098.1318 | Val Cost:  755.06 | Val Max P-Miss: 0.2727 | Val Max Q-Miss: 0.2612 | Val Max Gen Viol: 1.0105 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 11833.4141 | Val Cost:  383.04 | Val Max P-Miss: 0.4358 | Val Max Q-Miss: 0.4837 | Val Max Gen Viol: 3.9732 | Val Max Thermal: 5.1759 [*SAVED BEST*]
Epoch   20 | Val Loss: 11900.8047 | Val Cost:  770.47 | Val Max P-Miss: 1.1743 | Val Max Q-Miss: 2.6233 | Val Max Gen Viol: 5.3222 | Val Max Thermal: 19.3592
Epoch   30 | Val Loss: 10888.9180 | Val Cost:  145.07 | Val Max P-Miss: 1.0087 | Val Max Q-Miss: 1.4693 | Val Max Gen Viol: 4.1204 | Val Max Thermal: 2.7373 [*SAVED BEST*]
Epoch   40 | Val Loss: 10495.9600 | Val Cost: -310.16 | Val Max P-Miss: 1.1244 | Val Max Q-Miss: 2.8466 | Val Max Gen Viol: 1.0929 | Val Max Thermal: 6.5934 [*SAVED BEST*]
Epoch   50 | Val Loss: 10616.2002 | Val Cost:  596.89 | Val Max P-Miss: 2.2542 | Val Max Q-Miss: 4.0734 | Val Max Gen Viol: 1.2194 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 8303.8340 | Val Cost:   70.10 | Val Max P-Miss: 0.6081 | Val Max Q-Miss: 1.4586 | Val Max Gen Viol: 1.5572 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 11560.6211 | Val Cost:  150.14 | Val Max P-Miss: 2.1835 | Val Max Q-Miss: 2.6556 | Val Max Gen Viol: 3.1178 | Val Max Thermal: 1.5935
Epoch   80 | Val Loss: 8796.5537 | Val Cost:  365.30 | Val Max P-Miss: 1.2261 | Val Max Q-Miss: 1.7678 | Val Max Gen Viol: 2.3056 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 11777.6807 | Val Cost: -620.57 | Val Max P-Miss: 1.4425 | Val Max Q-Miss: 3.3569 | Val Max Gen Viol: 0.9641 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 6477.5029 | Val Cost:  330.42 | Val Max P-Miss: 0.5423 | Val Max Q-Miss: 0.4406 | Val Max Gen Viol: 0.9736 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  110 | Val Loss: 6150.9995 | Val Cost:  457.02 | Val Max P-Miss: 0.5010 | Val Max Q-Miss: 0.1942 | Val Max Gen Viol: 0.9978 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  120 | Val Loss: 5623.0464 | Val Cost:  426.37 | Val Max P-Miss: 0.4416 | Val Max Q-Miss: 0.1400 | Val Max Gen Viol: 1.0457 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  130 | Val Loss: 5268.3867 | Val Cost:  394.56 | Val Max P-Miss: 0.4264 | Val Max Q-Miss: 0.1985 | Val Max Gen Viol: 1.3713 | Val Max Thermal: 0.6113 [*SAVED BEST*]
Epoch  140 | Val Loss: 4971.5757 | Val Cost:  416.04 | Val Max P-Miss: 0.4358 | Val Max Q-Miss: 0.1089 | Val Max Gen Viol: 1.3666 | Val Max Thermal: 0.2684 [*SAVED BEST*]
Epoch  150 | Val Loss: 4813.1514 | Val Cost:  407.26 | Val Max P-Miss: 0.4212 | Val Max Q-Miss: 0.1786 | Val Max Gen Viol: 1.5453 | Val Max Thermal: 1.1140 [*SAVED BEST*]
Epoch  160 | Val Loss: 4595.1445 | Val Cost:  388.53 | Val Max P-Miss: 0.4239 | Val Max Q-Miss: 0.1881 | Val Max Gen Viol: 1.5869 | Val Max Thermal: 1.3924 [*SAVED BEST*]
Epoch  170 | Val Loss: 7738.7578 | Val Cost:  328.36 | Val Max P-Miss: 2.8322 | Val Max Q-Miss: 1.7533 | Val Max Gen Viol: 2.3027 | Val Max Thermal: 0.0000
Epoch  180 | Val Loss: 18211.0566 | Val Cost:  -63.33 | Val Max P-Miss: 3.9605 | Val Max Q-Miss: 12.0895 | Val Max Gen Viol: 2.6677 | Val Max Thermal: 19.9994
Epoch  190 | Val Loss: 7636.3193 | Val Cost:  -73.30 | Val Max P-Miss: 2.0067 | Val Max Q-Miss: 4.2670 | Val Max Gen Viol: 0.7771 | Val Max Thermal: 2.0308
Epoch  200 | Val Loss: 5055.7153 | Val Cost:    8.87 | Val Max P-Miss: 1.5677 | Val Max Q-Miss: 3.4486 | Val Max Gen Viol: 0.9699 | Val Max Thermal: 0.0000
Epoch  210 | Val Loss: 7138.6270 | Val Cost: -408.58 | Val Max P-Miss: 0.6618 | Val Max Q-Miss: 1.3868 | Val Max Gen Viol: 0.9780 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 4978.6484 | Val Cost: -473.08 | Val Max P-Miss: 0.5875 | Val Max Q-Miss: 0.4723 | Val Max Gen Viol: 0.9535 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 4202.2549 | Val Cost: -353.00 | Val Max P-Miss: 0.5287 | Val Max Q-Miss: 0.1892 | Val Max Gen Viol: 0.9921 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  240 | Val Loss: 4098.1123 | Val Cost: -350.53 | Val Max P-Miss: 0.5237 | Val Max Q-Miss: 0.1765 | Val Max Gen Viol: 0.9855 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  250 | Val Loss: 3961.5532 | Val Cost: -346.55 | Val Max P-Miss: 0.5064 | Val Max Q-Miss: 0.1654 | Val Max Gen Viol: 0.9871 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  260 | Val Loss: 3883.1157 | Val Cost: -340.05 | Val Max P-Miss: 0.5424 | Val Max Q-Miss: 0.1595 | Val Max Gen Viol: 0.9742 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  270 | Val Loss: 3425.7114 | Val Cost:  237.75 | Val Max P-Miss: 0.7873 | Val Max Q-Miss: 0.8532 | Val Max Gen Viol: 0.9809 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  280 | Val Loss: 3709.3354 | Val Cost:  342.87 | Val Max P-Miss: 0.5163 | Val Max Q-Miss: 0.3460 | Val Max Gen Viol: 0.9855 | Val Max Thermal: 0.0000
Epoch  290 | Val Loss: 3504.3477 | Val Cost:  313.65 | Val Max P-Miss: 0.4977 | Val Max Q-Miss: 0.5712 | Val Max Gen Viol: 0.9797 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 3281.7402 | Val Cost:  309.91 | Val Max P-Miss: 0.5016 | Val Max Q-Miss: 0.4026 | Val Max Gen Viol: 0.9842 | Val Max Thermal: 0.0000 [*SAVED BEST*]
