Job: acopf_ISS
Executing: ACOPF_FSNet.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch    0 | Val Loss: 168.1183 | Val Cost: 1319.33 | Val Max P-Miss: 0.9286 | Val Max Q-Miss: 0.8296 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 36.9170 | Val Cost:  889.26 | Val Max P-Miss: 0.3896 | Val Max Q-Miss: 0.1571 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 31.9682 | Val Cost:  920.24 | Val Max P-Miss: 0.3145 | Val Max Q-Miss: 0.1425 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 32.9661 | Val Cost: 1064.94 | Val Max P-Miss: 0.2953 | Val Max Q-Miss: 0.1535 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   40 | Val Loss: 35.9300 | Val Cost: 1043.73 | Val Max P-Miss: 0.2896 | Val Max Q-Miss: 0.2371 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 28.2127 | Val Cost: 1095.57 | Val Max P-Miss: 0.2701 | Val Max Q-Miss: 0.1590 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 32.0394 | Val Cost: 1187.06 | Val Max P-Miss: 0.2474 | Val Max Q-Miss: 0.1729 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 25.2916 | Val Cost: 1236.63 | Val Max P-Miss: 0.2567 | Val Max Q-Miss: 0.1411 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 24.7010 | Val Cost: 1308.12 | Val Max P-Miss: 0.2352 | Val Max Q-Miss: 0.1430 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 23.8790 | Val Cost: 1350.82 | Val Max P-Miss: 0.2154 | Val Max Q-Miss: 0.1468 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 23.0797 | Val Cost: 1379.21 | Val Max P-Miss: 0.2299 | Val Max Q-Miss: 0.0982 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  110 | Val Loss: 23.3008 | Val Cost: 1396.88 | Val Max P-Miss: 0.2470 | Val Max Q-Miss: 0.0973 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 22.8487 | Val Cost: 1409.53 | Val Max P-Miss: 0.2398 | Val Max Q-Miss: 0.0911 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  130 | Val Loss: 22.2570 | Val Cost: 1420.78 | Val Max P-Miss: 0.2272 | Val Max Q-Miss: 0.0825 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  140 | Val Loss: 28.9959 | Val Cost: 1383.78 | Val Max P-Miss: 0.2057 | Val Max Q-Miss: 0.1688 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 25.2620 | Val Cost: 1258.56 | Val Max P-Miss: 0.2009 | Val Max Q-Miss: 0.1659 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 21.9025 | Val Cost: 1328.63 | Val Max P-Miss: 0.1885 | Val Max Q-Miss: 0.0935 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  170 | Val Loss: 22.8962 | Val Cost: 1397.95 | Val Max P-Miss: 0.2656 | Val Max Q-Miss: 0.0724 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  180 | Val Loss: 20.7625 | Val Cost: 1444.75 | Val Max P-Miss: 0.1624 | Val Max Q-Miss: 0.0729 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  190 | Val Loss: 22.7123 | Val Cost: 1381.89 | Val Max P-Miss: 0.2228 | Val Max Q-Miss: 0.1060 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  200 | Val Loss: 23.0857 | Val Cost: 1417.69 | Val Max P-Miss: 0.2073 | Val Max Q-Miss: 0.1015 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  210 | Val Loss: 20.8666 | Val Cost: 1427.03 | Val Max P-Miss: 0.1991 | Val Max Q-Miss: 0.0475 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 21.2484 | Val Cost: 1462.93 | Val Max P-Miss: 0.2186 | Val Max Q-Miss: 0.0531 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 21.5031 | Val Cost: 1470.70 | Val Max P-Miss: 0.2268 | Val Max Q-Miss: 0.0577 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
