Job: acopf_ISS
Executing: ACOPF_Hard_KKT.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Hard KKT...
Epoch    0 | Val Loss: 146.9735 | Val Cost: 1585.06 | Val Max P-Miss: 0.8952 | Val Max Q-Miss: 0.4610 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 38.3838 | Val Cost: 1209.58 | Val Max P-Miss: 0.3646 | Val Max Q-Miss: 0.2282 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 28.6993 | Val Cost: 1158.86 | Val Max P-Miss: 0.2759 | Val Max Q-Miss: 0.1396 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 27.1584 | Val Cost: 1229.87 | Val Max P-Miss: 0.2478 | Val Max Q-Miss: 0.1041 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 29.2740 | Val Cost: 1281.98 | Val Max P-Miss: 0.2598 | Val Max Q-Miss: 0.1841 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 24.9298 | Val Cost: 1292.14 | Val Max P-Miss: 0.2089 | Val Max Q-Miss: 0.1471 | Val Max Gen Viol: 0.0001 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 39.8796 | Val Cost: 1393.17 | Val Max P-Miss: 0.3801 | Val Max Q-Miss: 0.2119 | Val Max Gen Viol: 0.0011 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 29.0378 | Val Cost: 1332.44 | Val Max P-Miss: 0.2509 | Val Max Q-Miss: 0.1874 | Val Max Gen Viol: 0.0001 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 26.1585 | Val Cost: 1418.19 | Val Max P-Miss: 0.2798 | Val Max Q-Miss: 0.1519 | Val Max Gen Viol: 0.0054 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 26.3221 | Val Cost: 1459.97 | Val Max P-Miss: 0.2863 | Val Max Q-Miss: 0.1664 | Val Max Gen Viol: 0.0069 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 26.3251 | Val Cost: 1502.14 | Val Max P-Miss: 0.2883 | Val Max Q-Miss: 0.1542 | Val Max Gen Viol: 0.0080 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 27.2135 | Val Cost: 1517.81 | Val Max P-Miss: 0.2949 | Val Max Q-Miss: 0.1603 | Val Max Gen Viol: 0.0086 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 26.0853 | Val Cost: 1394.67 | Val Max P-Miss: 0.2673 | Val Max Q-Miss: 0.0763 | Val Max Gen Viol: 0.0066 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 28.3349 | Val Cost: 1402.83 | Val Max P-Miss: 0.2370 | Val Max Q-Miss: 0.0564 | Val Max Gen Viol: 0.0076 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 30.4999 | Val Cost: 1481.46 | Val Max P-Miss: 0.2669 | Val Max Q-Miss: 0.1341 | Val Max Gen Viol: 0.0091 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 24.6325 | Val Cost: 1481.71 | Val Max P-Miss: 0.2650 | Val Max Q-Miss: 0.1485 | Val Max Gen Viol: 0.0094 | Val Max Thermal: 0.0000 [*SAVED BEST*]
