Job: acopf_ISS
Executing: ACOPF_FSNet_multi.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for FSNet...
Epoch    0 | Val Loss: 133.1709 | Val Cost: 1592.06 | Val Max P-Miss: 1.0174 | Val Max Q-Miss: 0.4090 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 25.5162 | Val Cost: 1645.55 | Val Max P-Miss: 0.2285 | Val Max Q-Miss: 0.1197 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 24.5104 | Val Cost: 1479.26 | Val Max P-Miss: 0.2294 | Val Max Q-Miss: 0.1675 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 21.9022 | Val Cost: 1392.79 | Val Max P-Miss: 0.2100 | Val Max Q-Miss: 0.1518 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 21.5935 | Val Cost: 1426.88 | Val Max P-Miss: 0.2084 | Val Max Q-Miss: 0.1352 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   50 | Val Loss: 21.2707 | Val Cost: 1437.41 | Val Max P-Miss: 0.2090 | Val Max Q-Miss: 0.1094 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   60 | Val Loss: 25.4283 | Val Cost: 1208.66 | Val Max P-Miss: 0.2452 | Val Max Q-Miss: 0.1321 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   70 | Val Loss: 21.9367 | Val Cost: 1400.38 | Val Max P-Miss: 0.2111 | Val Max Q-Miss: 0.1007 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 23.3105 | Val Cost: 1321.30 | Val Max P-Miss: 0.2102 | Val Max Q-Miss: 0.1060 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 21.3670 | Val Cost: 1415.40 | Val Max P-Miss: 0.2036 | Val Max Q-Miss: 0.1110 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 20.8786 | Val Cost: 1449.90 | Val Max P-Miss: 0.2036 | Val Max Q-Miss: 0.1048 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  110 | Val Loss: 20.4177 | Val Cost: 1470.96 | Val Max P-Miss: 0.1984 | Val Max Q-Miss: 0.0934 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  120 | Val Loss: 20.7009 | Val Cost: 1474.18 | Val Max P-Miss: 0.1946 | Val Max Q-Miss: 0.1015 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 21.1142 | Val Cost: 1470.66 | Val Max P-Miss: 0.1900 | Val Max Q-Miss: 0.0946 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 21.5135 | Val Cost: 1433.73 | Val Max P-Miss: 0.2162 | Val Max Q-Miss: 0.0791 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 21.2125 | Val Cost: 1501.82 | Val Max P-Miss: 0.1963 | Val Max Q-Miss: 0.1012 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 19.6186 | Val Cost: 1526.29 | Val Max P-Miss: 0.1844 | Val Max Q-Miss: 0.0500 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  170 | Val Loss: 21.0187 | Val Cost: 1431.15 | Val Max P-Miss: 0.1942 | Val Max Q-Miss: 0.0610 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  180 | Val Loss: 20.5085 | Val Cost: 1466.15 | Val Max P-Miss: 0.1926 | Val Max Q-Miss: 0.0854 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  190 | Val Loss: 20.8156 | Val Cost: 1482.43 | Val Max P-Miss: 0.1917 | Val Max Q-Miss: 0.0966 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  200 | Val Loss: 20.6627 | Val Cost: 1482.49 | Val Max P-Miss: 0.1897 | Val Max Q-Miss: 0.0916 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  210 | Val Loss: 20.1717 | Val Cost: 1488.70 | Val Max P-Miss: 0.1847 | Val Max Q-Miss: 0.0734 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 20.4290 | Val Cost: 1488.93 | Val Max P-Miss: 0.1825 | Val Max Q-Miss: 0.0806 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 20.2602 | Val Cost: 1492.45 | Val Max P-Miss: 0.1796 | Val Max Q-Miss: 0.0763 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  240 | Val Loss: 20.2361 | Val Cost: 1489.43 | Val Max P-Miss: 0.1765 | Val Max Q-Miss: 0.0744 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  250 | Val Loss: 20.7461 | Val Cost: 1481.87 | Val Max P-Miss: 0.1717 | Val Max Q-Miss: 0.0937 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  260 | Val Loss: 36.1388 | Val Cost: 1448.40 | Val Max P-Miss: 0.2884 | Val Max Q-Miss: 0.1790 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  270 | Val Loss: 21.1603 | Val Cost: 1436.35 | Val Max P-Miss: 0.1739 | Val Max Q-Miss: 0.0964 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
