Job: acopf_ISS
Executing: ACOPF_Hard_KKT_multi.py
Node: issnode2
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090

Beginning execution of parallelized training matrix loops for Multi-Branch Hard KKT...
Epoch    0 | Val Loss: 82.1749 | Val Cost:  851.82 | Val Max P-Miss: 0.9303 | Val Max Q-Miss: 0.1894 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 29.8201 | Val Cost: 1329.21 | Val Max P-Miss: 0.2887 | Val Max Q-Miss: 0.1709 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 28.6410 | Val Cost: 1166.01 | Val Max P-Miss: 0.2935 | Val Max Q-Miss: 0.0863 | Val Max Gen Viol: 0.0104 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 26.2333 | Val Cost: 1381.03 | Val Max P-Miss: 0.2375 | Val Max Q-Miss: 0.1147 | Val Max Gen Viol: 0.0112 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   40 | Val Loss: 26.8701 | Val Cost: 1422.50 | Val Max P-Miss: 0.2382 | Val Max Q-Miss: 0.1089 | Val Max Gen Viol: 0.0113 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 30.5474 | Val Cost: 1364.25 | Val Max P-Miss: 0.2928 | Val Max Q-Miss: 0.1211 | Val Max Gen Viol: 0.0112 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 25.5438 | Val Cost: 1406.21 | Val Max P-Miss: 0.2087 | Val Max Q-Miss: 0.1819 | Val Max Gen Viol: 0.0114 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 27.0671 | Val Cost: 1409.24 | Val Max P-Miss: 0.2656 | Val Max Q-Miss: 0.1149 | Val Max Gen Viol: 0.0114 | Val Max Thermal: 0.0000
Epoch   80 | Val Loss: 24.9643 | Val Cost: 1493.77 | Val Max P-Miss: 0.2448 | Val Max Q-Miss: 0.1369 | Val Max Gen Viol: 0.0115 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   90 | Val Loss: 22.5660 | Val Cost: 1445.49 | Val Max P-Miss: 0.1773 | Val Max Q-Miss: 0.1369 | Val Max Gen Viol: 0.0115 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  100 | Val Loss: 24.0600 | Val Cost: 1316.95 | Val Max P-Miss: 0.2129 | Val Max Q-Miss: 0.1199 | Val Max Gen Viol: 0.0114 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 22.7653 | Val Cost: 1489.34 | Val Max P-Miss: 0.2187 | Val Max Q-Miss: 0.0998 | Val Max Gen Viol: 0.0115 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 24.7054 | Val Cost: 1487.29 | Val Max P-Miss: 0.1952 | Val Max Q-Miss: 0.1204 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 24.1358 | Val Cost: 1506.93 | Val Max P-Miss: 0.1906 | Val Max Q-Miss: 0.0975 | Val Max Gen Viol: 0.0115 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 24.6103 | Val Cost: 1522.83 | Val Max P-Miss: 0.2133 | Val Max Q-Miss: 0.0990 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  150 | Val Loss: 26.0577 | Val Cost: 1526.87 | Val Max P-Miss: 0.2050 | Val Max Q-Miss: 0.1155 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
Epoch  160 | Val Loss: 26.2860 | Val Cost: 1493.78 | Val Max P-Miss: 0.1965 | Val Max Q-Miss: 0.1374 | Val Max Gen Viol: 0.0116 | Val Max Thermal: 0.0000
