Job: acopf_ISS
Executing: ACOPF_DC3.py
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops for DC3...
Epoch    0 | Val Loss: 513.7211 | Val Cost:  505.44 | Val Max P-Miss: 1.6646 | Val Max Q-Miss: 2.3562 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   10 | Val Loss: 2.7202 | Val Cost:    0.00 | Val Max P-Miss: 1.1341 | Val Max Q-Miss: 0.6266 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   20 | Val Loss: 2.0403 | Val Cost:    0.01 | Val Max P-Miss: 1.0940 | Val Max Q-Miss: 0.3661 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   30 | Val Loss: 2.1603 | Val Cost:    0.09 | Val Max P-Miss: 1.0542 | Val Max Q-Miss: 0.3487 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   40 | Val Loss: 2.1087 | Val Cost:    0.06 | Val Max P-Miss: 0.6632 | Val Max Q-Miss: 0.5223 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   50 | Val Loss: 2.3032 | Val Cost:    0.08 | Val Max P-Miss: 0.6886 | Val Max Q-Miss: 0.4952 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   60 | Val Loss: 2.0218 | Val Cost:    0.12 | Val Max P-Miss: 0.7770 | Val Max Q-Miss: 0.4075 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   70 | Val Loss: 1.5344 | Val Cost:    0.13 | Val Max P-Miss: 0.6572 | Val Max Q-Miss: 0.2191 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch   80 | Val Loss: 1.5601 | Val Cost:    0.07 | Val Max P-Miss: 0.8249 | Val Max Q-Miss: 0.3286 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch   90 | Val Loss: 1.5654 | Val Cost:    0.07 | Val Max P-Miss: 0.7698 | Val Max Q-Miss: 0.4484 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  100 | Val Loss: 6.8760 | Val Cost:    0.07 | Val Max P-Miss: 2.1039 | Val Max Q-Miss: 0.6190 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  110 | Val Loss: 1.5540 | Val Cost:    0.05 | Val Max P-Miss: 0.5889 | Val Max Q-Miss: 0.6962 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  120 | Val Loss: 1.6389 | Val Cost:    0.08 | Val Max P-Miss: 0.6201 | Val Max Q-Miss: 0.7289 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  130 | Val Loss: 2.1381 | Val Cost:    0.10 | Val Max P-Miss: 0.8173 | Val Max Q-Miss: 0.5822 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  140 | Val Loss: 1.0661 | Val Cost:    0.04 | Val Max P-Miss: 0.8272 | Val Max Q-Miss: 0.1894 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  150 | Val Loss: 0.9521 | Val Cost:    0.04 | Val Max P-Miss: 0.7793 | Val Max Q-Miss: 0.1707 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  160 | Val Loss: 0.8820 | Val Cost:    0.03 | Val Max P-Miss: 0.7489 | Val Max Q-Miss: 0.1590 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  170 | Val Loss: 0.8723 | Val Cost:    0.03 | Val Max P-Miss: 0.7598 | Val Max Q-Miss: 0.1578 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  180 | Val Loss: 0.7285 | Val Cost:    0.03 | Val Max P-Miss: 0.6614 | Val Max Q-Miss: 0.1466 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  190 | Val Loss: 0.6432 | Val Cost:    0.02 | Val Max P-Miss: 0.5981 | Val Max Q-Miss: 0.1193 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  200 | Val Loss: 0.7484 | Val Cost:    0.03 | Val Max P-Miss: 0.6823 | Val Max Q-Miss: 0.1221 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  210 | Val Loss: 0.6645 | Val Cost:    0.02 | Val Max P-Miss: 0.6264 | Val Max Q-Miss: 0.1151 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  220 | Val Loss: 1.0678 | Val Cost:    0.15 | Val Max P-Miss: 0.5407 | Val Max Q-Miss: 0.1257 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  230 | Val Loss: 1.4257 | Val Cost:    0.02 | Val Max P-Miss: 0.7392 | Val Max Q-Miss: 0.3795 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  240 | Val Loss: 0.5958 | Val Cost:    0.01 | Val Max P-Miss: 0.6051 | Val Max Q-Miss: 0.1087 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  250 | Val Loss: 0.5465 | Val Cost:    0.01 | Val Max P-Miss: 0.5631 | Val Max Q-Miss: 0.1004 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  260 | Val Loss: 0.4892 | Val Cost:    0.01 | Val Max P-Miss: 0.4990 | Val Max Q-Miss: 0.0844 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  270 | Val Loss: 0.6121 | Val Cost:    0.01 | Val Max P-Miss: 0.6441 | Val Max Q-Miss: 0.1030 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  280 | Val Loss: 0.4772 | Val Cost:    0.01 | Val Max P-Miss: 0.4869 | Val Max Q-Miss: 0.0794 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  290 | Val Loss: 0.5061 | Val Cost:    0.01 | Val Max P-Miss: 0.5232 | Val Max Q-Miss: 0.0850 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  300 | Val Loss: 0.6937 | Val Cost:    0.05 | Val Max P-Miss: 0.4573 | Val Max Q-Miss: 0.1555 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  310 | Val Loss: 0.8459 | Val Cost:    0.06 | Val Max P-Miss: 0.6428 | Val Max Q-Miss: 0.2086 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  320 | Val Loss: 0.6761 | Val Cost:    0.01 | Val Max P-Miss: 0.5868 | Val Max Q-Miss: 0.0738 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  330 | Val Loss: 0.4435 | Val Cost:    0.00 | Val Max P-Miss: 0.4600 | Val Max Q-Miss: 0.0763 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  340 | Val Loss: 0.4354 | Val Cost:    0.00 | Val Max P-Miss: 0.4535 | Val Max Q-Miss: 0.0739 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  350 | Val Loss: 0.4180 | Val Cost:    0.00 | Val Max P-Miss: 0.4143 | Val Max Q-Miss: 0.0637 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  360 | Val Loss: 0.4327 | Val Cost:    0.00 | Val Max P-Miss: 0.4107 | Val Max Q-Miss: 0.0636 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  370 | Val Loss: 0.4263 | Val Cost:    0.00 | Val Max P-Miss: 0.4181 | Val Max Q-Miss: 0.0601 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  380 | Val Loss: 0.4352 | Val Cost:    0.00 | Val Max P-Miss: 0.4540 | Val Max Q-Miss: 0.0639 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  390 | Val Loss: 0.4115 | Val Cost:    0.00 | Val Max P-Miss: 0.3337 | Val Max Q-Miss: 0.0454 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  400 | Val Loss: 0.7328 | Val Cost:    0.00 | Val Max P-Miss: 0.5105 | Val Max Q-Miss: 0.5356 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  410 | Val Loss: 0.4477 | Val Cost:    0.00 | Val Max P-Miss: 0.3420 | Val Max Q-Miss: 0.1254 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  420 | Val Loss: 0.5163 | Val Cost:    0.00 | Val Max P-Miss: 0.3718 | Val Max Q-Miss: 0.0996 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  430 | Val Loss: 0.4955 | Val Cost:    0.01 | Val Max P-Miss: 0.4128 | Val Max Q-Miss: 0.0688 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  440 | Val Loss: 0.4739 | Val Cost:    0.00 | Val Max P-Miss: 0.3899 | Val Max Q-Miss: 0.0622 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  450 | Val Loss: 0.4462 | Val Cost:    0.00 | Val Max P-Miss: 0.3577 | Val Max Q-Miss: 0.0566 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  460 | Val Loss: 0.4153 | Val Cost:    0.00 | Val Max P-Miss: 0.3490 | Val Max Q-Miss: 0.0664 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  470 | Val Loss: 0.4160 | Val Cost:    0.00 | Val Max P-Miss: 0.4288 | Val Max Q-Miss: 0.0595 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  480 | Val Loss: 0.4008 | Val Cost:    0.00 | Val Max P-Miss: 0.4004 | Val Max Q-Miss: 0.0563 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  490 | Val Loss: 0.3896 | Val Cost:    0.00 | Val Max P-Miss: 0.3744 | Val Max Q-Miss: 0.0510 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  500 | Val Loss: 0.3816 | Val Cost:    0.00 | Val Max P-Miss: 0.3430 | Val Max Q-Miss: 0.0404 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000 [*SAVED BEST*]
Epoch  510 | Val Loss: 0.3892 | Val Cost:    0.00 | Val Max P-Miss: 0.3501 | Val Max Q-Miss: 0.0509 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
Epoch  520 | Val Loss: 0.3841 | Val Cost:    0.00 | Val Max P-Miss: 0.3326 | Val Max Q-Miss: 0.0479 | Val Max Gen Viol: 0.0000 | Val Max Thermal: 0.0000
