Job started on node: gpu0002
Using GPU: 0
Running on CPU Profile. Thread threshold established at 12 loops.
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Cost: 1769.69 | Max P-Miss: 0.9638 | Max Q-Miss: 0.7123 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   10 | Cost: 1012.80 | Max P-Miss: 0.3444 | Max Q-Miss: 0.2461 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   20 | Cost: 1030.09 | Max P-Miss: 0.3016 | Max Q-Miss: 0.1110 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   30 | Cost: 1103.78 | Max P-Miss: 0.2450 | Max Q-Miss: 0.1158 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   40 | Cost: 1194.77 | Max P-Miss: 0.2186 | Max Q-Miss: 0.1464 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   50 | Cost: 1218.53 | Max P-Miss: 0.2754 | Max Q-Miss: 0.2448 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   60 | Cost: 1192.92 | Max P-Miss: 0.2219 | Max Q-Miss: 0.1471 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   70 | Cost: 1326.65 | Max P-Miss: 0.1959 | Max Q-Miss: 0.1319 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   80 | Cost: 1305.36 | Max P-Miss: 0.2711 | Max Q-Miss: 0.0895 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch   90 | Cost: 1204.66 | Max P-Miss: 0.2232 | Max Q-Miss: 0.1233 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  100 | Cost: 1373.75 | Max P-Miss: 0.1923 | Max Q-Miss: 0.1190 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  110 | Cost: 1368.62 | Max P-Miss: 0.2663 | Max Q-Miss: 0.0885 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  120 | Cost: 1361.77 | Max P-Miss: 0.2619 | Max Q-Miss: 0.0941 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  130 | Cost: 1390.87 | Max P-Miss: 0.2305 | Max Q-Miss: 0.0775 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  140 | Cost: 1410.54 | Max P-Miss: 0.2349 | Max Q-Miss: 0.0764 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  150 | Cost: 1423.06 | Max P-Miss: 0.2351 | Max Q-Miss: 0.0784 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  160 | Cost: 1433.27 | Max P-Miss: 0.2299 | Max Q-Miss: 0.0802 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  170 | Cost: 1440.93 | Max P-Miss: 0.2216 | Max Q-Miss: 0.0767 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
Epoch  180 | Cost: 1446.36 | Max P-Miss: 0.2375 | Max Q-Miss: 0.0748 | Max Gen Viol: 0.0000 | Max Thermal: 0.0000
