Sheet,Metric,Architecture 1,Architecture 2,MW_U_Stat,MW_p_val,KS_D_Stat,KS_p_val,MW_Sig (p<0.05),KS_Sig (p<0.05)
14,Obj. Error (%),PINN Baseline,DC3,25.0,0.0079,1.0,0.0079,True,True
14,Obj. Error (%),PINN Baseline,FSNet,20.0,0.1412,0.8,0.0794,False,False
14,Obj. Error (%),PINN Baseline,KKT,15.0,0.6905,0.6,0.3571,False,False
14,Obj. Error (%),PINN Baseline,Rahul's Model,11.0,0.8413,0.4,0.873,False,False
14,Obj. Error (%),DC3,FSNet,0.0,0.0117,1.0,0.0079,True,True
14,Obj. Error (%),DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
14,Obj. Error (%),DC3,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
14,Obj. Error (%),FSNet,KKT,0.0,0.0117,1.0,0.0079,True,True
14,Obj. Error (%),FSNet,Rahul's Model,0.0,0.0117,1.0,0.0079,True,True
14,Obj. Error (%),KKT,Rahul's Model,0.0,0.0079,1.0,0.0079,True,True
14,Max_Eq,PINN Baseline,DC3,15.0,0.6905,0.6,0.3571,False,False
14,Max_Eq,PINN Baseline,FSNet,1.0,0.0159,0.8,0.0794,True,False
14,Max_Eq,PINN Baseline,KKT,2.0,0.0317,0.8,0.0794,True,False
14,Max_Eq,PINN Baseline,Rahul's Model,20.0,0.1508,0.8,0.0794,False,False
14,Max_Eq,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
14,Max_Eq,DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
14,Max_Eq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
14,Max_Eq,FSNet,KKT,21.0,0.0952,0.8,0.0794,False,False
14,Max_Eq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
14,Max_Eq,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
14,Mean_Eq,PINN Baseline,DC3,13.0,1.0,0.2,1.0,False,False
14,Mean_Eq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
14,Mean_Eq,PINN Baseline,KKT,0.0,0.0079,1.0,0.0079,True,True
14,Mean_Eq,PINN Baseline,Rahul's Model,20.0,0.1508,0.8,0.0794,False,False
14,Mean_Eq,DC3,FSNet,0.0,0.0079,1.0,0.0079,True,True
14,Mean_Eq,DC3,KKT,0.0,0.0079,1.0,0.0079,True,True
14,Mean_Eq,DC3,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
14,Mean_Eq,FSNet,KKT,24.0,0.0159,0.8,0.0794,True,False
14,Mean_Eq,FSNet,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
14,Mean_Eq,KKT,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
14,Max_Ineq,PINN Baseline,DC3,24.0,0.0159,0.8,0.0794,True,False
14,Max_Ineq,PINN Baseline,FSNet,0.0,0.0079,1.0,0.0079,True,True
14,Max_Ineq,PINN Baseline,KKT,25.0,0.0075,1.0,0.0079,True,True
14,Max_Ineq,PINN Baseline,Rahul's Model,25.0,0.0079,1.0,0.0079,True,True
