Sheet,Metric,Architecture 1,Architecture 2,MW_U_Stat,MW_p_val,KS_D_Stat,KS_p_val,MW_Sig (p<0.05),KS_Sig (p<0.05)
14,Obj. Error (%),PINN Baseline,DC3,25000000,0,1,0,TRUE,TRUE
14,Obj. Error (%),PINN Baseline,FSNet,18672494,0,0.5854,0,TRUE,TRUE
14,Obj. Error (%),PINN Baseline,KKT,14064075,0,0.4,0,TRUE,TRUE
14,Obj. Error (%),PINN Baseline,Rahul's Model,12084201.5,0.004,0.4,0,TRUE,TRUE
14,Obj. Error (%),DC3,FSNet,0,0,1,0,TRUE,TRUE
14,Obj. Error (%),DC3,KKT,0,0,1,0,TRUE,TRUE
14,Obj. Error (%),DC3,Rahul's Model,0,0,1,0,TRUE,TRUE
14,Obj. Error (%),FSNet,KKT,1066176,0,0.7708,0,TRUE,TRUE
14,Obj. Error (%),FSNet,Rahul's Model,173561,0,0.921,0,TRUE,TRUE
14,Obj. Error (%),KKT,Rahul's Model,5925615.5,0,0.3888,0,TRUE,TRUE
14,Max_Eq,PINN Baseline,DC3,15000000,0,0.6,0,TRUE,TRUE
14,Max_Eq,PINN Baseline,FSNet,995631,0,0.8002,0,TRUE,TRUE
14,Max_Eq,PINN Baseline,KKT,2083704,0,0.6944,0,TRUE,TRUE
14,Max_Eq,PINN Baseline,Rahul's Model,20000000,0,0.8,0,TRUE,TRUE
14,Max_Eq,DC3,FSNet,0,0,1,0,TRUE,TRUE
14,Max_Eq,DC3,KKT,0,0,1,0,TRUE,TRUE
14,Max_Eq,DC3,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Max_Eq,FSNet,KKT,21323383,0,0.8,0,TRUE,TRUE
14,Max_Eq,FSNet,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Max_Eq,KKT,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Mean_Eq,PINN Baseline,DC3,12493641,0.9649,0.2,0,FALSE,TRUE
14,Mean_Eq,PINN Baseline,FSNet,0,0,1,0,TRUE,TRUE
14,Mean_Eq,PINN Baseline,KKT,0,0,1,0,TRUE,TRUE
14,Mean_Eq,PINN Baseline,Rahul's Model,20000000,0,0.8,0,TRUE,TRUE
14,Mean_Eq,DC3,FSNet,0,0,1,0,TRUE,TRUE
14,Mean_Eq,DC3,KKT,0,0,1,0,TRUE,TRUE
14,Mean_Eq,DC3,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Mean_Eq,FSNet,KKT,24000000,0,0.8,0,TRUE,TRUE
14,Mean_Eq,FSNet,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Mean_Eq,KKT,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Max_Ineq,PINN Baseline,DC3,23536852.5,0,0.7998,0,TRUE,TRUE
14,Max_Ineq,PINN Baseline,FSNet,0,0,1,0,TRUE,TRUE
14,Max_Ineq,PINN Baseline,KKT,25000000,0,1,0,TRUE,TRUE
14,Max_Ineq,PINN Baseline,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Max_Ineq,DC3,FSNet,0,0,1,0,TRUE,TRUE
14,Max_Ineq,DC3,KKT,24955000,0,0.9964,0,TRUE,TRUE
14,Max_Ineq,DC3,Rahul's Model,11839498,0,0.4364,0,TRUE,TRUE
14,Max_Ineq,FSNet,KKT,25000000,0,1,0,TRUE,TRUE
14,Max_Ineq,FSNet,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Max_Ineq,KKT,Rahul's Model,0,0,1,0,TRUE,TRUE
14,Mean_Ineq,PINN Baseline,DC3,22969145,0,0.7954,0,TRUE,TRUE
14,Mean_Ineq,PINN Baseline,FSNet,0,0,1,0,TRUE,TRUE
14,Mean_Ineq,PINN Baseline,KKT,25000000,0,1,0,TRUE,TRUE
14,Mean_Ineq,PINN Baseline,Rahul's Model,24989454,0,0.9828,0,TRUE,TRUE
14,Mean_Ineq,DC3,FSNet,0,0,1,0,TRUE,TRUE
14,Mean_Ineq,DC3,KKT,24955000,0,0.9964,0,TRUE,TRUE
14,Mean_Ineq,DC3,Rahul's Model,11892874,0,0.4058,0,TRUE,TRUE
14,Mean_Ineq,FSNet,KKT,25000000,0,1,0,TRUE,TRUE
14,Mean_Ineq,FSNet,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,Mean_Ineq,KKT,Rahul's Model,0,0,1,0,TRUE,TRUE
14,MAE_v,PINN Baseline,DC3,21993956.5,0,0.8,0,TRUE,TRUE
14,MAE_v,PINN Baseline,FSNet,15000000,0,0.6,0,TRUE,TRUE
14,MAE_v,PINN Baseline,KKT,23258673,0,0.8,0,TRUE,TRUE
14,MAE_v,PINN Baseline,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,MAE_v,DC3,FSNet,5000000,0,0.8,0,TRUE,TRUE
14,MAE_v,DC3,KKT,20923172,0,0.7482,0,TRUE,TRUE
14,MAE_v,DC3,Rahul's Model,24984729.5,0,0.9802,0,TRUE,TRUE
14,MAE_v,FSNet,KKT,25000000,0,1,0,TRUE,TRUE
14,MAE_v,FSNet,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,MAE_v,KKT,Rahul's Model,18951263,0,0.3842,0,TRUE,TRUE
14,MAE_pg,PINN Baseline,DC3,19975995,0,0.7698,0,TRUE,TRUE
14,MAE_pg,PINN Baseline,FSNet,20030698,0,0.6,0,TRUE,TRUE
14,MAE_pg,PINN Baseline,KKT,20876634,0,0.8,0,TRUE,TRUE
14,MAE_pg,PINN Baseline,Rahul's Model,4552573.5,0,0.6022,0,TRUE,TRUE
14,MAE_pg,DC3,FSNet,20000011,0,0.8,0,TRUE,TRUE
14,MAE_pg,DC3,KKT,25000000,0,1,0,TRUE,TRUE
14,MAE_pg,DC3,Rahul's Model,0,0,1,0,TRUE,TRUE
14,MAE_pg,FSNet,KKT,8982282.5,0,0.3148,0,TRUE,TRUE
14,MAE_pg,FSNet,Rahul's Model,0,0,1,0,TRUE,TRUE
14,MAE_pg,KKT,Rahul's Model,0,0,1,0,TRUE,TRUE
14,MAE_qg,PINN Baseline,DC3,234407.5,0,0.903,0,TRUE,TRUE
14,MAE_qg,PINN Baseline,FSNet,19951552,0,0.759,0,TRUE,TRUE
14,MAE_qg,PINN Baseline,KKT,16934725.5,0,0.3552,0,TRUE,TRUE
14,MAE_qg,PINN Baseline,Rahul's Model,22804000,0,0.709,0,TRUE,TRUE
14,MAE_qg,DC3,FSNet,20639738,0,0.8,0,TRUE,TRUE
14,MAE_qg,DC3,KKT,24986717,0,0.9782,0,TRUE,TRUE
14,MAE_qg,DC3,Rahul's Model,25000000,0,1,0,TRUE,TRUE
14,MAE_qg,FSNet,KKT,5102875,0,0.7482,0,TRUE,TRUE
14,MAE_qg,FSNet,Rahul's Model,7158896,0,0.4742,0,TRUE,TRUE
14,MAE_qg,KKT,Rahul's Model,22515959,0,0.6454,0,TRUE,TRUE
