Bus,Case,Projection,Weights,Seed,Selected_Checkpoint,Candidate_Count
14,pglib_opf_case14_ieee,none,nominal,1,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_041500.pth,1
14,pglib_opf_case14_ieee,none,nominal,2,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260922_043739.pth,1
14,pglib_opf_case14_ieee,none,nominal,3,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260922_050559.pth,1
14,pglib_opf_case14_ieee,none,nominal,4,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260922_054042.pth,1
14,pglib_opf_case14_ieee,none,nominal,5,model/best_controlled_none_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260922_061643.pth,1
14,pglib_opf_case14_ieee,voltage,nominal,1,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_065131.pth,2
14,pglib_opf_case14_ieee,voltage,nominal,2,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260922_072726.pth,2
14,pglib_opf_case14_ieee,voltage,nominal,3,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260922_080233.pth,1
14,pglib_opf_case14_ieee,voltage,nominal,4,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260922_083740.pth,1
14,pglib_opf_case14_ieee,voltage,nominal,5,model/best_controlled_voltage_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260922_091132.pth,1
14,pglib_opf_case14_ieee,generation,nominal,1,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_094546.pth,1
14,pglib_opf_case14_ieee,generation,nominal,2,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260924_080020.pth,3
14,pglib_opf_case14_ieee,generation,nominal,3,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260924_080020.pth,1
14,pglib_opf_case14_ieee,generation,nominal,4,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260924_080020.pth,2
14,pglib_opf_case14_ieee,generation,nominal,5,model/best_controlled_generation_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260924_080020.pth,1
14,pglib_opf_case14_ieee,full,nominal,1,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed1_20260924_073545.pth,1
14,pglib_opf_case14_ieee,full,nominal,2,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed2_20260924_073545.pth,1
14,pglib_opf_case14_ieee,full,nominal,3,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed3_20260924_073545.pth,1
14,pglib_opf_case14_ieee,full,nominal,4,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed4_20260924_073545.pth,1
14,pglib_opf_case14_ieee,full,nominal,5,model/best_controlled_full_nominal_pglib_opf_case14_ieee_10000epochs_seed5_20260924_073545.pth,1
14,pglib_opf_case14_ieee,full,equal,1,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed1_20260922_042806.pth,1
14,pglib_opf_case14_ieee,full,equal,2,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed2_20260922_045223.pth,1
14,pglib_opf_case14_ieee,full,equal,3,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed3_20260922_052607.pth,1
14,pglib_opf_case14_ieee,full,equal,4,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed4_20260922_060156.pth,1
14,pglib_opf_case14_ieee,full,equal,5,model/best_controlled_full_equal_pglib_opf_case14_ieee_10000epochs_seed5_20260922_063637.pth,1
14,pglib_opf_case14_ieee,full,inequality,1,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed1_20260922_071150.pth,1
14,pglib_opf_case14_ieee,full,inequality,2,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed2_20260922_074659.pth,1
14,pglib_opf_case14_ieee,full,inequality,3,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed3_20260922_082157.pth,1
14,pglib_opf_case14_ieee,full,inequality,4,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed4_20260922_085603.pth,1
14,pglib_opf_case14_ieee,full,inequality,5,model/best_controlled_full_inequality_pglib_opf_case14_ieee_10000epochs_seed5_20260922_093002.pth,1
14,pglib_opf_case14_ieee,full,physics,1,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed1_20260922_100355.pth,1
14,pglib_opf_case14_ieee,full,physics,2,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed2_20260922_103311.pth,1
14,pglib_opf_case14_ieee,full,physics,3,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed3_20260922_110152.pth,1
14,pglib_opf_case14_ieee,full,physics,4,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed4_20260922_113014.pth,1
14,pglib_opf_case14_ieee,full,physics,5,model/best_controlled_full_physics_pglib_opf_case14_ieee_10000epochs_seed5_20260922_115915.pth,1
14,pglib_opf_case14_ieee,full,objective,1,model/best_controlled_full_objective_pglib_opf_case14_ieee_10000epochs_seed1_20260922_122744.pth,1
14,pglib_opf_case14_ieee,full,objective,2,model/best_controlled_full_objective_pglib_opf_case14_ieee_10000epochs_seed2_20260922_125634.pth,1
14,pglib_opf_case14_ieee,full,objective,3,model/best_controlled_full_objective_pglib_opf_case14_ieee_10000epochs_seed3_20260922_132609.pth,1
14,pglib_opf_case14_ieee,full,objective,4,model/best_controlled_full_objective_pglib_opf_case14_ieee_10000epochs_seed4_20260922_135600.pth,1
14,pglib_opf_case14_ieee,full,objective,5,model/best_controlled_full_objective_pglib_opf_case14_ieee_10000epochs_seed5_20260922_142505.pth,1
