Bus,Case,Projection,Weights,N_Runs,Objective_Deviation_pct_Mean,Objective_Deviation_pct_SD,Objective_Deviation_pct_CI_L,Objective_Deviation_pct_CI_U,Max_Eq_Mean,Max_Eq_SD,Max_Eq_CI_L,Max_Eq_CI_U,Mean_Eq_Mean,Mean_Eq_SD,Mean_Eq_CI_L,Mean_Eq_CI_U,Max_Ineq_Mean,Max_Ineq_SD,Max_Ineq_CI_L,Max_Ineq_CI_U,Mean_Ineq_Mean,Mean_Ineq_SD,Mean_Ineq_CI_L,Mean_Ineq_CI_U,Max_Violation_Mean,Max_Violation_SD,Max_Violation_CI_L,Max_Violation_CI_U,Feasibility_Rate_Mean,Feasibility_Rate_SD,Feasibility_Rate_CI_L,Feasibility_Rate_CI_U,Inference_Time_s_Mean,Inference_Time_s_SD
14,pglib_opf_case14_ieee,full,nominal,5,8.218662391221523,0.03687224316281903,8.140031359907686,8.299373775999845,0.09257791032791138,0.0018363779247533402,0.09123118631087243,0.09410388627436013,0.04411848926991224,0.0003617620873765253,0.04383672715736553,0.04441298134678975,0.0592773961186409,0.0013832952848030103,0.05840845456004143,0.060535776218771924,0.001054182078037411,2.3407822679860126e-05,0.0010397481517423876,0.0010754151518037544,0.09257791032791138,0.0018363779247533402,0.09123118631087243,0.09410388627436013,0.0,0.0,0.0,0.0,1.9455784931778908e-07,9.712688175384426e-09
14,pglib_opf_case14_ieee,generation,nominal,5,15.678502952098848,0.5280740530970603,15.271519183411597,16.110359808173182,0.08718772374689579,0.010870034238152346,0.0790256734232977,0.09559477895271033,0.03547000568844378,0.0009849108685971838,0.034743061876110724,0.03622452708601952,0.6582287556886673,0.04264251564170114,0.624753202455044,0.6916781739598514,0.05309111772552133,0.004620956104464137,0.04947561429947614,0.05671955122902989,0.6582287556886673,0.04264251564170114,0.624753202455044,0.6916781739598514,0.0,0.0,0.0,0.0,6.370801571756602e-06,1.381611800139967e-05
14,pglib_opf_case14_ieee,none,nominal,5,-829.3102665283202,32.47109538155839,-853.6920076538087,-805.1262591015625,0.037988417121768,0.007160042711277294,0.03171878432126716,0.04269444718845188,0.008116328825149685,0.0017157462608721585,0.006768652480519375,0.009466795945584307,8.325212532043457,0.2900497755585254,8.108507436513902,8.542099681243897,0.2766864869326353,0.033654554387235094,0.2517426000424474,0.3015522384668886,8.325212532043457,0.2900497755585254,8.108507436513902,8.542099681243897,0.0,0.0,0.0,0.0,1.0917786881327628e-05,2.3932431015911178e-05
14,pglib_opf_case14_ieee,voltage,nominal,5,-847.6892412841796,34.309933234033245,-872.9647850836183,-822.3616887350464,0.031691720196604725,0.0033199902484681502,0.029109034779816866,0.03428766598083079,0.005541442511696368,0.0004508447854624466,0.005144625534184743,0.00583071206848137,8.495453128814699,0.3076620373381446,8.268789912509918,8.721609883561134,0.26295706827044485,0.03532663284227018,0.23702753929287193,0.2888832484970242,8.495453128814699,0.3076620373381446,8.268789912509918,8.721609883561134,0.0,0.0,0.0,0.0,9.669883828610181e-06,2.1103596872900786e-05
57,pglib_opf_case57_ieee,full,nominal,5,-21.46566873626709,0.18821189213428138,-21.616270107412337,-21.288691458263393,0.09870759923905133,0.01745058164874701,0.08530099149815738,0.11207567508887499,0.025697601997107265,0.00021288964233070104,0.02553414277820848,0.025858028022227808,0.35305298123955725,0.02129940759649572,0.3362654345816374,0.3698847719797491,0.03308925804235041,0.003267117806062927,0.030515632940782234,0.03566521743129007,0.35305298123955725,0.02129940759649572,0.3362654345816374,0.3698847719797491,0.0,0.0,0.0,0.0,2.6462217792868613e-07,1.2710651981540665e-07
57,pglib_opf_case57_ieee,generation,nominal,5,-20.690917230415344,0.17820962695628573,-20.84544584927082,-20.53418608369351,0.09283661091923713,0.009069412496607294,0.08489836821582168,0.09866422334898262,0.025888173867389563,0.00032131950814721894,0.02564470528191887,0.026128563262159007,0.4407456108570099,0.015028332942759662,0.4286582659181953,0.452228351431489,0.04651862862482667,0.0019895112125374722,0.04487215441510081,0.04800307869436219,0.4407456108570099,0.015028332942759662,0.4286582659181953,0.452228351431489,0.0,0.0,0.0,0.0,3.639564849436283e-07,1.886669358411102e-07
57,pglib_opf_case57_ieee,none,nominal,5,-316.0719452911377,35.57861746324998,-333.0209179519654,-284.1020035243225,0.17228165791928768,0.034590880301942024,0.1474308246769011,0.19932033592179418,0.026299991001933816,0.0021394242967516575,0.024541637287233024,0.027763386104097593,17.4567400390625,0.4587284527193486,17.040516292762756,17.68491565906525,0.3613796245574951,0.017709393524531377,0.34524531841695305,0.3718162892228365,17.4567400390625,0.4587284527193486,17.040516292762756,17.68491565906525,0.0,0.0,0.0,0.0,1.89069751650095e-07,5.875812168286029e-08
57,pglib_opf_case57_ieee,voltage,nominal,5,-294.506881842041,13.999159496594222,-306.9672984342956,-286.98772375747683,0.1060298380330205,0.018940452157073455,0.09085264150433242,0.1200740150525421,0.02136601824127138,0.0006481887241500545,0.02086484280556441,0.021851719653559847,17.024029264831544,0.4116621781734541,16.72621128770828,17.360941531801224,0.38255269554853444,0.017930259719433024,0.36614472064256665,0.39274489288955927,17.024029264831544,0.4116621781734541,16.72621128770828,17.360941531801224,0.0,0.0,0.0,0.0,2.213088795542717e-07,7.775674599733806e-08
162,pglib_opf_case162_ieee_dtc,full,nominal,5,-37.33372570495605,0.8975530871178493,-38.03330366758347,-36.65383431451797,0.43269790951609616,0.03876716881030268,0.40396386808723206,0.46366006784856323,0.11228578471839427,0.012169992450486375,0.10361115739878267,0.1227185423765704,15.660005965805055,1.1495907496897653,15.0173598391819,16.685334078187942,0.08445474912971257,0.01040970406738776,0.07722917080499232,0.09346042094670236,15.660005965805055,1.1495907496897653,15.0173598391819,16.685334078187942,0.0,0.0,0.0,0.0,2.0213862881064416e-07,2.215115025589242e-08
162,pglib_opf_case162_ieee_dtc,generation,nominal,5,-36.58445789146424,1.1704089290752409,-37.56480620864868,-35.59427430802345,0.460215546053648,0.03328914639871976,0.43393633387103675,0.48520369089260695,0.11248574089854957,0.016509772548888305,0.09965170177914202,0.12532773906659336,16.668087689971923,3.4711707299766235,14.025230748682022,19.307831952371597,0.09596904781609775,0.00791013124958518,0.08914753006335348,0.1015090422036126,16.668087689971923,3.4711707299766235,14.025230748682022,19.307831952371597,0.0,0.0,0.0,0.0,1.8047206103801729e-07,2.846333084161807e-08
