Bus,Case,Projection,Weights,N_Runs,Objective_Deviation_pct_Mean,Objective_Deviation_pct_SD,Objective_Deviation_pct_CI_L,Objective_Deviation_pct_CI_U,Max_Eq_Mean,Max_Eq_SD,Max_Eq_CI_L,Max_Eq_CI_U,Mean_Eq_Mean,Mean_Eq_SD,Mean_Eq_CI_L,Mean_Eq_CI_U,Max_Ineq_Mean,Max_Ineq_SD,Max_Ineq_CI_L,Max_Ineq_CI_U,Mean_Ineq_Mean,Mean_Ineq_SD,Mean_Ineq_CI_L,Mean_Ineq_CI_U,Max_Violation_Mean,Max_Violation_SD,Max_Violation_CI_L,Max_Violation_CI_U,Feasibility_Rate_Mean,Feasibility_Rate_SD,Feasibility_Rate_CI_L,Feasibility_Rate_CI_U,Inference_Time_s_Mean,Inference_Time_s_SD
14,pglib_opf_case14_ieee,full,equal,5,-100.0,0.0,-100.0,-100.0,0.19834749432504178,0.0011053583979575348,0.19753283476278186,0.19928966370873155,0.09433897626549007,6.031713748163055e-05,0.09425989060018213,0.09441418501466513,0.0012243471622467041,0.0006960121169817667,0.0006008375406265259,0.0016116476076841356,9.565212205052376e-06,5.437594663920052e-06,4.694043286144733e-06,1.2590996935032309e-05,0.19834749432504178,0.0011053583979575348,0.19753283476278186,0.19928966370873155,0.0,0.0,0.0,0.0,2.484803088009358e-07,3.5534127799237376e-08
14,pglib_opf_case14_ieee,full,inequality,5,-100.0,0.0,-100.0,-100.0,0.19869568741917612,0.00036120661482593857,0.19838100128501654,0.19901664696455001,0.09448852785229682,0.0001268413621952433,0.0943789233186841,0.09460872435402126,1.5633344650268555e-06,4.897918425018287e-07,9.272032976150514e-07,2.247588634490967e-06,1.2213550508022309e-08,3.826498769545537e-09,7.243775762617589e-09,1.755928620696068e-08,0.19869568741917612,0.00036120661482593857,0.19838100128501654,0.19901664696455001,0.0,0.0,0.0,0.0,3.4390278160572055e-07,1.1090571712638991e-07
14,pglib_opf_case14_ieee,full,nominal,5,8.218662391221523,0.03687224316281903,8.140031359907686,8.299373775999845,0.09257791032791138,0.0018363779247533402,0.09123118631087243,0.09410388627436013,0.04411848926991224,0.0003617620873765253,0.04383672715736553,0.04441298134678975,0.0592773961186409,0.0013832952848030103,0.05840845456004143,0.060535776218771924,0.001054182078037411,2.3407822679860126e-05,0.0010397481517423876,0.0010754151518037544,0.09257791032791138,0.0018363779247533402,0.09123118631087243,0.09410388627436013,0.0,0.0,0.0,0.0,1.9455784931778908e-07,9.712688175384426e-09
14,pglib_opf_case14_ieee,full,objective,5,-45.72380608139038,0.019064946903507515,-45.767548470363614,-45.67869702856064,0.11315667911320926,0.001730726175590126,0.11180335621189327,0.11450299944777044,0.055545703682303424,0.00033124898254014237,0.0552570373436436,0.0557697970514372,0.09428135817050934,0.0003266723255210279,0.09399600039571523,0.09456602186083794,0.0014770879848860206,5.117774908554275e-06,0.0014726501092943362,0.0014815989122260362,0.11315667911320926,0.001730726175590126,0.11180335621189327,0.11450299944777044,0.0,0.0,0.0,0.0,2.2929096594452857e-07,2.653484372684234e-08
14,pglib_opf_case14_ieee,full,physics,5,7.351109440806508,0.004967463692147507,7.2788059622312336,7.426376193227247,0.09239000409841538,0.0013259459432007814,0.09123819212067873,0.0932840394437313,0.04376856971308589,0.000174527033799631,0.043626457020733506,0.04391955582752824,0.023665878415107727,3.2989994200279915e-05,0.02363557161808014,0.023692811641097065,0.000354744994174689,2.7935188827004904e-06,0.00035259017401607706,0.00035697877062484625,0.09239000409841538,0.0013259459432007814,0.09123819212067873,0.0932840394437313,0.0,0.0,0.0,0.0,2.459271810948848e-07,4.4381369351398805e-08
57,pglib_opf_case57_ieee,full,equal,5,-100.0,0.0,-100.0,-100.0,0.35282000998854635,0.0010095818478021892,0.3520643610978127,0.3536927279825509,0.1270256714716554,8.893498081824228e-05,0.12692808272711936,0.1271209999987483,0.07033037739992141,0.00020890146867743602,0.07016690470606088,0.07049700045078991,0.0010151248003472575,2.2905753033863173e-06,0.0010129279287852113,0.001017145177986531,0.35282000998854635,0.0010095818478021892,0.3520643610978127,0.3536927279825509,0.0,0.0,0.0,0.0,3.146872855722904e-07,1.4025613188914616e-07
57,pglib_opf_case57_ieee,full,inequality,5,-100.0,0.0,-100.0,-100.0,2.1557436114013195,2.483505198138046,0.35749235199302437,4.140489869450926,0.30923808368444444,0.25109628445811266,0.1287878976514563,0.5150878177647665,0.2686465322971344,0.3724850063195212,0.000553156695663929,0.5725308126232027,0.003734303683923269,0.005484598523953938,2.934228512193329e-06,0.008593592690811032,2.1557436114013195,2.483505198138046,0.35749235199302437,4.140489869450926,0.0,0.0,0.0,0.0,3.689914010465145e-07,4.148105587579152e-08
57,pglib_opf_case57_ieee,full,nominal,5,-21.46566873626709,0.18821189213428138,-21.616270107412337,-21.288691458263393,0.09870759923905133,0.01745058164874701,0.08530099149815738,0.11207567508887499,0.025697601997107265,0.00021288964233070104,0.02553414277820848,0.025858028022227808,0.35305298123955725,0.02129940759649572,0.3362654345816374,0.3698847719797491,0.03308925804235041,0.003267117806062927,0.030515632940782234,0.03566521743129007,0.35305298123955725,0.02129940759649572,0.3362654345816374,0.3698847719797491,0.0,0.0,0.0,0.0,2.6462217792868613e-07,1.2710651981540665e-07
57,pglib_opf_case57_ieee,full,objective,5,-91.93156553344727,0.04709004881117266,-91.96157817955017,-91.88762683338166,0.297602859723568,0.005016727680744374,0.29480327685177327,0.3021218021146953,0.11095510667562485,0.0004076670755750732,0.1106358024926111,0.11127318172253668,0.2454857458591461,0.008123936220358091,0.23939660830497742,0.25160721614211795,0.006610392593778669,0.0005208526982382338,0.006221946602268144,0.00703258697443409,0.297602859723568,0.005016727680744374,0.29480327685177327,0.3021218021146953,0.0,0.0,0.0,0.0,2.8996001929044723e-07,5.8651309054935635e-08
57,pglib_opf_case57_ieee,full,physics,5,-10.68637090329693,17.30756349636909,-22.792822774758342,4.263880132577356,0.1642727227598429,0.1110793220099657,0.08482309087827802,0.25923288344152273,0.037929876359552146,0.018971356751734347,0.025358555761184547,0.05500804473312572,0.36474383983612063,0.4730580929942834,0.018714650838673116,0.7107691024208069,0.0038593843310092773,0.005685865538290373,6.438042397704521e-05,0.008957790159960888,0.405620792105794,0.43580869197665156,0.08482309087827802,0.7264198324133083,0.0,0.0,0.0,0.0,3.023768775165081e-07,4.5335062781481585e-08
