Architecture,Metric,Bootstrap_Mean,CI95_Low,CI95_High
PINN Baseline,Optimality_Gap,11.69171858237498,-8.273660453913807,28.857715596291122
PINN Baseline,Max_Eq,0.9025387691492692,0.4537082372212411,1.268851271441579
PINN Baseline,Mean_Eq,0.10514433232630194,0.07431939313041047,0.12229088483583184
PINN Baseline,Max_Ineq,0.35845826378412243,0.14936803718864916,0.5422649101783336
PINN Baseline,Mean_Ineq,0.032904616274695285,0.010596983554663602,0.05273629325030371
DC3,Optimality_Gap,-34.52518277883071,-37.134634016370775,-32.403721442699435
DC3,Max_Eq,1.0297313441787839,1.006507845414579,1.0444837248343228
DC3,Mean_Eq,0.11764572637672722,0.1141518321263045,0.12198713593963534
DC3,Max_Ineq,0.03671441189068556,0.01766049086004496,0.059793809891045095
DC3,Mean_Ineq,0.0013831350780582055,0.00023789057394955305,0.00296953672119882
FSNet,Optimality_Gap,-2.9921632884334346,-6.376083522971347,-1.3383245525952754
FSNet,Max_Eq,7.748879703686666,4.546301850857734,9.332668457341196
FSNet,Mean_Eq,1.5549098054822983,0.9065896258118749,1.8688721521389486
FSNet,Max_Ineq,11.905000623127806,6.315668666687905,14.890929953789712
FSNet,Mean_Ineq,0.4090244784991339,0.25083957077279684,0.5060127433684468
KKT,Optimality_Gap,6.0619658793755296,5.961532395907487,6.16922822249465
KKT,Max_Eq,2.240880614240598,1.360848656810522,3.675292960891724
KKT,Mean_Eq,0.24427447829812762,0.18286813737392427,0.36096716214947405
KKT,Max_Ineq,0.0,0.0,0.0
KKT,Mean_Ineq,0.0,0.0,0.0
Rahul's Model,Optimality_Gap,9.303714660983026,7.624257169232956,10.755625163332226
Rahul's Model,Max_Eq,0.27336179621442264,0.21150990896515545,0.3351837614420802
Rahul's Model,Mean_Eq,0.06750883728374839,0.06134719958866015,0.07378314001314343
Rahul's Model,Max_Ineq,0.026264847363042833,0.024334699303507807,0.027883429825901983
Rahul's Model,Mean_Ineq,0.0006293695092858746,0.0004325617601070553,0.0007568614039849491
Ablated PINN,Optimality_Gap,-720.8778459054809,-849.0435527856446,-499.64422200317387
Ablated PINN,Max_Eq,0.03893541272880286,0.032336981585416945,0.04726735510947182
Ablated PINN,Mean_Eq,0.009290071143668798,0.007376172729539686,0.01252931083827978
Ablated PINN,Max_Ineq,7.2574984781191345,5.0864319420063495,8.499799118552206
Ablated PINN,Mean_Ineq,0.25129618291834893,0.20194907358430322,0.2887603827158362
