Instance,Success,Status,Objective,Solve_Time_s,Max_Eq_Violation,Max_Ineq_Violation,Total_Pd,Total_Qd
1,True,optimal,108877.06699201684,0.7066763999973773,1.0953499440802261e-07,6.871538857922133e-07,72.244479611516,11.725254409015179
2,True,optimal,106536.90425691997,0.7018314999950235,1.0790285287498591e-07,4.6861989488888867e-07,71.88679525628686,11.631309058517218
3,True,optimal,107936.09809244584,0.7042986000014935,1.0952729212476697e-07,6.852944807178574e-07,72.41998045891523,11.602633755654097
4,True,optimal,109950.74288400542,0.6964404000027571,1.0953572626704045e-07,6.871949693731949e-07,73.91880497336388,11.914559037424624
5,True,optimal,108416.29622841049,0.6869445999982418,2.501328255632984e-07,6.980889111218858e-07,74.35535353794694,11.585893971845508
6,True,optimal,106403.68898657482,0.7391549999956624,1.0903298175435339e-07,4.6484769455901187e-07,70.88810959458351,11.847842743620276
7,True,optimal,107600.81928998316,0.7154236999995192,1.1007655942307792e-07,6.883211938202294e-07,72.872752815485,11.848327756859362
8,True,optimal,109424.13910255166,0.7269664999985253,1.0953866436125281e-07,6.885678942580853e-07,72.89735335484147,11.840390761382878
9,True,optimal,108880.72973914845,0.7708477999985917,1.0954413909303184e-07,6.915946784147309e-07,70.59759651497006,11.630789575167
10,True,optimal,108583.92800231525,0.7514674000049126,1.0958015295159385e-07,6.871655386930797e-07,73.96388900279999,11.55422329902649
11,True,optimal,109353.15892727482,0.7020611000043573,1.0900871671992718e-07,4.6561626021457414e-07,72.27669239416718,11.797172266989946
12,True,optimal,110244.5833620735,0.7354085000042687,1.0954521201256284e-07,6.91839773026004e-07,72.12112255394459,11.794838044792414
13,True,optimal,110056.59072300278,0.6736961999995401,1.100636097817187e-07,6.861573496053097e-07,73.84213683381677,11.643904241733253
14,True,optimal,108689.08774654439,0.6903287000022829,1.0952992823831664e-07,7.133383661539483e-07,72.90530620142817,11.7065390329808
15,True,optimal,107481.16739226847,0.6690976000027149,1.0907422520745058e-07,4.648285170105737e-07,72.82304772734642,11.788188647478819
16,True,optimal,114609.23195186707,0.8000393000038457,1.1035441893625375e-07,4.6701689626615916e-07,73.39366689324379,11.71842219401151
17,True,optimal,107621.30714094346,0.6734679999935906,1.0953395346291472e-07,6.881282530457611e-07,72.07599684968591,11.708971835672855
18,True,optimal,105529.92146637675,0.6629666000008001,1.0833448094160758e-07,5.435872481029946e-07,70.55104258656502,11.769492079503834
19,True,optimal,102959.30537203897,0.633216900001571,1.063687751212683e-07,4.649421398994491e-07,70.21102824807167,11.539018316194415
20,True,optimal,111709.75051748779,0.6667319999978645,1.0954459739309641e-07,6.902154012777828e-07,73.98411948606372,11.708393609151244
21,True,optimal,105053.42757572276,0.6515312000046833,1.0717272402871458e-07,4.6637168082952485e-07,71.91146873310208,11.763153993524611
22,True,optimal,108219.6993997058,0.6589190999948187,1.0953168150251713e-07,6.87405332655544e-07,72.88782127201557,11.622805959545076
23,True,optimal,108265.78206815435,0.6704626999999164,1.0904697944624786e-07,4.648383722383187e-07,71.91715782880783,11.785739867016673
24,True,optimal,105270.67699640668,0.6300730000002659,1.063918269039732e-07,4.661588732801647e-07,72.68505882099271,11.76328220590949
25,True,optimal,106589.74604891746,0.6676185999967856,1.0907268688242766e-07,6.438421422672036e-07,71.69300342723727,11.731625673361123
26,True,optimal,110737.47416280225,0.679341499999282,1.0954392593021112e-07,6.907730210059526e-07,73.29457811638713,11.57524888496846
27,True,optimal,111660.31324364615,0.6836164999986067,1.0955531237755167e-07,6.89826535449356e-07,72.69080953672528,11.742757674306631
28,True,optimal,103882.48358231041,0.6180683999991743,1.0677056039298805e-07,4.6464979419624797e-07,70.21499438583851,11.553328895941377
29,True,optimal,109737.5082033225,0.6721841000035056,1.1002072675125874e-07,6.790434099457343e-07,73.10157319530845,11.833120105788112
30,True,optimal,105262.71294438973,0.6572756000023219,1.0627524282824652e-07,4.636368871047125e-07,73.15391938015819,11.77005692012608
31,True,optimal,110160.98893275239,0.6777053999976488,1.0901210245606308e-07,4.647013511771547e-07,72.26890829578042,11.812007375992835
32,True,optimal,109013.0930977016,0.6740509000010206,1.095367299086547e-07,6.88314727881334e-07,71.92883591726422,11.855960420332849
33,True,optimal,112654.19799981808,0.7211488999964786,1.1058592619406227e-07,4.6671733855419006e-07,71.85176658257842,11.709145289845765
34,True,optimal,107678.96105490171,0.7164016999959131,2.494497390870265e-07,7.03766744436507e-07,73.7099220007658,11.880338504910469
35,True,optimal,105370.31358811767,0.7264124000066658,1.0659828397763249e-07,4.639957182916987e-07,71.32484789565206,11.661131912842393
36,True,optimal,105705.30014427577,0.6345352999996976,1.0690984453276542e-07,4.6516228735526965e-07,72.27037634700537,11.885995455086231
37,True,optimal,104926.96140673055,0.6761641999983112,1.1012251555087005e-07,6.81143632164094e-07,69.69332687184215,11.737343871966004
38,True,optimal,108167.44292002989,0.6539769999944838,1.095279245078018e-07,6.856886898276571e-07,73.26230569928885,11.755079781636596
39,True,optimal,106916.86215893588,0.68008440000267,1.0799661787075365e-07,4.686429662115188e-07,72.581009298563,11.696457277052104
40,True,optimal,108150.51869715638,0.6340545999992173,1.1007472267010598e-07,6.777068932706243e-07,73.83712256327271,11.932559945620596
41,True,optimal,108164.81906769662,0.6481248999989475,1.0952800799657325e-07,6.85115864484942e-07,73.0546113178134,11.556562051177025
42,True,optimal,107715.63232353824,0.671741899997869,1.0953011830849846e-07,6.89055710267894e-07,73.12284891307354,11.823099631816149
43,True,optimal,107196.83559829499,0.7408014000029652,1.095311930043863e-07,6.880258212049739e-07,72.16045363619924,11.783051017671824
44,True,optimal,107683.84174353731,0.6523632999960682,1.0898475721887735e-07,6.355249269063279e-07,73.11641876772046,11.877799945883453
45,True,optimal,110358.5590939562,0.673579599999357,1.0954185469813638e-07,6.886627375024545e-07,72.5523059219122,11.646525371819735
46,False,infeasible,,11.510326299998269,,,73.95215706527233,11.67147011961788
47,True,optimal,106119.37469018482,0.6834791000001132,1.0704312281006878e-07,4.657663552620761e-07,71.7489560879767,11.828035546466708
48,True,optimal,109093.61472085156,0.7031056999985594,1.0953950990710837e-07,6.901342146647949e-07,71.33430089056492,11.868048835545778
49,True,optimal,114876.922505988,0.7592918000009377,1.0954710560895364e-07,7.396670866910426e-07,75.54944753274322,11.760517892427742
50,True,optimal,116480.76338186553,0.6650557000029949,1.1029036350862498e-07,6.776492114113353e-07,75.04497271031141,11.620492759160697
51,True,optimal,112165.2819168112,0.6296538000024157,1.0954644480420939e-07,6.900299638346041e-07,72.92397009953856,11.826573818922043
52,True,optimal,108554.4360663927,0.673260499999742,1.0953746532038622e-07,6.890254127256412e-07,71.92406307160854,11.885635828599334
