Instance,Success,Status,Objective,Solve_Time_s,Max_Eq_Violation,Max_Ineq_Violation,Total_Pd,Total_Qd
1,True,optimal,224328.37365962152,2.8319705999965663,2.3730332543436816e-07,1.1184678516684698e-08,236.38945971336216,77.27457434393
2,True,optimal,221359.8128368082,2.269021000000066,2.3727569598008813e-07,1.1197347937752511e-08,234.0158587344922,77.65832281461917
3,True,optimal,227850.505380829,2.4419037000043318,2.3721147002220277e-07,1.120494608208844e-08,236.36923556029797,77.45196194434538
4,True,optimal,220053.30094351037,2.161187699995935,2.3725776188143755e-07,1.1158813872924611e-08,234.76431893277913,77.78512511169538
5,True,optimal,222171.09160122924,2.4275622999994084,2.3737486642971817e-07,1.1186825465969719e-08,234.5562375029549,78.45450220198836
6,True,optimal,223130.20097721004,2.0184258999943268,2.3722132524994777e-07,1.1194247528933943e-08,235.4777229721658,77.64881463639904
7,True,optimal,224625.7957874706,1.9877743999968516,2.3730515863462642e-07,1.1199494887037531e-08,234.69149319361895,78.44142779207323
8,True,optimal,221864.81648566105,1.274161000001186,2.3719372421737717e-07,1.1187907711374123e-08,234.48999206721783,77.45977922750171
9,True,optimal,232546.12781152688,1.3841333000018494,2.3726249764877139e-07,1.1208121541983473e-08,236.6948126098141,78.26995256601367
10,True,optimal,227736.25537361062,1.3092255000010482,2.388440272227399e-07,1.1196663152190922e-08,233.8080410216935,78.1404801470926
11,True,optimal,218048.6333756207,1.3010961999971187,2.3714411767628008e-07,1.1155416368424653e-08,233.6002589771524,77.38335075217765
12,True,optimal,224344.8038226491,1.8133952999996836,2.3730163434265705e-07,1.1200977922953825e-08,234.90939819067717,78.084922546288
13,True,optimal,224857.59111875636,1.1891770000001998,2.372286260765577e-07,1.1186950699126896e-08,232.31382029363886,78.42848046275321
14,True,optimal,220270.9589452229,1.3775467999948887,2.3722639497236742e-07,1.111480241178242e-08,233.85346155893058,77.06455020140857
15,True,optimal,223721.507970914,1.3217536000011023,2.372045280196744e-07,1.1200289584678558e-08,235.27250752225518,77.46664678293746
16,True,optimal,235869.634114523,1.35114180000528,2.3726218500996765e-07,1.1219509987725473e-08,235.8849851586856,78.38500830880366
17,True,optimal,232520.32276239365,1.407956800001557,2.3718732578004165e-07,1.121811088466984e-08,235.08647898444906,77.92981031024829
18,True,optimal,228532.69053219262,1.5133528000005754,2.3728033582415264e-07,1.1192847759744495e-08,236.07796084182337,78.60399356181733
19,True,optimal,226007.06894484896,1.262919700006023,2.372478498102737e-07,1.1137971878127928e-08,235.95754206972197,78.42217941163108
20,True,optimal,218843.78056216263,1.2914896000002045,2.3721968389622816e-07,1.1193533211439899e-08,234.7762419525534,77.57317188975867
