Architecture,Run,Instance_ID,Raw_Obj_Gap_pct,Raw_Max_Eq,Raw_Mean_Eq,Raw_Max_Ineq,Raw_Mean_Ineq,NN_Time_s,Restoration_Success,Restoration_Status,Restoration_Time_s,Total_Online_Time_s,Restoration_Distance,Restored_Cost,IPOPT_Cost,Restored_Obj_Gap_pct,Restored_Max_Eq,Restored_Mean_Eq,Restored_Max_Ineq,Restored_Mean_Ineq
PINN Baseline,1,0,4.835160255432129,1.5589232444763184,0.12442217767238617,0.12138491868972778,0.006144546438008547,0.00376445000001695,False,infeasible,0.20910840000215103,0.212872850002168,,,2157.823486328125,,,,,
PINN Baseline,1,1,-2.2542803287506104,1.4815887212753296,0.11750365793704987,0.14852118492126465,0.010116638615727425,0.00376445000001695,False,infeasible,0.11686069999996107,0.12062514999997802,,,2202.7431640625,,,,,
PINN Baseline,1,2,-3.537907600402832,1.4847980737686157,0.11795034259557724,0.14694255590438843,0.010096043348312378,0.00376445000001695,False,infeasible,0.1337961000026553,0.13756055000267225,,,2237.24365234375,,,,,
PINN Baseline,1,3,3.430114269256592,1.5350598096847534,0.12282318621873856,0.12726420164108276,0.007799748331308365,0.00376445000001695,False,infeasible,0.11407659999895259,0.11784104999896954,,,2156.857177734375,,,,,
PINN Baseline,1,4,1.9879506826400757,1.5256242752075195,0.12292563170194626,0.12673234939575195,0.007461606990545988,0.00376445000001695,False,infeasible,0.1179286000005959,0.12169305000061285,,,2173.237060546875,,,,,
PINN Baseline,1,5,-1.6374154090881348,1.431037425994873,0.11388853937387466,0.1699279546737671,0.012978848069906235,0.00376445000001695,False,infeasible,0.13513480000256095,0.1388992500025779,,,2116.685546875,,,,,
PINN Baseline,1,6,1.0690702199935913,1.5380266904830933,0.12280454486608505,0.12103378772735596,0.006904713809490204,0.00376445000001695,False,infeasible,0.13204269999914686,0.13580714999916382,,,2211.462646484375,,,,,
PINN Baseline,1,7,-0.25006505846977234,1.4770721197128296,0.11718206852674484,0.15035587549209595,0.010489139705896378,0.00376445000001695,False,infeasible,0.11928990000160411,0.12305435000162106,,,2154.029296875,,,,,
PINN Baseline,1,8,0.7734341025352478,1.4996864795684814,0.11923343688249588,0.13902580738067627,0.008924940600991249,0.00376445000001695,False,infeasible,0.12485559999913676,0.12862004999915372,,,2162.856689453125,,,,,
PINN Baseline,1,9,5.279155731201172,1.5081470012664795,0.12086959928274155,0.1347373127937317,0.008321506902575493,0.00376445000001695,False,infeasible,0.12470269999903394,0.1284671499990509,,,2082.473388671875,,,,,
PINN Baseline,2,0,36.59387969970703,1.1038559675216675,0.12894408404827118,0.418565034866333,0.03892820328474045,0.00018564000019978267,False,infeasible,0.11592859999655047,0.11611423999675026,,,2157.823486328125,,,,,
PINN Baseline,2,1,33.36726379394531,1.0922406911849976,0.12285733222961426,0.4290170669555664,0.04036179557442665,0.00018564000019978267,False,infeasible,0.13801199999943492,0.1381976399996347,,,2202.7431640625,,,,,
PINN Baseline,2,2,31.260271072387695,1.0923213958740234,0.12430600821971893,0.4298170506954193,0.040495194494724274,0.00018564000019978267,False,infeasible,0.10454349999781698,0.10472913999801677,,,2237.24365234375,,,,,
PINN Baseline,2,3,36.31008529663086,1.094806432723999,0.12668956816196442,0.42587363719940186,0.039997123181819916,0.00018564000019978267,False,infeasible,0.136647899998934,0.13683353999913378,,,2156.857177734375,,,,,
PINN Baseline,2,4,35.48272705078125,1.099306344985962,0.12723615765571594,0.42164888978004456,0.039370812475681305,0.00018564000019978267,False,infeasible,0.11598659999799565,0.11617223999819544,,,2173.237060546875,,,,,
