Architecture,Run,Optimality_Gap,Max_Eq,Mean_Eq,Max_Ineq,Mean_Ineq
Ablated PINN,1,-43.668579257965085,0.5509438116550446,0.11381389623135328,16.069962078094484,0.15927357357740402
Ablated PINN,2,-48.32825663375854,0.5882579138278962,0.08680037485063076,15.59637615776062,0.14703509932756423
Ablated PINN,3,-48.103569900512696,0.5766609728336334,0.08606121307611465,15.221480321884155,0.14559596534073352
Ablated PINN,4,-45.401465690612795,0.5920081272125244,0.10567488384991884,18.463765941619872,0.1584535791426897
Ablated PINN,5,-48.49594710922241,0.379934819817543,0.09046404175460339,15.335669639587403,0.14121375568211078
DC3,1,-32.14730499076843,85.50308422851562,4.745238411903381,7397.843859863281,20.01073612976074
DC3,2,-31.94377841758728,84.20316628265381,4.714409293651581,7146.787145996093,19.62985975265503
DC3,3,-32.19773357772827,84.27514916229248,4.738084337234497,7202.296458496094,20.050027391433716
DC3,4,-32.06948648071289,84.68730562591553,4.7591579489707945,7230.858865722656,19.777347494125365
DC3,5,-32.13387129020691,84.62268690490723,4.747989253520966,7175.824537109375,19.706713109970092
FSNet,1,-34.47268478393555,83.69000473022462,4.7176529712677,7044.419167480469,19.020215799331666
FSNet,2,-34.422757776260376,83.19149970245361,4.710550173282623,6934.759482421875,19.030258419036866
FSNet,3,-34.32364801216126,81.19187330627442,4.687594055652618,6653.133884277344,18.756198526382445
FSNet,4,-34.46487082290649,84.19227960968017,4.699425678730011,7129.119458007813,19.18807070350647
FSNet,5,-34.47008051300049,83.32168952941895,4.703958561420441,7018.469251953125,19.13500893974304
KKT,1,-34.49112361145019,0.24669126519560813,0.048406971499323846,0.18891502368450164,0.00030862233881634893
KKT,2,-34.17017110824585,0.41812398305535314,0.05324654508009553,0.6792677726745605,0.0007568926456442568
KKT,3,-34.403861177444455,0.2621413843035698,0.04941532082855701,0.4422568576335907,0.0007793494511279278
KKT,4,-34.98588173866272,0.29521022175252437,0.049762347910553215,0.1777613739967346,0.00021226779439246002
KKT,5,-34.406757709503175,0.29379430910944937,0.05173289460688829,0.6190450744628906,0.0005299569150665775
PINN Baseline,1,-37.51478910064697,0.3944210809469223,0.10429598782211542,14.842375289916992,0.08318112520128489
PINN Baseline,2,-37.68045351028442,0.3716653314828873,0.10495872440934181,12.701176231384277,0.08636248918622733
PINN Baseline,3,-40.97420261001587,0.5610360656678677,0.13281574811041355,18.219300863265993,0.10766119459271431
PINN Baseline,4,-36.795046569824216,0.39600436758995056,0.10322328048199415,14.880786262512206,0.07777422753721476
PINN Baseline,5,-42.86356155014038,0.651809765458107,0.1827750724107027,21.487653594970702,0.11062081830203534
Rahul's Model,1,-8.204104649543762,0.6064836847782135,0.041691162351518866,0.08561419242620469,0.00011541867490814184
Rahul's Model,2,-6.996027023315429,1.0301748070716858,0.042914815831929444,0.09767026370763779,0.00011407135211629792
Rahul's Model,3,-7.6186382217407225,0.686611274600029,0.04401947408914566,0.03567489624023437,4.119664989411831e-05
Rahul's Model,4,-6.242430912017822,0.6505242031216621,0.04108691008761525,0.0518247749209404,6.130743998983234e-05
Rahul's Model,5,-8.771389060974121,0.7081052532196045,0.044395579751580955,0.055642448246479036,5.735258352797246e-05
