Architecture,Run,Raw_Max_Violation,Log_Max_Violation
DC3,Run 1,0.9850751,-0.006533554
DC3,Run 2,1.0406431,0.017297916
DC3,Run 3,1.0501674,0.021254461
DC3,Run 4,1.036805,0.015668895
DC3,Run 5,1.0334795,0.014273238
FSNet,Run 1,1.4161341,0.15110095
FSNet,Run 2,15.087036,1.1772555
FSNet,Run 3,15.103293,1.1775951
FSNet,Run 4,14.084424,1.148602
FSNet,Run 5,13.846957,1.1408718
KKT,Run 1,1.704966,0.23166566
KKT,Run 2,1.1318423,0.053753197
KKT,Run 3,1.9449856,0.28846493
KKT,Run 4,1.4364456,0.15694265
KKT,Run 5,5.0793276,0.7057621
PINN Baseline,Run 1,1.5075212,0.17815442
PINN Baseline,Run 2,1.0956491,0.039667457
PINN Baseline,Run 3,1.1181355,0.04847589
PINN Baseline,Run 4,0.7103072,-0.14855886
PINN Baseline,Run 5,0.0912641,-1.0400846
Rahul's Model,Run 1,0.24961087,-0.6028216
Rahul's Model,Run 2,0.35881186,-0.44577235
Rahul's Model,Run 3,0.3503062,-0.45575786
Rahul's Model,Run 4,0.19673921,-0.7077567
Rahul's Model,Run 5,0.20720218,-0.6837944
