Architecture,Raw_Max_Violation,Log_Max_Violation
PINN Baseline,14.7875,1.1698948
PINN Baseline,13.951374,1.144617
PINN Baseline,15.393959,1.1873503
PINN Baseline,14.1712055,1.1514068
PINN Baseline,14.888748,1.1728582
PINN Baseline,15.662821,1.19487
PINN Baseline,14.126299,1.1500283
PINN Baseline,14.78075,1.1696965
PINN Baseline,15.763987,1.197666
PINN Baseline,14.274715,1.1545675
PINN Baseline,15.677069,1.1952648
PINN Baseline,14.720173,1.167913
PINN Baseline,14.359436,1.1571374
PINN Baseline,13.025473,1.1147935
PINN Baseline,15.567453,1.1922176
PINN Baseline,14.714216,1.1677371
PINN Baseline,14.435175,1.159422
PINN Baseline,14.745413,1.168657
PINN Baseline,15.17659,1.1811742
PINN Baseline,14.03574,1.1472353
PINN Baseline,15.582825,1.1926461
PINN Baseline,14.840973,1.1714624
PINN Baseline,15.127602,1.1797701
PINN Baseline,14.547937,1.1628014
PINN Baseline,15.365976,1.1865602
PINN Baseline,14.656393,1.1660271
PINN Baseline,15.210064,1.182131
PINN Baseline,16.149118,1.2081488
PINN Baseline,14.488075,1.1610107
PINN Baseline,15.368992,1.1866454
PINN Baseline,16.101624,1.2068697
PINN Baseline,14.920328,1.1737784
PINN Baseline,13.420052,1.1277542
PINN Baseline,15.166729,1.1808919
PINN Baseline,14.480923,1.1607963
PINN Baseline,14.789307,1.1699479
PINN Baseline,16.189873,1.2092434
PINN Baseline,14.768364,1.1693324
PINN Baseline,13.9401455,1.1442673
PINN Baseline,13.757891,1.1385518
PINN Baseline,14.833729,1.1712503
PINN Baseline,14.773588,1.169486
PINN Baseline,14.53631,1.1624541
PINN Baseline,15.889334,1.2011057
PINN Baseline,15.178495,1.1812288
PINN Baseline,13.583006,1.1329958
PINN Baseline,14.486723,1.1609702
PINN Baseline,14.964165,1.1750525
PINN Baseline,13.900959,1.1430447
PINN Baseline,13.83815,1.141078
PINN Baseline,15.109112,1.1792389
PINN Baseline,14.283138,1.1548237
PINN Baseline,14.309401,1.1556214
PINN Baseline,15.063902,1.1779375
PINN Baseline,15.235376,1.1828532
PINN Baseline,15.605173,1.1932685
PINN Baseline,16.559093,1.2190366
PINN Baseline,13.641983,1.1348776
PINN Baseline,15.264881,1.1836934
PINN Baseline,16.35711,1.2137065
PINN Baseline,15.196676,1.1817486
PINN Baseline,14.956091,1.174818
PINN Baseline,14.579739,1.1637497
PINN Baseline,14.788937,1.1699369
PINN Baseline,15.28653,1.1843089
PINN Baseline,15.59646,1.1930261
PINN Baseline,15.048727,1.1774998
PINN Baseline,15.046894,1.1774468
PINN Baseline,13.406544,1.1273168
PINN Baseline,13.983576,1.1456182
PINN Baseline,15.938328,1.2024428
PINN Baseline,15.356991,1.1863061
PINN Baseline,13.418358,1.1276994
PINN Baseline,14.819698,1.1708393
PINN Baseline,15.54282,1.1915299
PINN Baseline,15.860325,1.2003121
PINN Baseline,14.078392,1.148553
PINN Baseline,15.178108,1.1812177
PINN Baseline,16.995604,1.2303365
PINN Baseline,15.279526,1.1841099
PINN Baseline,13.933697,1.1440663
PINN Baseline,14.045174,1.1475271
PINN Baseline,14.938393,1.1743039
PINN Baseline,14.281025,1.1547594
PINN Baseline,14.624907,1.1650931
PINN Baseline,14.41324,1.1587616
PINN Baseline,14.931976,1.1741173
PINN Baseline,14.682957,1.1668135
PINN Baseline,14.412941,1.1587526
PINN Baseline,14.637798,1.1654757
PINN Baseline,16.146427,1.2080765
PINN Baseline,15.12973,1.1798311
PINN Baseline,14.917477,1.1736953
PINN Baseline,15.908943,1.2016413
PINN Baseline,15.613026,1.193487
PINN Baseline,15.067883,1.1780522
PINN Baseline,15.125622,1.1797132
PINN Baseline,13.921268,1.1436788
PINN Baseline,13.739531,1.1379719
PINN Baseline,13.80328,1.1399823
PINN Baseline,15.09153,1.1787332
PINN Baseline,15.524111,1.1910068
PINN Baseline,14.232647,1.1532856
PINN Baseline,14.724251,1.1680332
PINN Baseline,13.421648,1.1278058
PINN Baseline,13.9746895,1.1453421
PINN Baseline,15.867371,1.200505
PINN Baseline,15.970644,1.2033224
PINN Baseline,15.929369,1.2021986
PINN Baseline,14.364601,1.1572936
PINN Baseline,15.158878,1.180667
PINN Baseline,14.394419,1.1581942
PINN Baseline,15.005941,1.1762632
PINN Baseline,14.477695,1.1606995
PINN Baseline,14.862629,1.1720957
PINN Baseline,15.122936,1.1796361
PINN Baseline,14.51297,1.1617563
PINN Baseline,14.38941,1.158043
PINN Baseline,15.466745,1.1893989
PINN Baseline,14.80398,1.1703784
PINN Baseline,14.33857,1.1565058
PINN Baseline,16.292013,1.2119747
PINN Baseline,16.74721,1.2239424
PINN Baseline,15.307116,1.1848934
PINN Baseline,14.910273,1.1734856
PINN Baseline,14.802845,1.1703452
PINN Baseline,15.676603,1.195252
PINN Baseline,14.105083,1.1493757
PINN Baseline,15.83931,1.1997362
PINN Baseline,15.394634,1.1873693
PINN Baseline,14.979059,1.1754845
PINN Baseline,13.934883,1.1441033
PINN Baseline,14.570606,1.1634777
PINN Baseline,16.551275,1.2188314
PINN Baseline,14.5744095,1.1635909
PINN Baseline,16.11313,1.2071799
PINN Baseline,13.577427,1.1328175
PINN Baseline,16.4551,1.2163005
PINN Baseline,13.719482,1.1373377
PINN Baseline,15.519117,1.1908671
PINN Baseline,14.218494,1.1528536
PINN Baseline,14.737307,1.1684182
PINN Baseline,13.889072,1.1426733
PINN Baseline,16.133179,1.2077199
PINN Baseline,15.410507,1.187817
PINN Baseline,13.900694,1.1430365
PINN Baseline,15.683695,1.1954484
PINN Baseline,14.02845,1.1470097
PINN Baseline,15.210308,1.182138
PINN Baseline,15.561232,1.192044
PINN Baseline,14.9265785,1.1739603
PINN Baseline,16.008192,1.2043422
PINN Baseline,16.07499,1.2061507
PINN Baseline,14.208361,1.152544
PINN Baseline,14.270962,1.1544533
