Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
DC3,1,9,1.0,8.102677141626675e-05,0.6635917171111537,0.66367274388257,0.8428238574156744,1.270374489910977,-3.8312226282668866e-13
DC3,2,9,1.0,8.928245450887416e-05,0.6081357873303609,0.6082250697848698,0.8428238574156744,1.3883614932879143,-7.772419213901486e-11
DC3,3,9,1.0,9.639913009272682e-05,0.5918419521767646,0.5919383513068573,0.8428238574156744,1.4257323364135381,-1.0757516788214796e-12
DC3,4,9,1.0,9.128689352009032e-05,0.5774205963179055,0.5775118832114257,0.8428238574156744,1.4592998976927802,-7.511055503180246e-13
DC3,5,9,1.0,8.625689790480667e-05,0.5941249296690027,0.5942111865669075,0.8428238574156744,1.4219861220063732,-7.671455664151216e-11
FSNet,1,9,1.0,8.584910796748268e-05,0.6146580843099704,0.6147439334179379,0.8428238574156744,1.3737117257599647,-7.828189454995506e-13
FSNet,2,9,1.0,9.079688849548499e-05,0.5898938725392023,0.5899846694276979,0.8428238574156744,1.433430959029737,-7.090703756163799e-13
FSNet,3,9,1.0,8.273466179768245e-05,0.6255707271500595,0.6256534618118571,0.8428238574156744,1.3498474592456438,-7.722097249645133e-11
FSNet,4,9,1.0,8.57946773370107e-05,0.6089444646301369,0.6090302593074739,0.8428238574156744,1.3867026250918255,-6.516838786921673e-13
FSNet,5,9,1.0,0.00012188699717322986,0.5819131128955632,0.5820349998927364,0.8428238574156744,1.451469717558341,-6.610303644218601e-12
KKT,1,9,1.0,0.00015900255594816472,0.6397362869336374,0.6398952894895855,0.8428238574156744,1.3191789921321815,-7.562323971646266e-11
KKT,2,9,1.0,0.0001777782260129849,0.57720542486964,0.5773832030956529,0.8428238574156744,1.462135173722621,6.369657899313744e-14
KKT,3,9,1.0,0.00017976266745891835,0.5289973132053597,0.5291770758728186,0.8428238574156744,1.5987917990161928,-6.974127982078324e-12
KKT,4,9,1.0,0.00014765154466860823,0.5107299616663821,0.5108776132110506,0.8428238574156744,1.6496883474878583,-7.0851238467215555e-12
KKT,5,9,1.0,0.0001630848791036341,0.5082276997725583,0.5083907846516619,0.8428238574156744,1.6576479010569551,-7.133083148280471e-12
PINN Baseline,1,9,1.0,0.00017269268735415407,0.7652117943184243,0.7653844870057784,0.8428238574156744,1.1059859873528322,-9.815263970115486e-13
PINN Baseline,2,9,1.0,8.862688102655941e-05,0.7525093092893561,0.7525979361703826,0.8428238574156744,1.1348534069572327,7.92525900807609e-14
PINN Baseline,3,9,1.0,9.821588173508644e-05,1.5373752030233543,1.5374734189050894,0.8428238574156744,0.8423367055905968,-7.411888215032165e-12
PINN Baseline,4,9,1.0,0.00017412265555726158,0.8052823097548552,0.8054564324104123,0.8428238574156744,1.0464390547921254,-3.0958359961048133e-12
PINN Baseline,5,9,1.0,8.750466319421928e-05,0.6251598045540353,0.6252473092172295,0.8428238574156744,1.3595635064257152,3.9666192474764297e-13
Rahul's Model,1,9,1.0,0.0002076526741600699,0.5204267950159394,0.5206344476900995,0.8428238574156744,1.618399728757466,3.6493298027080874e-13
Rahul's Model,2,9,1.0,0.00020225498721831373,0.526634247870081,0.5268365028572993,0.8428238574156744,1.5990890337304338,3.952215863007463e-13
Rahul's Model,3,9,1.0,0.00014528810667494932,0.5212368601674421,0.521382148274117,0.8428238574156744,1.6165667549288978,-7.71009597881578e-11
Rahul's Model,4,9,1.0,0.00016611488536000252,0.5203526348082556,0.5205187496936156,0.8428238574156744,1.6187261016601606,6.599350471952512e-13
Rahul's Model,5,9,1.0,0.0001958705640087525,0.5183110002997435,0.5185068708637522,0.8428238574156744,1.625004435711085,-6.533035688343581e-14
