Architecture,Run,Instance_ID,Success,Status,NN_Time_s,NN_Initialized_IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup_vs_Cold_IPOPT,Feasible_Cost,Feasible_Obj_Gap_pct
Ablated PINN,1,370,True,optimal,9.955242276191712e-05,0.5163277518004179,0.5164273042231798,0.8105795439332724,571048.3479921694,1.5695907968161407,571048.3479921614,-1.4066509839843982e-12
Ablated PINN,1,371,True,optimal,9.955242276191712e-05,0.4994398355484009,0.4995393879711628,0.8248541401699185,559272.4126476379,1.6512294326179047,559272.4126476288,-1.6236086202631805e-12
Ablated PINN,1,372,True,optimal,9.955242276191712e-05,0.4975917097181082,0.4976912621408701,0.8647465109825134,570754.71401848,1.7375159597191188,570754.714018477,-5.303150886288261e-13
Ablated PINN,1,373,True,optimal,9.955242276191712e-05,0.49420835822820663,0.4943079106509686,0.832837900146842,559100.9060562706,1.6848565078597535,559100.9060562475,-4.122732313979331e-12
Ablated PINN,1,374,True,optimal,9.955242276191712e-05,0.5010826010257006,0.5011821534484625,0.879345590248704,571117.8689168523,1.754542902611812,571117.8689167701,-1.4390937787621861e-11
Ablated PINN,1,375,True,optimal,9.955242276191712e-05,0.5222618514671922,0.5223614038899541,0.9397510504350066,564674.5920701992,1.7990438103520068,564674.5920702108,2.061635558988677e-12
Ablated PINN,1,376,True,optimal,9.955242276191712e-05,0.4931562850251794,0.4932558374479413,0.90412175655365,567822.8069107374,1.832967170204188,567822.8069107383,1.6401640851348964e-13
Ablated PINN,1,377,True,optimal,9.955242276191712e-05,0.4855610681697726,0.48566062059253456,0.8541412772610784,561814.9612769663,1.7587204748430616,561814.9612769645,-3.1081938854653557e-13
Ablated PINN,1,378,True,optimal,9.955242276191712e-05,0.5007833512499928,0.5008829036727548,0.8562305858358741,562944.223378221,1.7094426253272181,562944.2233782188,-3.9291479028565766e-13
Ablated PINN,1,379,True,optimal,9.955242276191712e-05,0.48479057662189007,0.484890129044652,0.8537409342825413,564540.1132730743,1.7606894493080576,564540.1132731786,1.8476654874385976e-11
Ablated PINN,2,370,True,optimal,5.842316895723343e-05,0.5650615748018026,0.5651199979707598,0.8105795439332724,571048.3479921694,1.4343494246247024,571048.3479921618,-1.345492245550294e-12
Ablated PINN,2,371,True,optimal,5.842316895723343e-05,0.5605994993820786,0.5606579225510359,0.8248541401699185,559272.4126476379,1.471225335435857,559272.4126476167,-3.788420113947422e-12
Ablated PINN,2,372,True,optimal,5.842316895723343e-05,0.5904074190184474,0.5904658421874046,0.8647465109825134,570754.71401848,1.4645157250401226,570754.7140184637,-2.855542784924448e-12
Ablated PINN,2,373,True,optimal,5.842316895723343e-05,0.5574142094701529,0.5574726326391101,0.832837900146842,559100.9060562706,1.4939529788289976,559100.9060562494,-3.789582228001204e-12
Ablated PINN,2,374,True,optimal,5.842316895723343e-05,0.6018742080777884,0.6019326312467456,0.879345590248704,571117.8689168523,1.460870443968738,571117.8689167785,-1.292330673845929e-11
Ablated PINN,2,375,True,optimal,5.842316895723343e-05,0.6102295955643058,0.610288018733263,0.9397510504350066,564674.5920701992,1.5398484348186772,564674.5920702268,4.886076274803164e-12
Ablated PINN,2,376,True,optimal,5.842316895723343e-05,0.578851661644876,0.5789100848138332,0.90412175655365,567822.8069107374,1.5617654282951365,567822.806910728,-1.6606661361990826e-12
Ablated PINN,2,377,True,optimal,5.842316895723343e-05,0.5605632998049259,0.5606217229738831,0.8541412772610784,561814.9612769663,1.5235607937740738,561814.9612769652,-1.8649163312792135e-13
Ablated PINN,2,378,True,optimal,5.842316895723343e-05,0.5714995171874762,0.5715579403564334,0.8562305858358741,562944.223378221,1.4980643699953042,562944.2233781974,-4.197984338315185e-12
Ablated PINN,2,379,True,optimal,5.842316895723343e-05,0.5848362306132913,0.5848946537822485,0.8537409342825413,564540.1132730743,1.459649064599558,564540.1132731751,1.7858016876359662e-11
Ablated PINN,3,370,True,optimal,6.620120257139206e-05,0.5894714565947652,0.5895376577973366,0.8105795439332724,571048.3479921694,1.3749410800351665,571048.3479921693,-2.0386246144701424e-14
Ablated PINN,3,371,True,optimal,6.620120257139206e-05,0.5986837772652507,0.5987499784678221,0.8248541401699185,559272.4126476379,1.377627005984515,559272.4126476239,-2.4978594157895088e-12
Ablated PINN,3,372,True,optimal,6.620120257139206e-05,0.5973473321646452,0.5974135333672166,0.8647465109825134,570754.71401848,1.4474839666060482,570754.7140184931,2.2844342279395586e-12
Ablated PINN,3,373,True,optimal,6.620120257139206e-05,0.6099501745775342,0.6100163757801056,0.832837900146842,559100.9060562706,1.3652713815785456,559100.9060562775,1.2284909420443462e-12
Ablated PINN,3,374,True,optimal,6.620120257139206e-05,0.5829572044312954,0.5830234056338668,0.879345590248704,571117.8689168523,1.5082509239790705,571117.868916759,-1.6327395421933585e-11
Ablated PINN,3,375,True,optimal,6.620120257139206e-05,0.6478831814602017,0.6479493826627731,0.9397510504350066,564674.5920701992,1.4503463936844314,564674.592070184,-2.7007425822751665e-12
Ablated PINN,3,376,True,optimal,6.620120257139206e-05,0.6762883355841041,0.6763545367866755,0.90412175655365,567822.8069107374,1.336757140491856,567822.8069107479,1.8451845957767585e-12
Ablated PINN,3,377,True,optimal,6.620120257139206e-05,0.6054022386670113,0.6054684398695827,0.8541412772610784,561814.9612769663,1.4107114772903102,561814.9612769546,-2.072129256976904e-12
Ablated PINN,3,378,True,optimal,6.620120257139206e-05,0.6406032852828503,0.6406694864854217,0.8562305858358741,562944.223378221,1.3364622537792075,562944.2233782264,9.512673870073818e-13
Ablated PINN,3,379,True,optimal,6.620120257139206e-05,0.632115188986063,0.6321813901886344,0.8537409342825413,564540.1132730743,1.3504683110456581,564540.1132731681,1.6620740880307028e-11
Ablated PINN,4,370,True,optimal,6.60671852529049e-05,0.6669813534244895,0.6670474206097424,0.8105795439332724,571048.3479921694,1.2151752917241303,571048.3479921708,2.446349537364171e-13
Ablated PINN,4,371,True,optimal,6.60671852529049e-05,0.6290014265105128,0.6290674936957658,0.8248541401699185,559272.4126476379,1.3112331322731494,559272.4126476211,-2.9974312989474103e-12
Ablated PINN,4,372,True,optimal,6.60671852529049e-05,0.6561842616647482,0.6562503288500011,0.8647465109825134,570754.71401848,1.3177083088063004,570754.7140185005,3.589825215333592e-12
Ablated PINN,4,373,True,optimal,6.60671852529049e-05,0.8696273751556873,0.8696934423409403,0.832837900146842,559100.9060562706,0.9576223754258802,559100.9060562544,-2.8942413719349852e-12
Ablated PINN,4,374,True,optimal,6.60671852529049e-05,0.9354572389274836,0.9355233061127365,0.879345590248704,571117.8689168523,0.939950490279648,571117.8689167786,-1.290292297388759e-11
Ablated PINN,4,375,True,optimal,6.60671852529049e-05,0.973799123428762,0.9738651906140149,0.9397510504350066,564674.5920701992,0.9649703670407405,564674.5920711015,1.5979737217721235e-10
Ablated PINN,4,376,True,optimal,6.60671852529049e-05,1.7202934138476849,1.7203594810329377,0.90412175655365,567822.8069107374,0.525542345377024,567822.8069107356,-3.280328170269793e-13
Ablated PINN,4,377,True,optimal,6.60671852529049e-05,1.4203611258417368,1.4204271930269896,0.8541412772610784,561814.9612769663,0.601327038410795,561814.9612769731,1.2225562616163733e-12
Ablated PINN,4,378,True,optimal,6.60671852529049e-05,1.7740247724577785,1.7740908396430313,0.8562305858358741,562944.223378221,0.4826306335069957,562944.2233782293,1.4682605321200891e-12
Ablated PINN,4,379,True,optimal,6.60671852529049e-05,1.7459677932783961,1.746033860463649,0.8537409342825413,564540.1132730743,0.48896012478007467,564540.1132731616,1.5465949950657905e-11
Ablated PINN,5,370,True,optimal,0.000222752895206213,1.6391398282721639,1.63936258116737,0.8105795439332724,571048.3479921694,0.4944479965841776,571048.3479921614,-1.4066509839843982e-12
Ablated PINN,5,371,True,optimal,0.000222752895206213,1.4994994131848216,1.4997221660800277,0.8248541401699185,559272.4126476379,0.5500046334088142,559272.4126476172,-3.705158133421104e-12
Ablated PINN,5,372,True,optimal,0.000222752895206213,1.4988992223516107,1.4991219752468168,0.8647465109825134,570754.71401848,0.5768353244505944,570754.7140184768,-5.711085569848896e-13
Ablated PINN,5,373,True,optimal,0.000222752895206213,1.421990443021059,1.4222131959162652,0.832837900146842,559100.9060562706,0.5855928650769434,559100.9060562628,-1.3950659850334102e-12
Ablated PINN,5,374,True,optimal,0.000222752895206213,1.5143405012786388,1.514563254173845,0.879345590248704,571117.8689168523,0.5805935062965489,571117.8689167852,-1.1741048393300555e-11
Ablated PINN,5,375,True,optimal,0.000222752895206213,1.4784012520685792,1.4786240049637853,0.9397510504350066,564674.5920701992,0.6355578208389923,564674.5920702027,6.184906676966031e-13
Ablated PINN,5,376,True,optimal,0.000222752895206213,1.2693496672436595,1.2695724201388656,0.90412175655365,567822.8069107374,0.7121466583645203,567822.806910736,-2.4602461277023445e-13
Ablated PINN,5,377,True,optimal,0.000222752895206213,0.989732701331377,0.9899554542265833,0.8541412772610784,561814.9612769663,0.8628077895973495,561814.961276966,-4.144258513953808e-14
Ablated PINN,5,378,True,optimal,0.000222752895206213,0.9805060746148229,0.9807288275100291,0.8562305858358741,562944.223378221,0.8730553867879631,562944.2233782137,-1.3028227256840229e-12
Ablated PINN,5,379,True,optimal,0.000222752895206213,1.011472536250949,1.011695289146155,0.8537409342825413,564540.1132730743,0.843871611780536,564540.1132731816,1.9012807806008785e-11
