Architecture,Run,Instance_ID,Success,Status,NN_Time_s,NN_Initialized_IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup_vs_Cold_IPOPT,Feasible_Cost,Feasible_Obj_Gap_pct
Ablated PINN,1,730,True,optimal,0.0001322825439274311,0.8497213423252106,0.849853624869138,0.8156503606587648,568799.923914839,0.9597539350195279,568799.9239148672,4.95297321564625e-12
Ablated PINN,1,731,True,optimal,0.0001322825439274311,0.777799897827208,0.7779321803711354,0.8871992491185665,568431.5537240129,1.1404583477897803,568431.553724024,1.9456090185536107e-12
Ablated PINN,1,732,True,optimal,0.0001322825439274311,0.681600016541779,0.6817322990857064,0.8244999190792441,549404.2896331992,1.2094188880078118,549404.2896331293,-1.2734812912490948e-11
Ablated PINN,1,733,True,optimal,0.0001322825439274311,0.6448143497109413,0.6449466322548687,0.8346465136855841,571539.1218417124,1.2941326800443702,571539.1218417179,9.573308137218423e-13
Ablated PINN,1,734,True,optimal,0.0001322825439274311,0.7589663984254003,0.7590986809693276,0.8066030526533723,568086.1090958319,1.0625799686852098,568086.1090963278,8.729825690898609e-11
Ablated PINN,1,735,True,optimal,0.0001322825439274311,0.8177085090428591,0.8178407915867865,0.7835542960092425,561586.8014912439,0.9580768091659737,561586.8014912051,-6.902993814211591e-12
Ablated PINN,1,736,True,optimal,0.0001322825439274311,0.8258781973272562,0.8260104798711836,0.7863313816487789,566919.8881058098,0.9519629602900527,566919.8881058038,-1.0678046161384214e-12
Ablated PINN,1,737,True,optimal,0.0001322825439274311,0.9038872215896845,0.9040195041336119,0.8085182923823595,560663.7535593102,0.8943593458829429,560663.7535593116,2.4916607379282576e-13
Ablated PINN,1,738,True,optimal,0.0001322825439274311,0.8820808166638017,0.8822130992077291,0.864455315284431,565971.3685198732,0.9798713214083474,565971.3685198661,-1.254716232380167e-12
Ablated PINN,1,739,True,optimal,0.0001322825439274311,0.9528107065707445,0.9529429891146719,0.8810605965554714,583641.8969046903,0.9245680031436272,583641.8969046402,-8.576935386418398e-12
Ablated PINN,2,730,True,optimal,7.064538076519966e-05,0.8435580031946301,0.8436286485753953,0.8156503606587648,568799.923914839,0.9668357778462403,568799.92391483,-1.5964128546297829e-12
Ablated PINN,2,731,True,optimal,7.064538076519966e-05,0.9015441304072738,0.901614775788039,0.8871992491185665,568431.5537240129,0.9840114347539692,568431.5537240207,1.3721663604535991e-12
Ablated PINN,2,732,True,optimal,7.064538076519966e-05,0.8471676502376795,0.8472382956184447,0.8244999190792441,549404.2896331992,0.9731617696499394,549404.2896331234,-1.3794281540817983e-11
Ablated PINN,2,733,True,optimal,7.064538076519966e-05,0.8249811232089996,0.8250517685897648,0.8346465136855841,571539.1218417124,1.011629264321461,571539.1218417251,2.2201927382059744e-12
Ablated PINN,2,734,True,optimal,7.064538076519966e-05,0.8062497843056917,0.8063204296864569,0.8066030526533723,568086.1090958319,1.0003505094953693,568086.1090956682,-2.8812523289679446e-11
Ablated PINN,2,735,True,optimal,7.064538076519966e-05,0.774269999936223,0.7743406453169882,0.7835542960092425,561586.8014912439,1.0118987047212051,561586.801491236,-1.4096203584576223e-12
Ablated PINN,2,736,True,optimal,7.064538076519966e-05,0.7172598280012608,0.7173304733820259,0.7863313816487789,566919.8881058098,1.0961912407560657,566919.8881058149,9.035269828863566e-13
Ablated PINN,2,737,True,optimal,7.064538076519966e-05,0.6597822410985827,0.6598528864793479,0.8085182923823595,560663.7535593102,1.2253008343969176,560663.7535593114,2.076383948273548e-13
Ablated PINN,2,738,True,optimal,7.064538076519966e-05,0.7173930983990431,0.7174637437798083,0.864455315284431,565971.3685198732,1.204876654435844,565971.3685198996,4.6486207953757e-12
Ablated PINN,2,739,True,optimal,7.064538076519966e-05,0.7914779130369425,0.7915485584177077,0.8810605965554714,583641.8969046903,1.1130847086838196,583641.8969046713,-3.2512569022934857e-12
Ablated PINN,3,730,True,optimal,7.444322109222412e-05,0.7680781316012144,0.7681525748223066,0.8156503606587648,568799.923914839,1.0618337910895446,568799.9239148371,-3.4793613498341423e-13
Ablated PINN,3,731,True,optimal,7.444322109222412e-05,0.8201826401054859,0.8202570833265781,0.8871992491185665,568431.5537240129,1.0816112011133172,568431.5537240052,-1.3516862655214558e-12
Ablated PINN,3,732,True,optimal,7.444322109222412e-05,0.8058066107332706,0.8058810539543628,0.8244999190792441,549404.2896331992,1.02310373849034,549404.2896332024,5.721130592965983e-13
Ablated PINN,3,733,True,optimal,7.444322109222412e-05,0.7904753992334008,0.790549842454493,0.8346465136855841,571539.1218417124,1.055779748300474,571539.1218417411,5.031078957219043e-12
