Architecture,Run,Instance_ID,Success,Status,NN_Time_s,NN_Initialized_IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup_vs_Cold_IPOPT,Feasible_Cost,Feasible_Obj_Gap_pct
PINN Baseline,1,590,True,optimal,0.00016063710467682945,0.49123269179835916,0.491393328903036,0.5099411900155246,566417.0851331762,1.0377454475295667,566417.0851332924,2.0511826749711138e-11
PINN Baseline,1,591,True,optimal,0.00016063710467682945,0.5077553258743137,0.5079159629789906,0.5085256269667298,562115.4339296105,1.00120032452645,562115.4339296217,1.988180758044301e-12
PINN Baseline,1,592,True,optimal,0.00016063710467682945,0.5057773808948696,0.5059380179995464,0.4968476661015302,571460.8411192911,0.98203267678132,571460.8411192804,-1.874180842750391e-12
PINN Baseline,1,593,True,optimal,0.00016063710467682945,0.5254921729210764,0.5256528100257533,0.521947082830593,577172.3490377596,0.992950238019314,577172.3490377805,3.6305893662063445e-12
PINN Baseline,1,594,True,optimal,0.00016063710467682945,0.4993344128597528,0.4994950499644296,0.511608354980126,556326.5211969144,1.0242511012202404,556326.521196916,2.929600591520617e-13
PINN Baseline,1,595,True,optimal,0.00016063710467682945,0.49358865804970264,0.4937492951543795,0.49420705810189247,568537.8407874044,1.0009271161538973,568537.8407874051,1.2285759730508398e-13
PINN Baseline,1,596,True,optimal,0.00016063710467682945,0.5225364749785513,0.5226971120832281,0.5205891490913928,569980.7970248824,0.9959671424557255,569980.7970248611,-3.737670462852286e-12
PINN Baseline,1,597,True,optimal,0.00016063710467682945,0.4951172929722816,0.4952779300769584,0.4976565579418093,564787.3086444661,1.0048026122716214,564787.3086444683,3.9163258112518034e-13
PINN Baseline,1,599,True,optimal,0.00016063710467682945,0.5306574560236186,0.5308180931282954,0.5295147630386055,572548.855083553,0.9975446765915439,572548.8550835429,-1.7689552444333005e-12
PINN Baseline,2,590,True,optimal,8.175687657462226e-05,0.4890733959618956,0.4891551528384702,0.5099411900155246,566417.0851331762,1.0424937508200356,566417.0851331746,-2.877410566091743e-13
PINN Baseline,2,591,True,optimal,8.175687657462226e-05,0.5232067969627678,0.5232885538393425,0.5085256269667298,562115.4339296105,0.971788171622907,562115.4339296174,1.2219027575480599e-12
PINN Baseline,2,592,True,optimal,8.175687657462226e-05,0.5051036088261753,0.50518536570275,0.4968476661015302,571460.8411192911,0.9834957618187902,571460.8411192897,-2.444583707935292e-13
PINN Baseline,2,593,True,optimal,8.175687657462226e-05,0.516651188954711,0.5167329458312856,0.521947082830593,577172.3490377596,1.0100905836203635,577172.349037759,-1.008497046168429e-13
PINN Baseline,2,594,True,optimal,8.175687657462226e-05,0.509337279945612,0.5094190368221866,0.511608354980126,556326.5211969144,1.0042976763718856,556326.521196933,3.348114961737848e-12
PINN Baseline,2,595,True,optimal,8.175687657462226e-05,0.503378754016012,0.5034605108925866,0.49420705810189247,568537.8407874044,0.9816203007177492,568537.8407874041,-6.142879865254199e-14
