Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
DC3,1,8,1.0,8.684524800628424e-05,0.515550739801256,0.5156375850492623,0.5076424440776464,0.9840895648385299,2.4833540122896684e-11
DC3,2,8,1.0,9.111524559557438e-05,0.5170645887847058,0.5171557040303014,0.5076424440776464,0.981302559471072,2.5810952740847652e-11
DC3,3,8,1.0,9.182526264339685e-05,0.5095843003946356,0.509676125657279,0.5076424440776464,0.9958592800030629,1.465774553744462e-12
DC3,4,8,1.0,8.565274765715003e-05,0.5069234219845384,0.5070090747321956,0.5076424440776464,1.0008739848965877,2.578382745242942e-11
DC3,5,8,1.0,8.522649295628071e-05,0.5177013054781128,0.517786531971069,0.5076424440776464,0.9801718138968957,2.5668279460684777e-11
FSNet,1,8,1.0,8.600263390690088e-05,0.5186647717200685,0.5187507743539754,0.5076424440776464,0.9784406004788945,2.521847374946916e-11
FSNet,2,8,1.0,9.52889968175441e-05,0.5198329887061846,0.5199282777030021,0.5076424440776464,0.9765844674942966,2.6470556971133996e-11
FSNet,3,8,1.0,0.00011923789861612022,0.5151766851195134,0.5152959230181295,0.5076424440776464,0.9848897703374381,5.909779564536305e-13
FSNet,4,8,1.0,8.830148726701736e-05,0.5124529016320594,0.5125412031193264,0.5076424440776464,0.9900672584876976,2.4241502243222287e-11
FSNet,5,8,1.0,8.165149483829737e-05,0.5085604288615286,0.5086420803563669,0.5076424440776464,0.9976959004462609,2.5203067608177835e-11
KKT,1,8,1.0,0.0002662118640728295,0.524375854205573,0.5246420660696458,0.5076424440776464,0.9677853061336537,2.4219767964261778e-11
KKT,2,8,1.0,0.00016219160170294344,0.507509338989621,0.507671530591324,0.5076424440776464,0.9996462598580628,2.485914907640068e-11
KKT,3,8,1.0,0.00016220798715949059,0.5089391648652963,0.5091013728524558,0.5076424440776464,0.9968277324366166,2.5344952510065714e-11
KKT,4,8,1.0,0.0002301981148775667,0.5408682712586597,0.5410984693735372,0.5076424440776464,0.938194454233447,5.5268591286640747e-14
KKT,5,8,1.0,0.0001988217409234494,0.5181014421395957,0.5183002638805192,0.5076424440776464,0.9793076836375271,2.002098851695367e-13
PINN Baseline,1,8,1.0,0.00024071813095360994,0.5366705853957683,0.5369113035267219,0.5076424440776464,0.9466671207776381,2.5408264863077048e-11
PINN Baseline,2,8,1.0,9.607773972675204e-05,0.5359201648680028,0.5360162426077295,0.5076424440776464,0.9483116658556324,8.742431953709571e-13
PINN Baseline,3,8,1.0,9.220399078913033e-05,0.5202046173799317,0.5202968213707209,0.5076424440776464,0.9758779081841832,2.469413190273171e-11
PINN Baseline,4,8,1.0,9.004402090795338e-05,0.5134739905188326,0.5135640345397405,0.5076424440776464,0.9882410844484881,2.593393082412316e-11
PINN Baseline,5,8,1.0,9.074900299310684e-05,0.5167911366152111,0.5168818856182043,0.5076424440776464,0.9819688333134552,1.1104947583909342e-12
Rahul's Model,1,8,1.0,0.00018700674991123378,0.5238411345635541,0.5240281413134653,0.5076424440776464,0.9685286390155219,2.5644914461905426e-11
Rahul's Model,2,8,1.0,0.00019933548173867166,0.5280737870198209,0.5282731225015596,0.5076424440776464,0.9605617270385463,2.5952641323976952e-11
Rahul's Model,3,8,1.0,0.00024609200772829354,0.5221016234136187,0.522347715421347,0.5076424440776464,0.9718472316513855,9.761286514143769e-13
Rahul's Model,4,8,1.0,0.00019581927335821092,0.5193345911684446,0.5195304104418028,0.5076424440776464,0.9767972967607981,2.6075803835011673e-11
Rahul's Model,5,8,1.0,0.00019765924662351608,0.5198823413520586,0.5200800005986821,0.5076424440776464,0.9758172690004794,2.7087108557428602e-11
