Case,Architecture,Success (%),Online Time (s),Speedup,Feasible Obj. Dev. (%)
14,Ablated PINN,100.00 +/- 0.00,0.118973 +/- 0.012644,1.268 +/- 0.128,-0.000000 +/- 0.000000
14,DC3,100.00 +/- 0.00,0.157907 +/- 0.025574,0.967 +/- 0.156,-0.000000 +/- 0.000000
14,FSNet,100.00 +/- 0.00,0.149644 +/- 0.036237,1.045 +/- 0.237,-0.000000 +/- 0.000000
14,KKT,100.00 +/- 0.00,0.149590 +/- 0.017546,1.011 +/- 0.118,-0.000000 +/- 0.000000
14,PINN Baseline,100.00 +/- 0.00,0.127577 +/- 0.014104,1.183 +/- 0.125,-0.000000 +/- 0.000000
14,Rahul's Model,100.00 +/- 0.00,0.166045 +/- 0.024561,0.918 +/- 0.148,-0.000000 +/- 0.000000
57,Ablated PINN,100.00 +/- 0.00,0.171941 +/- 0.046540,1.038 +/- 0.275,-0.000000 +/- 0.000000
57,DC3,100.00 +/- 0.00,0.164938 +/- 0.005431,1.022 +/- 0.033,-0.000000 +/- 0.000000
57,FSNet,100.00 +/- 0.00,0.167171 +/- 0.009073,1.009 +/- 0.056,0.000000 +/- 0.000000
57,KKT,100.00 +/- 0.00,0.162827 +/- 0.000492,1.034 +/- 0.003,-0.000000 +/- 0.000000
57,PINN Baseline,100.00 +/- 0.00,0.181197 +/- 0.010429,0.932 +/- 0.053,-0.000000 +/- 0.000000
57,Rahul's Model,100.00 +/- 0.00,0.177617 +/- 0.009024,0.950 +/- 0.046,-0.000000 +/- 0.000000
162,Ablated PINN,100.00 +/- 0.00,0.551382 +/- 0.017372,2.225 +/- 0.069,0.000000 +/- 0.000000
162,DC3,100.00 +/- 0.00,0.977645 +/- 0.266352,1.334 +/- 0.372,0.000000 +/- 0.000000
162,FSNet,100.00 +/- 0.00,0.698765 +/- 0.008047,1.755 +/- 0.020,-0.000000 +/- 0.000000
162,KKT,100.00 +/- 0.00,0.699577 +/- 0.010920,1.753 +/- 0.027,0.000000 +/- 0.000000
162,PINN Baseline,99.98 +/- 0.05,0.919557 +/- 0.297514,1.424 +/- 0.355,-0.000000 +/- 0.000000
162,Rahul's Model,100.00 +/- 0.00,0.655456 +/- 0.005964,1.871 +/- 0.017,-0.000000 +/- 0.000000
300,Ablated PINN,100.00 +/- 0.00,0.972506 +/- 0.012177,0.917 +/- 0.012,0.000000 +/- 0.000000
300,DC3,100.00 +/- 0.00,0.898427 +/- 0.023168,0.993 +/- 0.026,-0.000000 +/- 0.000000
300,FSNet,100.00 +/- 0.00,0.903935 +/- 0.013457,0.986 +/- 0.015,0.000000 +/- 0.000000
300,KKT,100.00 +/- 0.00,0.885797 +/- 0.014050,1.006 +/- 0.016,-0.000000 +/- 0.000000
300,PINN Baseline,100.00 +/- 0.00,0.898599 +/- 0.020184,0.992 +/- 0.022,0.000000 +/- 0.000000
300,Rahul's Model,100.00 +/- 0.00,0.892433 +/- 0.016165,0.999 +/- 0.018,0.000000 +/- 0.000000
