Architecture,Run,Instance_ID,Success,Status,NN_Time_s,NN_Initialized_IPOPT_Time_s,Total_Online_Time_s,Stored_Cold_IPOPT_Time_s,Speedup_vs_Stored_Cold,Feasible_Cost,Feasible_Obj_Gap_pct
PINN Baseline,1,0,True,optimal,0.03844829999798094,0.09985779999988154,0.13830609999786247,0.10120654106140137,0.7317576091218356,2258.80334329158,4.679706496604919
PINN Baseline,2,0,True,optimal,0.0006746999970346224,0.09632559999954537,0.09700029999658,0.10120654106140137,1.043363175835226,2258.8033428357135,4.679706475478703
PINN Baseline,3,0,True,optimal,0.0006844999988970812,0.10254320000240114,0.10322770000129822,0.10120654106140137,0.9804203819336144,2258.80334294224,4.6797064804154545
PINN Baseline,4,0,True,optimal,0.00040240000089397654,0.10821340000256896,0.10861580000346294,0.10120654106140137,0.9317847040501903,2258.803343275514,4.679706495860384
PINN Baseline,5,0,True,optimal,0.0007272000002558343,0.11987299999964307,0.1206001999998989,0.10120654106140137,0.8391904910728689,2258.8033432218663,4.679706493374179
DC3,1,0,True,optimal,0.0010597000000416301,0.12251980000291951,0.12357950000296114,0.10120654106140137,0.8189589783012257,2258.8033432081784,4.679706492739841
DC3,2,0,True,optimal,0.0008397000019613188,0.11598199999934877,0.11682170000131009,0.10120654106140137,0.8663334043269906,2258.803343213216,4.6797064929733025
DC3,3,0,True,optimal,0.0004656999990402255,0.11763739999878453,0.11810309999782476,0.10120654106140137,0.856933823610603,2258.803343201453,4.679706492428172
DC3,4,0,True,optimal,0.0008469999993394595,0.10361099999863654,0.104457999997976,0.10120654106140137,0.9688730500618656,2258.8033432298294,4.679706493743212
DC3,5,0,True,optimal,0.0006676999983028509,0.09847870000157855,0.0991463999998814,0.10120654106140137,1.0207787782665072,2258.8033431785407,4.679706491366342
FSNet,1,0,True,optimal,0.0009467999989283271,0.10636840000006487,0.1073151999989932,0.10120654106140137,0.9430774117958207,2258.8033431617537,4.679706490588382
FSNet,2,0,True,optimal,0.0007174000020313542,0.08608310000272468,0.08680050000475603,0.10120654106140137,1.1659672588966192,2258.8033432025754,4.679706492480184
FSNet,3,0,True,optimal,0.0006500000017695129,0.10768019999886747,0.10833020000063698,0.10120654106140137,0.934241246308105,2258.8033432351717,4.6797064939907935
FSNet,4,0,True,optimal,0.0007671999992453493,0.0922069999978703,0.09297419999711565,0.10120654106140137,1.0885443603122276,2258.803343234157,4.679706493943777
FSNet,5,0,True,optimal,0.0003732999975909479,0.09392730000035954,0.09430059999795048,0.10120654106140137,1.073233267482932,2258.803343218421,4.67970649321452
KKT,1,0,True,optimal,0.0012873999985458795,0.09464089999892167,0.09592829999746755,0.10120654106140137,1.05502277288426,2258.8033431841673,4.679706491627094
KKT,2,0,True,optimal,0.001010899999528192,0.10501989999829675,0.10603079999782494,0.10120654106140137,0.9545013436046645,2258.8033431627427,4.679706490634218
KKT,3,0,True,optimal,0.0008207999999285676,0.10122860000046785,0.10204940000039642,0.10120654106140137,0.9917406771721169,2258.803343179227,4.679706491398143
KKT,4,0,True,optimal,0.0005672000006597955,0.09456430000136606,0.09513150000202586,0.10120654106140137,1.0638594057619835,2258.8033431853305,4.679706491681003
KKT,5,0,True,optimal,0.0005436999999801628,0.10099999999874854,0.1015436999987287,0.10120654106140137,0.9966796666131769,2258.803343181728,4.679706491514051
Rahul's Model,1,0,True,optimal,0.0022494999975606333,0.1075715000006312,0.10982099999819184,0.10120654106140137,0.9215590921869924,2258.803342880924,4.679706477573894
Rahul's Model,2,0,True,optimal,0.0009331000001111533,0.10457930000120541,0.10551240000131656,0.10120654106140137,0.9591909676980007,2258.8033428591534,4.67970647656498
Rahul's Model,3,0,True,optimal,0.0006721999998262618,0.08923760000106995,0.08990980000089621,0.10120654106140137,1.1256452695967798,2258.803343023705,4.679706484190798
Rahul's Model,4,0,True,optimal,0.0013004000029468443,0.09513430000151857,0.09643470000446541,0.10120654106140137,1.0494826142116374,2258.803342879267,4.679706477497099
Rahul's Model,5,0,True,optimal,0.0010110000002896413,0.10647579999931622,0.10748679999960586,0.10120654106140137,0.9415718121831934,2258.803342875607,4.679706477327493
