Architecture,Run,Instance_ID,Success,Status,NN_Time_s,NN_Initialized_IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup_vs_Cold_IPOPT,Feasible_Cost,Feasible_Obj_Gap_pct
PINN Baseline,1,891,True,optimal,0.00016946710335711637,0.6665119670797139,0.666681434183071,0.7343225630465895,577130.2897991467,1.1014594458392315,577130.2897990766,-1.2143189324581241e-11
PINN Baseline,1,892,True,optimal,0.00016946710335711637,0.6169128299225122,0.6170822970258693,0.7499157958664,565905.7575733659,1.2152605891965202,565905.757573258,-1.9069783597241074e-11
PINN Baseline,1,893,True,optimal,0.00016946710335711637,0.6515914951451123,0.6517609622484694,0.7361459978856146,573644.3991936109,1.1294723687439496,573644.399193631,3.5108598121712536e-12
PINN Baseline,1,894,True,optimal,0.00016946710335711637,0.743640118977055,0.743809586080412,0.6997730080038309,555776.4378319657,0.9407958987075754,555776.4378327572,1.4241477673809473e-10
PINN Baseline,1,895,True,optimal,0.00016946710335711637,0.8409909268375486,0.8411603939409057,0.8730931850150228,570467.1773632476,1.0379627848673536,570467.1773632437,-6.938385062591308e-13
PINN Baseline,1,896,True,optimal,0.00016946710335711637,0.7686623381450772,0.7688318052484343,0.7965027049649507,562717.3915750276,1.0359908363931107,562717.3915750267,-1.655044945400989e-13
PINN Baseline,1,897,True,optimal,0.00016946710335711637,0.78028938989155,0.780458856994907,0.8339592481497675,568993.6165080594,1.068549918647678,568993.6165080532,-1.1048326723302416e-12
PINN Baseline,1,898,True,optimal,0.00016946710335711637,0.6819342088419944,0.6821036759453515,0.7967389349360019,569937.384718964,1.1680613417480463,569937.3847189534,-1.858764588933724e-12
PINN Baseline,1,899,True,optimal,0.00016946710335711637,0.6713226488791406,0.6714921159824977,0.7436463688500226,563745.0239835794,1.1074536113680977,563745.0239835712,-1.4455245157290828e-12
PINN Baseline,2,891,True,optimal,9.134132415056229e-05,0.602531470824033,0.6026228121481836,0.7343225630465895,577130.2897991467,1.218544250638194,577130.2897991479,2.017141083817482e-13
PINN Baseline,2,892,True,optimal,9.134132415056229e-05,0.6599868680350482,0.6600782093591988,0.7499157958664,565905.7575733659,1.1361014274269334,565905.7575733623,-6.377166035754836e-13
PINN Baseline,2,893,True,optimal,9.134132415056229e-05,0.72834058618173,0.7284319275058806,0.7361459978856146,573644.3991936109,1.010589967419669,573644.3991936224,2.009104748005515e-12
PINN Baseline,2,894,True,optimal,9.134132415056229e-05,0.728402057196945,0.7284933985210955,0.6997730080038309,555776.4378319657,0.9605756338004304,555776.4378327016,1.3240238325658136e-10
PINN Baseline,2,895,True,optimal,9.134132415056229e-05,0.8104410020168871,0.8105323433410376,0.8730931850150228,570467.1773632476,1.0771848800210828,570467.1773632547,1.2448279082884407e-12
PINN Baseline,2,896,True,optimal,9.134132415056229e-05,0.7610010160133243,0.7610923573374748,0.7965027049649507,562717.3915750276,1.0465256907208367,562717.3915750553,4.923758712567942e-12
PINN Baseline,2,897,True,optimal,9.134132415056229e-05,0.8256320049986243,0.8257233463227749,0.8339592481497675,568993.6165080594,1.0099741661219461,568993.6165080519,-1.3298911796567724e-12
PINN Baseline,2,898,True,optimal,9.134132415056229e-05,0.7692716191522777,0.7693629604764283,0.7967389349360019,569937.384718964,1.035582651967832,569937.384718969,8.78317333232419e-13
PINN Baseline,2,899,True,optimal,9.134132415056229e-05,0.831809950992465,0.8319012923166156,0.7436463688500226,563745.0239835794,0.8939117846291266,563745.023983573,-1.135769262358565e-12
PINN Baseline,3,891,True,optimal,9.051022223300404e-05,0.8463181320112199,0.8464086422334529,0.7343225630465895,577130.2897991467,0.8675745100013424,577130.2897991425,-7.261707901742935e-13
PINN Baseline,3,892,True,optimal,9.051022223300404e-05,0.7696731199976057,0.7697636302198387,0.7499157958664,565905.7575733659,0.9742156766385931,565905.7575732731,-1.6395488162892273e-11
PINN Baseline,3,893,True,optimal,9.051022223300404e-05,0.6804929249919951,0.6805834352142281,0.7361459978856146,573644.3991936109,1.0816396047810024,573644.3991936402,5.114084813104947e-12
PINN Baseline,3,894,True,optimal,9.051022223300404e-05,0.721577508142218,0.721668018364451,0.6997730080038309,555776.4378319657,0.9696605505530898,555776.4378327655,1.4390197325940737e-10
PINN Baseline,3,895,True,optimal,9.051022223300404e-05,0.7753090260084718,0.7753995362307049,0.8730931850150228,570467.1773632476,1.125991368603619,570467.17736326,2.16314357833729e-12
PINN Baseline,3,896,True,optimal,9.051022223300404e-05,0.7229334621224552,0.7230239723446883,0.7965027049649507,562717.3915750276,1.1016269659524274,562717.3915750586,5.503024443458289e-12
PINN Baseline,3,897,True,optimal,9.051022223300404e-05,0.734699843917042,0.7347903541392751,0.8339592481497675,568993.6165080594,1.134962160910043,568993.6165080452,-2.4961034448942497e-12
PINN Baseline,3,898,True,optimal,9.051022223300404e-05,0.7449961728416383,0.7450866830638714,0.7967389349360019,569937.384718964,1.0693238156662943,569937.3847189514,-2.206006325327936e-12
PINN Baseline,3,899,True,optimal,9.051022223300404e-05,0.9006087109446526,0.9006992211668856,0.7436463688500226,563745.0239835794,0.8256322991892944,563745.0239835771,-3.923566542693225e-13
PINN Baseline,4,891,True,optimal,9.706466355257564e-05,0.8478524959646165,0.8479495606281691,0.7343225630465895,577130.2897991467,0.8659979285826818,577130.2897991582,1.996969672979307e-12
PINN Baseline,4,892,True,optimal,9.706466355257564e-05,0.9500295179896057,0.9501265826531582,0.7499157958664,565905.7575733659,0.789279880763167,565905.7575732808,-1.5037768942376726e-11
PINN Baseline,4,893,True,optimal,9.706466355257564e-05,0.8638213300146163,0.8639183946781688,0.7361459978856146,573644.3991936109,0.8521013123697261,573644.3991936377,4.667617091325944e-12
PINN Baseline,4,894,True,optimal,9.706466355257564e-05,1.0066458638757467,1.0067429285392993,0.6997730080038309,555776.4378319657,0.6950860921557638,555776.4378327515,1.413884016740902e-10
PINN Baseline,4,895,True,optimal,9.706466355257564e-05,0.9384785059373826,0.9385755706009351,0.8730931850150228,570467.1773632476,0.9302321649561085,570467.1773632485,1.6325611911979548e-13
PINN Baseline,4,896,True,optimal,9.706466355257564e-05,0.7774138120003045,0.777510876663857,0.7965027049649507,562717.3915750276,1.0244264471033304,562717.391575048,3.6204108180646633e-12
PINN Baseline,4,897,True,optimal,9.706466355257564e-05,0.8236828101798892,0.8237798748434417,0.8339592481497675,568993.6165080594,1.012356909433191,568993.6165080641,8.183945720964753e-13
PINN Baseline,4,898,True,optimal,9.706466355257564e-05,0.7735005707945675,0.77359763545812,0.7967389349360019,569937.384718964,1.029913870489247,569937.3847189643,6.127795348133156e-14
PINN Baseline,4,899,True,optimal,9.706466355257564e-05,0.8263433768879622,0.8264404415515147,0.7436463688500226,563745.0239835794,0.8998184641762459,563745.0239835728,-1.1564196125832662e-12
PINN Baseline,5,891,True,optimal,9.025245284040768e-05,0.7717783160042018,0.7718685684570422,0.7343225630465895,577130.2897991467,0.9513569965862105,577130.28979916,2.2995408355519293e-12
PINN Baseline,5,892,True,optimal,9.025245284040768e-05,0.7939886280801147,0.7940788805329552,0.7499157958664,565905.7575733659,0.9443845117289675,565905.75757323,-2.402751590245693e-11
PINN Baseline,5,893,True,optimal,9.025245284040768e-05,0.7489094929769635,0.748999745429804,0.7361459978856146,573644.3991936109,0.9828387824927586,573644.3991936466,6.2302541175524555e-12
PINN Baseline,5,894,True,optimal,9.025245284040768e-05,0.7678072550334036,0.7678975074862441,0.6997730080038309,555776.4378319657,0.9112843851968961,555776.4378319491,-2.9953394725029483e-12
PINN Baseline,5,895,True,optimal,9.025245284040768e-05,0.8375953477807343,0.8376856002335747,0.8730931850150228,570467.1773632476,1.0422683459899218,570467.1773632653,3.101866263276114e-12
PINN Baseline,5,896,True,optimal,9.025245284040768e-05,0.7753634669352323,0.7754537193880727,0.7965027049649507,562717.3915750276,1.027144090034784,562717.391575051,4.158300425319985e-12
PINN Baseline,5,897,True,optimal,9.025245284040768e-05,0.7911005991045386,0.791190851557379,0.8339592481497675,568993.6165080594,1.0540557268934585,568993.6165080629,6.137959290723565e-13
PINN Baseline,5,898,True,optimal,9.025245284040768e-05,0.7925484429579228,0.7926386954107633,0.7967389349360019,569937.384718964,1.0051728985084607,569937.3847189674,5.923535503195384e-13
PINN Baseline,5,899,True,optimal,9.025245284040768e-05,0.771244604839012,0.7713348572918525,0.7436463688500226,563745.0239835794,0.9641031541877365,563745.0239835856,1.115118912133864e-12
DC3,1,891,True,optimal,8.509020941952865e-05,0.7752891359850764,0.7753742261944959,0.7343225630465895,577130.2897991467,0.947055677425098,577130.2897991316,-2.6222834089627265e-12
DC3,1,892,True,optimal,8.509020941952865e-05,0.7700348920188844,0.7701199822283039,0.7499157958664,565905.7575733659,0.9737648849164463,565905.7575731828,-3.235897475562051e-11
DC3,1,893,True,optimal,8.509020941952865e-05,0.7565179348457605,0.75660302505518,0.7361459978856146,573644.3991936109,0.9729620071660785,573644.3991936443,5.824374370480635e-12
DC3,1,894,True,optimal,8.509020941952865e-05,0.747062728041783,0.7471478182512025,0.6997730080038309,555776.4378319657,0.9365924532065709,555776.43783196,-1.0263750640045067e-12
DC3,1,895,True,optimal,8.509020941952865e-05,0.8118147258646786,0.8118998160740981,0.8730931850150228,570467.1773632476,1.0753705909638238,570467.1773632648,3.0202382037162166e-12
DC3,1,896,True,optimal,8.509020941952865e-05,0.7780684030149132,0.7781534932243327,0.7965027049649507,562717.3915750276,1.0235804528288972,562717.3915750397,2.1515584290212857e-12
DC3,1,897,True,optimal,8.509020941952865e-05,0.8124581379815936,0.8125432281910131,0.8339592481497675,568993.6165080594,1.0263567761267711,568993.6165080674,1.391270772564008e-12
DC3,1,898,True,optimal,8.509020941952865e-05,0.7298322510905564,0.7299173412999759,0.7967389349360019,569937.384718964,1.0915467955823839,569937.3847189586,-9.395952867137506e-13
DC3,1,899,True,optimal,8.509020941952865e-05,0.8255369649268687,0.8256220551362882,0.7436463688500226,563745.0239835794,0.9007103967532292,563745.0239835718,-1.3422727646055768e-12
DC3,2,891,True,optimal,9.173579100105498e-05,0.7658037301152945,0.7658954659062955,0.7343225630465895,577130.2897991467,0.958776485479849,577130.2897991448,-3.227425734107971e-13
DC3,2,892,True,optimal,9.173579100105498e-05,0.7381053830031306,0.7381971187941316,0.7499157958664,565905.7575733659,1.01587472610488,565905.7575732054,-2.836810310743845e-11
DC3,2,893,True,optimal,9.173579100105498e-05,0.8422924901824445,0.8423842259734455,0.7361459978856146,573644.3991936109,0.8738838824230549,573644.3991936394,4.97202690162981e-12
DC3,2,894,True,optimal,9.173579100105498e-05,0.77539076609537,0.7754825018863711,0.6997730080038309,555776.4378319657,0.9023711125674971,555776.4378319677,3.560893079199309e-13
DC3,2,895,True,optimal,9.173579100105498e-05,0.8981144849676639,0.898206220758665,0.8730931850150228,570467.1773632476,0.9720409020075249,570467.1773632509,5.713964169192842e-13
DC3,2,896,True,optimal,9.173579100105498e-05,0.778288914822042,0.7783806506130431,0.7965027049649507,562717.3915750276,1.0232817379743895,562717.3915750487,3.744539188969738e-12
DC3,2,897,True,optimal,9.173579100105498e-05,0.8170289811678231,0.8171207169588242,0.8339592481497675,568993.6165080594,1.0206071524579787,568993.6165080543,-9.002340293061228e-13
DC3,2,898,True,optimal,9.173579100105498e-05,0.7244197651743889,0.72451150096539,0.7967389349360019,569937.384718964,1.0996912179784186,569937.3847189604,-6.332055193070928e-13
DC3,2,899,True,optimal,9.173579100105498e-05,0.7648830569814891,0.7649747927724901,0.7436463688500226,563745.0239835794,0.9721187885875726,563745.0239835767,-4.749580551681271e-13
DC3,3,891,True,optimal,9.873812086880207e-05,0.9134622970595956,0.9135610351804644,0.7343225630465895,577130.2897991467,0.8038024114081571,577130.2897991594,2.198683781361055e-12
