Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
DC3,1,10,1.0,0.00019199999987904449,0.10459030999991228,0.10478230999979132,0.1114751699999033,1.0718608149600726,-1.3737733375711062e-08
DC3,2,10,1.0,0.00024232000032498036,0.10262279999988096,0.10286512000020594,0.1114751699999033,1.091474205718701,-1.2175839538260833e-08
DC3,3,10,1.0,0.0002312500000698492,0.10479260999964027,0.10502385999971012,0.1114751699999033,1.076891826250468,-1.9149730972351554e-08
DC3,4,10,1.0,0.00022229999995033723,0.10639452000032179,0.10661682000027213,0.1114751699999033,1.0543733884042288,-5.929478242642525e-09
DC3,5,10,1.0,0.00019021999978576786,0.1069693700002972,0.10715959000008297,0.1114751699999033,1.0749104336542916,-2.0879611580700203e-08
FSNet,1,10,1.0,0.0003077800000028219,0.09913990999921225,0.09944768999921508,0.1114751699999033,1.1420332706901917,-9.915205962757679e-10
FSNet,2,10,1.0,0.00022375999978976324,0.10462378000047465,0.10484754000026442,0.1114751699999033,1.0691862242409846,-2.143469495742879e-08
FSNet,3,10,1.0,0.00019744999990507496,0.10304998000028717,0.10324743000019225,0.1114751699999033,1.0865095857074907,-2.0899597458911134e-08
FSNet,4,10,1.0,0.0001675999999861233,0.09974250999985088,0.099910109999837,0.1114751699999033,1.1287858120598584,-2.133687176331289e-08
FSNet,5,10,1.0,0.0001774100001057377,0.10044506000012916,0.1006224700002349,0.1114751699999033,1.1124604928749675,-2.8887634517394197e-08
KKT,1,10,1.0,0.000494550000075833,0.1024311299999681,0.10292568000004394,0.1114751699999033,1.0905953081799926,-2.2169129996202404e-08
KKT,2,10,1.0,0.00024507000016456005,0.11282184000010602,0.11306691000027058,0.1114751699999033,0.9977102650701657,-2.3136047403028313e-08
KKT,3,10,1.0,0.00023510999999416527,0.10314739999921585,0.10338250999921002,0.1114751699999033,1.0853399153815793,-2.2375671404151863e-08
KKT,4,10,1.0,0.0002917000001616543,0.10142094000038923,0.10171264000055089,0.1114751699999033,1.1111828548012983,-2.221578590171102e-08
KKT,5,10,1.0,0.0002546799998526694,0.11118270999977539,0.11143738999962807,0.1114751699999033,1.0421820941210165,-2.2314406726408108e-08
PINN Baseline,1,10,1.0,0.003941420000046492,0.10409029999937047,0.10803171999941696,0.1114751699999033,1.0510484508226579,-2.3742186424127308e-08
PINN Baseline,2,10,1.0,0.00011754000006476417,0.10032952000001387,0.10044706000007864,0.1114751699999033,1.1195606192132048,-2.7353498191480893e-08
PINN Baseline,3,10,1.0,0.00019897999991371761,0.10698492000046826,0.10718390000038198,0.1114751699999033,1.0434639393813063,-2.5751120771988735e-08
PINN Baseline,4,10,1.0,0.00036151999993307984,0.10341408999920532,0.1037756099991384,0.1114751699999033,1.0953368729648179,-1.4571175029336802e-08
PINN Baseline,5,10,1.0,0.0002588799998193281,0.10337111000008008,0.1036299899998994,0.1114751699999033,1.10239481030858,-1.019054553430195e-08
Rahul's Model,1,10,1.0,0.00031858000002102924,0.10424994000022707,0.1045685200002481,0.1114751699999033,1.072200905988463,-3.502093069283921e-08
Rahul's Model,2,10,1.0,0.0002257899999676738,0.09670154999948863,0.09692733999945631,0.1114751699999033,1.1529927234079538,-3.586460520855233e-08
Rahul's Model,3,10,1.0,0.00023536000007879921,0.10582964999994146,0.10606501000002026,0.1114751699999033,1.0747888944518134,-3.937997966904572e-08
Rahul's Model,4,10,1.0,0.00021022000000812114,0.10229338999997709,0.1025036099999852,0.1114751699999033,1.0896975481628353,-3.376748893049746e-08
Rahul's Model,5,10,1.0,0.00027961000014329327,0.09920832999960112,0.09948793999974441,0.1114751699999033,1.1401935186473326,-3.5263517580948584e-08
