Architecture,Run,N,Success_Rate,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Speedup,Feasible_Obj_Gap_pct
DC3,1,6,1.0,0.010335623170249164,1.4979411561895783,1.5082767793598275,1.6726856533205137,1.1034067721949214,-3.0078429332627265e-13
DC3,2,6,1.0,0.01014883517442892,1.6192687995110948,1.6294176346855238,1.6726856533205137,1.0057579065295057,-3.1476847100289167e-12
DC3,3,6,1.0,0.01029926883832862,1.9810993496794254,1.991398618517754,1.6726856533205137,0.8941946123280395,-1.2238574576464543e-12
DC3,4,6,1.0,0.010539579864901802,1.4013643882159765,1.4119039680808783,1.6726856533205137,1.248932937188134,-1.0671064016654912e-12
DC3,5,6,1.0,0.010483183005514244,1.140019500007232,1.1505026830127463,1.6726856533205137,1.4349880582759613,-8.771157027728693e-11
FSNet,1,6,1.0,0.009796327833707133,1.4713386000754933,1.4811349279092003,1.6726856533205137,1.184112179752653,3.4185084499919286e-12
FSNet,2,6,1.0,0.010211792347642282,2.5232940100055807,2.5335058023532233,1.6726856533205137,0.8117823089332649,-8.387441833322419e-11
FSNet,3,6,1.0,0.010885200967701772,1.9005743429685633,1.911459543936265,1.6726856533205137,0.9171948082015882,-8.659433943742944e-11
FSNet,4,6,1.0,0.009869651325667897,1.7333319229849924,1.7432015743106604,1.6726856533205137,1.1785493867894954,-9.712318955853401e-15
FSNet,5,6,1.0,0.01002434198744595,1.5458879799504455,1.5559123219378914,1.6726856533205137,1.0640260517663744,-8.316774346691563e-11
KKT,1,6,1.0,0.008894120343029499,1.699227279284969,1.7081213996279985,1.6726856533205137,1.0364577822443402,3.6326852827865146e-13
KKT,2,6,1.0,0.0090850346799319,1.8368222924958293,1.8459073271757613,1.6726856533205137,0.938055128399319,8.674625685027293e-13
KKT,3,6,1.0,0.009072059687847892,1.3232154596286516,1.3322875193164994,1.6726856533205137,1.26972499677493,-1.3247226887506651e-12
KKT,4,6,1.0,0.007783156198759873,1.3670493473376457,1.3748325035364057,1.6726856533205137,1.2310604962446314,-7.527841591037112e-14
KKT,5,6,1.0,0.008574974335109195,1.688263979468805,1.6968389538039144,1.6726856533205137,1.0031834315458117,-8.231353357294607e-11
PINN Baseline,1,6,1.0,0.010062675961914161,2.200455389528846,2.21051806549076,1.6726856533205137,0.7761265048686502,-8.485588548330862e-11
PINN Baseline,2,6,1.0,0.010321304822961489,1.6412546497692044,1.6515759545921658,1.6726856533205137,1.0436839509363152,-2.1463447354856822e-10
PINN Baseline,3,6,1.0,0.01022128799619774,1.578518221154809,1.5887395091510068,1.6726856533205137,1.0386822020846556,-8.62326271781599e-11
PINN Baseline,4,6,1.0,0.00999492418486625,1.9044570551098634,1.9144519792947297,1.6726856533205137,0.8647958403294571,-2.1480122645600256e-10
PINN Baseline,5,6,1.0,0.009298645813638965,1.9607556858876098,1.9700543317012489,1.6726856533205137,0.8901537455763179,-2.1396682098367611e-10
Rahul's Model,1,6,1.0,0.00878731650300324,1.8742463248005758,1.883033641303579,1.6726856533205137,1.0123081576867323,1.653518795548144e-12
Rahul's Model,2,6,1.0,0.008003926331487795,0.9215676263750842,0.9295715527065719,1.6726856533205137,2.115595587495164,3.983023691805917e-13
Rahul's Model,3,6,1.0,0.0002866490200782816,0.6361522890316943,0.6364389380517727,1.6726856533205137,2.620147519401032,-7.000589077833928e-14
Rahul's Model,4,6,1.0,0.00028936580444375676,0.8902029580203816,0.8904923238248253,1.6726856533205137,1.875301316143999,6.440929794933193e-13
Rahul's Model,5,6,1.0,0.00032272248063236475,2.6803362158049517,2.680658938285584,1.6726856533205137,0.942839060316338,2.3865561733634907e-12
